message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

273	09T	to		saw	tulp	visualizer	1325673926	SEE #7	28	32

277	09T	to		domination	owner	clashes	1325674514	Re: SEE #7	29	140

281	09T	to		andy	happy	willem	1325674679	Re: SEE #7	29	25

290	09T	to		zürich	freiestrasse	excel	1325675191	Re: SEE #7	29	91

280	09T	to		address	wish	speaking	1325682392	Re: SEE #7	29	49

274	09T	to		yes	year	jan	1325682834	Re: SEE #7	29	19

279	09T	to		monitor	icons	imminent	1325675475	Re: SEE #7	30	60

278	09T	to		www	andy	web	1325683148	Re: SEE #7	32	20

287	09T	to		board	scene	wiesbaden	1325687780	Re: SEE #7	32	56

285	09T	to		kirk	visualisingdata	visualising	1325691876	Re: SEE #7	35	30

284	09T	to		hire	confirmed	refer	1325694035	Re: SEE #7	35	127

282	09T	to		really	don	too	1325709183	Re: SEE #7	35	8

286	09T	from		excitement	grab	officially	1325719225	Re: SEE #7	35	121

289	09T	to		barcelona	expectancy	funded	1325725703	Re: SEE #7	35	139

275	09T	to		funding	announced	speakers	1325750522	Re: SEE #7	35	97

283	09T	to		themed	exchanges	echoing	1325751119	Re: SEE #7	41	322

288	09T	to		address	knowledge	london	1325760712	Re: SEE #7	41	45

276	09T	to		conferences	invited	practice	1325765749	Re: SEE #7	41	42

422	09T	to		nathan	thorp	reaction	1325790298	Flowingdata	41	66

420	09T	to		nathan	weird	fee	1325792098	Re: Flowingdata	41	65

426	09T	to		familiar	reputation	weak	1325804827	Re: Flowingdata	41	127

427	09T	from		old	model	paid	1326141866	Re: Flowingdata	41	39

416	09T	to					1326143286	Re: Flowingdata	41	0

421	09T	to		allow	commercial	invested	1326185438	Re: Flowingdata	41	76

419	09T	to		again	money	fun	1326191551	Re: Flowingdata	41	29

425	09T	to		for	one	get	1326193789	Re: Flowingdata	41	6

424	09T	from		personally	nathan	sign	1326198883	Re: Flowingdata	41	68

404	09T	to		was	something	interesting	1325782315		47	10

423	09T	to		occasional	act	sustainability	1326200817	Re: Flowingdata	74	78

417	09T	to		met	ask	weeks	1326210983	Re: Flowingdata	74	34

418	09T	from		you	know	moritz	1326220976	Re: Flowingdata	74	13

839	09T	to		jan	willem	does	1326309908	Resonate	85	15

838	09T	to		team	unfortunately	care	1326310825	Re: Resonate	85	26

841	09T	to		love	damm	eickedorfer	1326311966	Re: Resonate	85	25

836	09T	to		advantage	license	windows	1326313100	Re: Resonate	85	71

843	09T	to		going	sure	since	1326379323	Re: Resonate	85	22

837	09T	to		glad	plans	family	1326456598	Re: Resonate	85	32

842	09T	to		moment	yet	haven	1326644075	Re: Resonate	85	13

840	09T	to		update	eyeo	attend	1328045390	Re: Resonate	85	26

996	09T	from		episodes	infinite	novice	1326491746	How does a beginner find data?	100	262

998	09T	to		statistical	movement	extensive	1326492283	Re: How does a beginner find data?	100	162

999	09T	to		gapminder	ages	journalist	1326494460	Re: How does a beginner find data?	100	158

997	09T	to		feeds	websites	acquisition	1326532953	Re: How does a beginner find data?	100	96

1000	09T	from		personally	graphs	knowing	1326585773	Re: How does a beginner find data?	100	69

1551	09T	to		arisen	deemed	delivering	1327350886	Quick bit of advice	145	250

1555	09T	to		arisen	deemed	delivering	1327352124	Quick bit of advice	146	234

1554	09T	from		higher	output	selling	1327357198	Re: Quick bit of advice	146	133

1553	09T	to		similar	kirk	says	1327357490	Re: Quick bit of advice	146	50

1552	09T	to		trainers	barriers	enricos	1327359766	Re: Quick bit of advice	146	132

1611	09T	to		normally	mistake	reckon	1327419339	Not getting cartel emails	150	134

1612	09T	from		mailto	mac	url	1327428429	Re: Not getting cartel emails	150	61

1669	09T	to		comedy	happier	competing	1327491456	imdb + vis	158	185

1666	09T	to		your	got	looking	1327492101	Re: imdb + vis	158	16

1668	09T	to		keywords	confidence	genres	1327495269	Re: imdb + vis	158	52

1667	09T	to		water	skilled	woohoo	1327502201	Re: imdb + vis	158	93

1728	09T	to		datasets	contribute	nutshell	1327518586	bat signal	168	90

1732	09T	to		jérôme	jan	probably	1327520394	Re: bat signal	168	7

1735	09T	to		the	not	then	1327520712	Re: bat signal	168	5

1730	09T	to		the	not	well	1327522116	Re: bat signal	168	8

1727	09T	to		not	definitely		1327522298	Re: bat signal	168	2

1729	09T	to		interactivethings	founding	zürich	1327565165	Re: bat signal	168	50

1734	09T	to		also	great	cartel	1327565997	Re: bat signal	168	13

1731	09T	to		cheers	may	book	1327566363	Re: bat signal	168	17

1733	09T	to		cartel	happy	sorry	1327566851	Re: bat signal	168	16

2080	09T	to		afternoon	visualising	ltd	1327932800		204	64

2081	09T	to		workshop	andrew	sort	1327938410	Re:	204	31

2497	09T	from		cube	juror	jurors	1328221509	Now I am Sure: Visualizing Marathon is Bullshit	248	55

