message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

771	1M5	to		kolojejchick	masterfully	matured	1326289306	visweek + business	81	1056

770	1M5	from		javascripty	practitionersâ	pricetag	1327098446	Re: visweek + business	81	808

782	1M5	to		igmihroaxm			1330097501	RE: visweek + business	81	1

776	1M5	from		takeaways	wannabe	afrom	1330100658	Re: visweek + business	81	1118

774	1M5	to		afford	breaks	invisible	1330104372	Re: visweek + business	81	194

781	1M5	from		request	organize	doubt	1332335883	Re: visweek + business	81	64

777	1M5	to		coincidence	wickham	considerable	1332336597	Re: visweek + business	81	125

783	1M5	from		industrial	grubbs	invitees	1332336766	Re: visweek + business	81	102

779	1M5	to		following	house	invited	1332338492	Re: visweek + business	81	63

768	1M5	from		cindustry	ajer	apossibly	1332340167	Re: visweek + business	81	812

780	1M5	to		leads	unrelated	concerned	1334331421	Re: visweek + business	81	85

785	1M5	from		fridays	partly	rewarding	1334332223	Re: visweek + business	81	324

772	1M5	to		iglzighligdhnpzgu			1334354696	RE: visweek + business	81	1

775	1M5	from		reputation	tends	mainly	1334501097	Re: visweek + business	81	126

784	1M5	to		glamorous	mill	verge	1334503090	Re: visweek + business	81	332

4227	1M5	to		often	tweet	account	1330366315	i don't understand why...	456	25

4226	1M5	from		why	change	using	1330396887	Re: i don't understand why...	456	25

4228	1M5	to		participating	resubmit	suspected	1330414374	Re: i don't understand why...	456	111

4225	1M5	from		infobeautifulawards	pepple	protected	1330447944	Re: i don't understand why...	456	267

4229	1M5	to		cannot	honestly	winning	1330455428	Re: i don't understand why...	456	64

4998	1M5	from		ads	boston	dissemination	1331226404	vis consulting list idea	535	126

4997	1M5	to		helpful	themselves	visualizers	1331226708	Re: vis consulting list idea	535	41

5873	1M5	to		sure	left	why	1332346677	Re: Lynn Cherny (@arnicas) replied to one of your Tweets!	624	21

9371	1M5	from		soviet	abulgaria	achildhood	1337019607	OECD data question?	1005	121

9369	1M5	to		stay	wish	approached	1337091804	Re: OECD data question?	1005	56

9370	1M5	from		enrollment	neutrality	russia	1337092696	Re: OECD data question?	1005	227

9372	1M5	to		formal	insightful	pockets	1337099546	Re: OECD data question?	1005	182

9368	1M5	from		mailing	entire	cuz	1337102575	Re: OECD data question?	1005	96

9930	1M5	from		cookbook	passive	editors	1337786540	Maybe we SHOULD do a group d3 book?	1075	170

9923	1M5	to		intermediate	posts	collaborating	1337788431	Re: Maybe we SHOULD do a group d3 book?	1075	78

9919	1M5	to		callback	closure	contributing	1337798115	Re: Maybe we SHOULD do a group d3 book?	1075	429

9928	1M5	from		torn	aperhaps	gem	1337799856	Re: Maybe we SHOULD do a group d3 book?	1075	774

9931	1M5	to		exciting	absolute	advanced	1337805623	Re: Maybe we SHOULD do a group d3 book?	1075	97

