message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

20892	1QI	from		believe	conversation	member	1351543818	Facebook, new position	2315	34

20888	1QI	to		work	let	jeromecukier	1351550207	Re: Facebook, new position	2315	16

20884	1QI	from		you	for	how	1351625029	Re: Facebook, new position	2315	9

20885	1QI	to		even	today	talk	1351626148	Re: Facebook, new position	2315	25

20887	1QI	from		that	time	then	1351626419	Re: Facebook, new position	2315	7

20895	1QI	to		you	jerome	then	1351626905	Re: Facebook, new position	2315	5

20886	1QI	to		today	skype	may	1351798868	Re: Facebook, new position	2315	16

20883	1QI	from		that	fine	worries	1351799153	Re: Facebook, new position	2315	3

20882	1QI	to		messages	wednesday	difference	1352124556	Re: Facebook, new position	2315	39

20893	1QI	from		being	light	wed	1352135165	Re: Facebook, new position	2315	21

20894	1QI	to		your	was	just	1352246064	Re: Facebook, new position	2315	12

20891	1QI	to		just	way	sure	1352316746	Re: Facebook, new position	2315	17

20889	1QI	from		sorry	info	difficult	1352316872	Re: Facebook, new position	2315	36

20890	1QI	to		from	best	paris	1352319052	Re: Facebook, new position	2315	5

21134	1QI	from		corporation	recevez	inclus	1351808150	Rejoindre mon réseau sur LinkedIn	2336	55

21570	1QI	from		skills	technical	position	1352753419	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	30

21576	1QI	to		times	position	anything	1352760001	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	42

21575	1QI	from		were	far	visual	1352762651	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	29

21573	1QI	to		before	happy	talk	1352807896	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	43

21578	1QI	from		mike	goes	conversation	1352831108	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	37

21574	1QI	to		best	any	hello	1353605899	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	14

23906	1QI	to		last	may	since	1355407507	status	2567	25

23907	1QI	from		arrange	crazy	interview	1355414693	Re: status	2567	30

