message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

69	1si	from		intéressé	participer	publica	1325080032	Projet R=26D Européen	7	34

70	1si	to		rendre	combien	utile	1325519297	Re: Projet R=26D Européen	7	50

329	1si	to		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

331	1si	from		pas	pour	moi	1325777593	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	6

333	1si	to		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

1033	1si	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	1si	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1114	1si	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1175	1si	from		jerome	bonjour	déjà	1326819925	EU project	112	5

1177	1si	to		bien	peut	toi	1326884252	Re: EU project	112	9

1180	1si	from		pour	peut	avant	1326967942	Re: EU project	112	7

1178	1si	to		comprendre	midi	clients	1326972484	Re: EU project	112	43

1179	1si	from		dans	donc	tous	1326973030	Re: EU project	112	11

1026	1si	to		terminé	relève	présents	1326981178	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	118	53

1328	1si	to		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1327	1si	to		ça	faire	message	1326991028	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	6

1329	1si	from		pour	sur	peux	1326991400	Re: CNN OD : Codes audioconf pour la prochaine réun ion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Famil le	121	8

1330	1si	to					1326992003	Re: CNN OD : Codes audioconf pour la prochaine réun ion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Famil le	121	0

1536	1si	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	1si	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

2341	1si	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

2762	1si	to		thème	autorisation	explicite	1328554846	Fwd: TechdaysTV =2F=2F Invitation à participer à une  émission sur l'OPen data	291	64

2770	1si	from		pas	plus	non	1328595817	Re: TechdaysTV =2F=2F Invitation à participer à une é mission sur l'OPen data	291	5

6120	1si	to		low	grands	créer	1332755740	un groupe linkedin data tuesdays?	641	43

6115	1si	from		accord	françois	minute	1332842878	Re: un groupe linkedin data tuesdays?	641	38

6117	1si	to		oublié	ouvert	cartes	1332877594	Re: un groupe linkedin data tuesdays?	641	37

6118	1si	from		vais	super	utiliser	1332909218	Re: un groupe linkedin data tuesdays?	641	3

6321	1si	to		engager	pile	insister	1332858298	=5BCNN OD=5D la fin du début de la fin	689	88

9060	1si	from		nouveau	carrasco	françois	1336538399	FW: invitation pour la conf du 4 Juillet	968	31

9061	1si	from		jerome	merci		1336543630	Re: FW: invitation pour la conf du 4 Juillet	969	2

10668	1si	to		savez	expoviz	consacrée	1338573167	Datatuesday spécial dataviz organisé dans le cadre  d'Expoviz	1168	42

t1417	1si	to	mention	the	work	http	1326329313		t58	7

t1418	1si	to	mention	next	contact	business	1331946667		t398	8

t1609	1si	to	mention	thanks	back	bruno	1333758097		t546	10

t1248	1si	to	mention	françois	communes	fbancilhon	1333759353		t550	6

t1252	1si	to	mention	jcukier	merci	fleurpellerin	1334365353		t593	15

t311	1si	to	mention	bruno	walther	tard	1338336495		t940	5

t1463	1si	from	mention	last	many	day	1347668913		t1708	18

