message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

11335	2Za	from		entry	david	hollywood	1339514712	collaborations?	1228	27

11342	2Za	to		towards	glad	common	1339517957	Re: collaborations?	1228	33

11324	2Za	from		congrats	changed	plans	1340129104	Re: collaborations?	1228	33

11330	2Za	to		conference	least	plan	1340203925	Re: collaborations?	1228	21

11320	2Za	from		try	hey	skype	1340873207	Re: collaborations?	1228	22

11331	2Za	to		showing	museum	yours	1340887215	Re: collaborations?	1228	67

11333	2Za	from		love	skype	tomorrow	1340919979	Re: collaborations?	1228	23

11339	2Za	to		fekete	organized	cybunk	1340959079	Re: collaborations?	1228	85

11321	2Za	from		the	for	then	1340966288	Re: collaborations?	1228	7

11325	2Za	from		you	can	thanks	1341319114	Re: collaborations?	1228	5

11329	2Za	to		from	your	sent	1341319219	Re: collaborations?	1228	5

11326	2Za	from		yes	please		1341319308	Re: collaborations?	1228	2

11338	2Za	to		you	then	talk	1341319526	Re: collaborations?	1228	4

11337	2Za	to		significantly	videogame	moderately	1341394740	Re: collaborations?	1228	224

11327	2Za	to		since	full	weeks	1351258255	Re: collaborations?	1228	43

11341	2Za	from		crossed	fire	licensing	1351604645	Re: collaborations?	1228	111

11334	2Za	to		properly	attribute	features	1351617365	Re: collaborations?	1228	90

11322	2Za	from		treemappa	twists	univese	1351695222	Re: collaborations?	1228	482

11328	2Za	from		always	sorry	main	1351695315	Re: collaborations?	1228	25

11332	2Za	to		chanced	coefficients	detach	1351934275	Re: collaborations?	1228	391

11343	2Za	to		how	best	next	1353678442	Re: collaborations?	1228	12

11336	2Za	from		stake	collision	insightful	1354212442	Re: collaborations?	1228	87

11323	2Za	to		finished	rock	depending	1355075805	Re: collaborations?	1228	83

11340	2Za	from		brief	ultimate	deeply	1355142678	Re: collaborations?	1228	51

11996	2Za	from		emails	david	related	1340203949	Away travelling Re: collaborations?	1307	23

12951	2Za	from		studio	occasional	promise	1341319221	In my cave, writing my new book... Re: collaborations?	1395	56

t314	2Za	to	mention	http	list	long	1330042635		t234	7

t315	2Za	to	mention	make	sure	next	1330217613		t240	7

t316	2Za	to	mention	the	you	are	1330388531		t259	6

t817	2Za	to	mention	here	being	mentioned	1340412919		t1160	16

t915	2Za	to	mention	that	though	many	1340413113		t1161	12

t710	2Za	to	mention	site	moebio	mslima	1342229542		t1418	13

t1633	2Za	to	mention	http	happy	wiederkehr	1350090044		t1826	15

t1713	2Za	from	mention	happy	wiederkehr	company	1350090244		t1827	13

t1277	2Za	from	mention	http	nice	happy	1350176909		t1828	6

t28	2Za	to	mention	effort	similar	layout	1350610567		t1952	19

