message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

6378	42B	from		êtes	ami	accepter	1332918382	Rejoindre mon réseau sur LinkedIn	697	34

6754	42B	from		lancement	croise	champagne	1333445354	Itw	725	50

6753	42B	to		crise	phase	compter	1333445513	Re: Itw	725	43

6901	42B	from		par	après	notre	1333614009	Itw	738	15

6900	42B	to		midi	livre	à+	1333643287	Re: Itw	738	29

6899	42B	from		sortie	préparer	lorsque	1333643772	Re: Itw	738	36

7528	42B	from		congés	acteur	débuts	1334587309	hello !	798	78

7530	42B	to		vue	blanc	sort	1334587638	Re: hello !	798	42

7529	42B	from		dommage	rapide	joue	1334587809	Re: hello !	798	36

7531	42B	to		conserver	dépositaire	bloquent	1334588319	Re: hello !	798	201

7532	42B	from		petit	mettre	aura	1334590700	Re: hello !	798	25

7587	42B	from		toutefois	ferez	feront	1334664935	Questions	805	291

7592	42B	to		individuellement	prédit	respecterait	1334919961	Re: Questions	805	931

7589	42B	from		importants	naudet	ajouter	1335192727	Re: Questions	805	75

7593	42B	to		sauront	vitalité	centralisatrice	1335209488	Re: Questions	805	328

7583	42B	from		hello	tes	questions	1335280388	Re: Questions	805	7

7591	42B	to		existe	création	initiatives	1335284537	Re: Questions	805	58

7585	42B	from		utilisateur	locales	publica	1335340556	Re: Questions	805	65

7584	42B	to		distribuer	particuliers	associations	1335379311	Re: Questions	805	93

7590	42B	from		particuliers	converger	relancer	1335425801	Re: Questions	805	109

7586	42B	to		texte	entier	montres	1335427611	Re: Questions	805	3

7588	42B	from		décompte	fraîchement	impliquées	1335428449	Re: Questions	805	783

7800	42B	from		bien	jérôme	mes	1334908817	itw	830	8

7802	42B	to		temps	peu	coup	1334908899	Re: itw	830	16

7801	42B	from		merci			1334908979	Re: itw	830	1

8138	42B	from		benjamin	fin	quoi	1335366097	ta dataviz	867	17

8137	42B	to		analyse	faisant	marcher	1335379390	Re: ta dataviz	867	55

8219	42B	from		après	soir	passer	1335444852	so ?	879	16

8221	42B	to		voulais	à+	connais	1335445607	Re: so ?	879	42

8220	42B	from		pas	sur	fait	1335445967	Re: so ?	879	9

10668	42B	to		savez	expoviz	consacrée	1338573167	Datatuesday spécial dataviz organisé dans le cadre  d'Expoviz	1168	42

10806	42B	from		communication	responsable	rendu	1338884651	hello	1179	28

10804	42B	to		afp	premiers	articles	1338889404	Re: hello	1179	43

10802	42B	from		encore	oui	passer	1338889807	Re: hello	1179	5

10803	42B	to		des	avec	fin	1338889939	Re: hello	1179	8

10807	42B	to		sur	ils	twitter	1338890008	Re: hello	1179	5

10805	42B	to					1338890015	Re: hello	1179	0

10808	42B	from		fais	aime	intéresser	1338890141	Re: hello	1179	19

11095	42B	from		boulot	communication	responsable	1339169144	hello	1205	22

11096	42B	to		certain	svg	tête	1339169490	Re: hello	1205	37

11877	42B	to		installer	pouviez	utilisés	1340096257	Datatuesday de ce soir	1294	50

12175	42B	from		semaine	début	juillet	1340375882	Hello	1314	14

12178	42B	to		supposé	sophia	confirmé	1340699794	Re: Hello	1314	73

12177	42B	from		benjamin	bientôt	note	1340700504	Re: Hello	1314	3

12176	42B	from		semaine	nos	prochaine	1340729125	Re: Hello	1314	14

12179	42B	to		salut	vendredi	prochaine	1341422884	Re: Hello	1314	29

12180	42B	from		ça	plus	comme	1341424165	Re: Hello	1314	10

13099	42B	from		hui	aujourd	mercredi	1341474773	rdv	1411	14

13092	42B	to		contre	aurais	mercredi	1341475197	Re: rdv	1411	25

13097	42B	from		ça	alors	mardi	1341475498	Re: rdv	1411	4

13094	42B	from		pour	benjamin	demain	1341846794	Re: rdv	1411	3

13098	42B	to		oui	écrire	allais	1341848369	Re: rdv	1411	3

13100	42B	to		est	tout	où	1341912812	Re: rdv	1411	6

13091	42B	from		dans	nous	nos	1341913202	Re: rdv	1411	7

13096	42B	to		est	temps	quel	1341913763	Re: rdv	1411	5

13093	42B	from		les	dans	place	1341914210	Re: rdv	1411	7

13095	42B	to		sur	from	suis	1341916375	Re: rdv	1411	7

18104	42B	from		jérôme	salut		1348061512	Hello	1994	2

21313	42B	from		responsable	marketing	reprendre	1352108189	Hello	2347	36

21312	42B	to		ouh	intervenir	changement	1352397423	Re: Hello	2347	65

