message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

t671	55L	to	mention	plus	fais	groupe	1340413668		t1164	2

t629	55L	to	mention	alors	rien	extérieur	1342139017		t1392	9

t673	55L	to	mention	coin	lizarewind		1342137869		t1393	19

t669	55L	to	mention	super	trucs	datavis	1342140371		t1397	15

t670	55L	to	mention	compte	pouvoir	prochaine	1342141106		t1398	15

t962	55L	from	mention	http	visualizing	jcukier	1342486526		t1432	6

t1567	55L	from	mention	smv	comcomclaire	krismkrolls	1342831233		t1475	7

t434	55L	from	mention	jcukier	jalousie		1342916081		t1478	15

t1174	55L	from	mention	smv	jcukier	krismkrolls	1342918804		t1480	18

t1060	55L	from	mention	visual	dernier	viens	1346113761		t1619	9

t668	55L	to	mention	lizarewind	eyrolles		1346113881		t1619	17

t515	55L	from	mention	jcukier	lira		1346113995		t1619	11

t674	55L	to	mention	depuis	toute	histoire	1346114126		t1619	14

t672	55L	to	mention	quand	sur	graphique	1346114197		t1619	16

t499	55L	from	mention	ton	jcukier	mal	1346114478		t1619	19

t409	55L	from	mention	jcukier	http	cet	1346114835		t1621	18

t175	55L	to	mention	avec	data	cette	1346115573		t1621	14

t1713	55L	from	mention	happy	wiederkehr	company	1350090244		t1827	13

t783	55L	from	mention	histoire	livre	art	1355793865		t2343	9

t23	55L	to	mention	chez	eyrolles	février	1355789778		t2343	12

t504	55L	from	mention	alors	jcukier	merci	1355790607		t2343	11

t783	55L	from	mention	histoire	livre	art	1355793865		t2344	9

t1464	55L	from	mention	jcukier	http	project	1356221343		t2361	12

t1191	55L	from	dm	mal	passé	viens	1342138027		dm124	1

t1258	55L	to	dm	non	enfin	étais	1342138091		dm124	17

t1217	55L	to	dm	maintenant	étais	chaque	1342138136		dm124	18

t1336	55L	from	dm	peu	prendre	ailleurs	1342138301		dm124	12

t1233	55L	to	dm	aussi	etc	peu	1342141275		dm124	13

t1023	55L	to	dm	euros	voulait	cheap	1342141296		dm124	19

t1257	55L	to	dm	pas	bon	connait	1344559574		dm124	14

t1253	55L	from	dm	ça	fait	avoir	1344560245		dm124	10

t1196	55L	to	dm	sont	rien	nos	1347412289		dm124	15

t1328	55L	from	dm	http	autres	crois	1347413377		dm124	10

t1343	55L	from	dm	que	avait	jour	1355875871		dm124	18

t1200	55L	to	dm	moment	coup	bureau	1355876152		dm124	7

t1577	55L	to	dm	ça	faire	peux	1355876436		dm124	20

t1319	55L	from	dm	oui	passé	journée	1355876478		dm124	5

t1321	55L	from	dm	cast	cartographie	bases	1355876744		dm124	10

t7	55L	to	dm	tous	avais	données	1355877427		dm124	6

t1199	55L	to	dm	passé	hier	suite	1355877441		dm124	12

t1034	55L	to	dm	que	pas	les	1355877487		dm124	4

t1314	55L	from	dm	sur	ton	site	1355878679		dm124	13

t1320	55L	to	dm	mais	quand	oui	1355879962		dm124	8

t1259	55L	to	dm	vais	passe	pays	1355880075		dm124	12

t1246	55L	from	dm	les	dans	bien	1355880618		dm124	11

t965	55L	from	dm	pour	mais	sur	1355881161		dm124	5

t1202	55L	from	dm	fait	vais	google	1356826095		dm124	15

t1678	55L	from	dm	pour	peux	encore	1356826601		dm124	3

t1091	55L	from	dm	trop	mail	google	1356831352		dm124	20

