message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

30	71g	to		rue	donnée	germain	1323871965	Dej Projet - Présidentielle	2	41

28	71g	from		gmail	cukier	jeromecukier	1323873501	Re: Dej Projet - Présidentielle	2	16

266	71g	to		benoît	thieulin	monte	1325672253	e-Tats Gen du Num - suite	26	39

3223	71g	to		courts	moscovici	délais	1328889287	Et de Un - Pacte du Numérique	335	58

3224	71g	to		date	jeudi	mehdi	1329131025	Re: Et de Un - Pacte du Numérique	335	21

3228	71g	to		voici	ordre	bonsoir	1329331832	Re: Et de Un - Pacte du Numérique	335	29

3641	71g	to		engagements	finaliser	engagés	1329479615	CR - Pacte du Numérique	384	49

3657	71g	from		socialistes	arrivait	cités	1329481174	Re: CR - Pacte du Numérique	384	101

3659	71g	from		asso	explicitement	légitimité	1329843565	RE: Re : CR - Pacte du =?ISO-8859-1?B?TnVt6XJpcXVl	404	73

3660	71g	to		législation	propriété	restons	1329844476	Re: Re : CR - Pacte du Numérique	404	162

3820	71g	to		organisant	recule	réguler	1329844922	Re : : CR - Pacte du  Numérique	405	254

t32	71g	to	mention	les	par	aimerais	1336439961		t765	14

t808	71g	to	mention	possible	merci	espère	1336613523		t787	4

t59	71g	to	mention	les	parce	mieux	1337041076		t819	13

t58	71g	to	mention	data	mon	données	1337043828		t821	8

t1244	71g	to	mention	merci	regardscitoyens		1337130671		t828	9

t809	71g	to	mention	merci	regardscitoyens		1338337296		t941	13

t804	71g	to	mention	http	mal	passé	1338514165		t963	16

t806	71g	to	mention	niveau	haut	carte	1338514203		t964	13

t805	71g	to	mention	est	mais	correct	1338514188		t965	14

t807	71g	to	mention	meilleure	liberté	expression	1339115381		t1009	2

t1531	71g	to	mention	contre	porte	regardscitoyens	1339115823		t1011	12

t1337	71g	to	mention	mon	http	dernier	1339203296		t1016	7

t190	71g	to	mention	vraiment	svg	récupérer	1339203071		t1021	1

t1532	71g	to	mention	demain	toute	journée	1339892163		t1091	12

t1333	71g	to	mention	est	pour	vous	1346031419		t1610	13

t975	71g	from	mention	quoi	ratzillas	regardscitoyens	1346031517		t1611	16

