message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

12404	8O4	to		eickedorfer	lilienthal	grüße	1340820628	Re: Data Visualisation Commission	1358	27

12417	8O4	from		provides	streamgraph	mockups	1340876344	Re: Data Visualisation Commission	1358	135

12421	8O4	to		participate	hasn	decisions	1340898174	Re: Data Visualisation Commission	1358	53

12419	8O4	from		french	attached	added	1340907934	Re: Data Visualisation Commission	1358	35

12418	8O4	to		instance	instead	takes	1340958497	Re: Data Visualisation Commission	1358	32

12420	8O4	from		case	early	call	1340968232	Re: Data Visualisation Commission	1358	34

12405	8O4	to		time	possible	hello	1341307076	Re: Data Visualisation Commission	1358	17

12408	8O4	from		jerome	then	tom	1341307183	Re: Data Visualisation Commission	1358	4

12416	8O4	to		hoping	proposal	nutshell	1341410999	Re: Data Visualisation Commission	1358	40

12403	8O4	from		prototype	keen	outlined	1341579393	Re: Data Visualisation Commission	1358	93

12422	8O4	to		perception	sample	prototype	1341589815	Re: Data Visualisation Commission	1358	104

12407	8O4	from		give	version	set	1341592863	Re: Data Visualisation Commission	1358	24

12414	8O4	to		turnover	records	drilled	1341764663	Re: Data Visualisation Commission	1358	293

12413	8O4	from		please	regards	attached	1344095186	Re: Data Visualisation Commission	1358	20

13779	8O4	to		sector	unnecessary	zooms	1342194876	where I'm at right now	1493	276

13777	8O4	from		what	jerome	time	1342197304	Re: where I'm at right now	1493	14

13775	8O4	to		lat	lon	geography	1342422109	Re: where I'm at right now	1493	180

14295	8O4	from		diameter	photoshop	prashant	1342912725	Re: Growth browser feedback	1566	345

14302	8O4	to		mouseover	stroke	switching	1343078191	Re: Growth browser feedback	1566	131

14464	8O4	from		representing	gatten	calendar	1343068023	The size of the containing bubble	1598	77

14465	8O4	to		represent	selection	deliver	1343077490	Re: The size of the containing bubble	1598	109

14293	8O4	from		red	various	essentially	1343140658	Re: Growth browser feedback	1603	31

14294	8O4	to		colours	wise	comparison	1343143018	Re: Growth browser feedback	1603	37

14299	8O4	from		mockup	preference	googlemail	1343147400	Re: Growth browser feedback	1603	57

14301	8O4	to		both	bad	fairly	1343148377	Re: Growth browser feedback	1603	22

14560	8O4	from		determines	fastest	hugely	1343207709	Fwd: GI Growthbrowser Map view	1610	268

14558	8O4	to		postcode	districts	overlapping	1343230688	Re: GI Growthbrowser Map view	1610	171

14556	8O4	from		parts	london	overlap	1343245505	Re: GI Growthbrowser Map view	1610	48

14557	8O4	to		london	larger	nick	1343345666	Re: GI Growthbrowser Map view	1610	50

14559	8O4	from		premises	refining	watts	1343379927	Re: GI Growthbrowser Map view	1610	308

14720	8O4	from		east	payment	payments	1343381698	Account Details	1622	54

14738	8O4	to		mechanism	attempting	formatting	1343426896	Re: Progress update	1625	221

14793	8O4	from		message	forwarded		1343492904	Fwd: Re: vector map	1628	2

14794	8O4	to		post	svg	file	1343502412	Re: Re: vector map	1628	23

14957	8O4	from		gatten	calendar	warehouse	1343746037	Contact?	1653	84

14958	8O4	to		watching	styling	github	1343747007	Re: Contact?	1653	70

14954	8O4	from		via	send	contract	1343751026	Re: Contact?	1653	39

14955	8O4	from		you	could	cheers	1343751039	Re: Contact?	1653	6

14956	8O4	to		there			1343751744	Re: Contact?	1653	1

15037	8O4	from		control	east	slider	1343838558	iPad	1660	37

15038	8O4	to		ipad	approach	touch	1343845158	Re: iPad	1660	25

15036	8O4	from		zoom	aug	slider	1343847613	Re: iPad	1660	62

15035	8O4	to		originally	zooming	selecting	1343848920	Re: iPad	1660	119

15290	8O4	from		gmail	cukier	jeromecukier	1344267814	Send files to jerome	1694	18

15288	8O4	to		coded	containing	layered	1344284156	Re: Send files to jerome	1694	109

15289	8O4	from		thanks	cheers	tom	1344285662	Re: Send files to jerome	1694	4

15295	8O4	from		solution	scale	access	1344517411	Re: Initial feedback	1695	39

15293	8O4	to		risk	strokes	factor	1344525706	Re: Initial feedback	1695	132

15292	8O4	from		tom	speak	select	1344527699	Re: Initial feedback	1695	50

15790	8O4	to		current	present	fixed	1344959571	growth intelligence explorer	1759	54

16046	8O4	from		got	haven	soon	1345259717	Contract	1794	19

16045	8O4	to		copy	present	current	1346107748	Re: Contract	1794	56

16047	8O4	from		tom	users	session	1346158404	Re: Contract	1794	36

16515	8O4	from		contract	tom	wait	1346158120	Re: Growth browser update	1817	34

16610	8O4	to		yesterday	published	prash	1346256173	follow up	1823	27

16609	8O4	from		jerome	thanks	tom	1346768944	Re: follow up	1823	3

16760	8O4	to		legend	layers	breadcrumb	1346430438	breadcrumbs and zooming out	1834	107

