message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2316	8ph	from		samuel	catégories	européens	1328083594	OCDE 	232	54

3580	8ph	from		intéresse	samuel		1329406138	Amelia Andersdotter :: Pirate Party UE Deputy @ Paris	378	2

t973	8ph	to	mention	rencontre	utilisateurs	cybunk	1328662946		t162	16

t1024	8ph	to	mention	fyi	jandcross	cybunk	1340759906		t1208	4

t1393	8ph	to	mention	few	visweek	fun	1350522742		t1875	16

t14	8ph	to	mention	from	change	datavis	1350610165		t1947	17

t557	8ph	from	mention	more	jcukier	than	1350610481		t1947	14

t247	8ph	to	mention	this	meet	datatelling	1350610166		t1948	16

t551	8ph	from	mention	jcukier	cybunk	whattup	1350610376		t1948	13

t1394	8ph	to	mention	will	time	first	1350694045		t1984	16

t1218	8ph	from	mention	http	twitter	through	1351819646		t2022	5

t1575	8ph	to	dm	faire	ton	qqch	1340498835		dm110	6

t1313	8ph	to	dm	passe	puis	grand	1340498876		dm110	13

t4	8ph	from	dm	pas	suivi	malheusement	1341364402		dm110	6

t1189	8ph	to	dm	tweets	api	search	1341365396		dm110	12

