message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

15378	9BU	from		researcher	sophia	rkosara	1344376306	Introduction Jerome <=> Sophia	1707	99

15380	9BU	to		weeks	spent	robert	1344379071	Re: Introduction Jerome <=> Sophia	1707	51

19397	9BU	from		everybody	happens	robert	1349830764	Re: Tutorial setup questions	2115	65

19395	9BU	to		tableausoftware	robert	kosara	1349883676	Re: Tutorial setup questions	2115	112

19399	9BU	from		theater	presenters	tables	1349909685	RE: Tutorial setup questions	2115	108

19398	9BU	to		presenters	rkosara	tables	1349912986	Re: Tutorial setup questions	2115	133

19394	9BU	from		wasn	link	guess	1349999195	RE: Tutorial setup questions	2115	31

19400	9BU	to		oct	okay	speaker	1350000421	Re: Tutorial setup questions	2115	47

t273	9BU	to	mention	http	eagereyes	head	1326415825		t75	12

t280	9BU	to	mention	who	then	did	1326501757		t79	14

t1443	9BU	to	mention	new	http	idea	1326761932		t90	15

t282	9BU	to	mention	very	point	while	1330393008		t261	11

t281	9BU	to	mention	must	coming	eagereyes	1330393053		t262	11

t1039	9BU	to	mention	http	many	post	1330477526		t266	10

t1216	9BU	to	mention	moritz	stefaner	keep	1331598337		t354	10

t1435	9BU	to	mention	post	does	mean	1333412471		t508	15

t1413	9BU	to	mention	time	visualization	new	1333758431		t557	15

t1044	9BU	to	mention	http	fantastic	jasondavies	1335226076		t672	12

t277	9BU	to	mention	nice	profile	eagereyes	1335489619		t690	6

t1521	9BU	to	mention	about	visualization	http	1335834205		t720	14

t1412	9BU	to	mention	http	into	new	1336095315		t738	10

t251	9BU	to	mention	btw	tableau	eagereyes	1336784152		t807	14

t1411	9BU	to	mention	visualization	new	http	1341969565		t1371	9

t989	9BU	to	mention	will	time	comment	1341969581		t1372	8

t834	9BU	from	mention	excel	deal	dates	1342746457		t1460	11

t835	9BU	from	mention	jcukier	visualisingdata	change	1342746427		t1460	3

t266	9BU	from	mention	thanks	jcukier	eagereyes	1342746501		t1460	11

t268	9BU	from	mention	visualisingdata	access	remember	1342746656		t1460	21

t309	9BU	from	mention	jcukier	visualisingdata	number	1342746813		t1460	5

t269	9BU	from	mention	jcukier	visualisingdata	eagereyes	1342746813		t1460	17

t272	9BU	to	mention	best	eagereyes	luck	1347412236		t1698	10

t530	9BU	from	mention	you	jcukier	thank	1347412394		t1698	4

t1414	9BU	to	mention	new	http	hello	1347931912		t1714	14

t1677	9BU	from	mention	jcukier	http	visweek	1350262293		t1834	13

t264	9BU	to	mention	with	data	there	1350350028		t1852	4

t1173	9BU	from	mention	last	off	bottom	1350437534		t1870	18

t279	9BU	to	mention	the	let	eagereyes	1350437546		t1870	18

t1284	9BU	to	mention	visualization	non	http	1350523462		t1884	21

t502	9BU	from	mention	the	was	jcukier	1350523575		t1884	11

t276	9BU	to	mention	you	from	more	1350523635		t1884	14

t395	9BU	from	mention	open	visweek	btw	1350518883		t1884	9

t46	9BU	to	mention	and	like	visweek	1350518969		t1884	3

t1410	9BU	to	mention	important	talk	his	1350521673		t1887	13

t283	9BU	to	mention	you	was	people	1350522554		t1890	10

t1626	9BU	from	mention	way	visweek	guess	1350522555		t1891	15

t552	9BU	from	mention	they	time	data	1350607706		t1906	12

t270	9BU	to	mention	something	different	user	1350607875		t1906	3

t271	9BU	from	mention	each	while	both	1350609329		t1921	6

t403	9BU	from	mention	just	think	also	1350609816		t1921	10

t988	9BU	from	mention	visweek	being	ask	1350609944		t1922	8

t318	9BU	from	mention	jcukier	eagereyes	infosthetics	1350609964		t1922	12

t249	9BU	from	mention	too	only	next	1350610061		t1922	9

t262	9BU	from	mention	need	only	tweet	1350610181		t1922	11

t261	9BU	from	mention	twitter	check	tool	1350605403		t1922	4

t1429	9BU	from	mention	being	ask	courage	1350610181		t1924	12

t1428	9BU	to	mention	visweek	being	ask	1350610203		t1925	9

t423	9BU	from	mention	that	jcukier	where	1350605785		t1933	5

t267	9BU	to	mention	krees	above	bottom	1350605835		t1933	6

t394	9BU	from	mention	under	eagereyes	head	1350606029		t1933	5

t796	9BU	from	mention	thanks	jcukier	krees	1350605012		t1933	13

t16	9BU	to	mention	not	good	very	1350610304		t1951	9

t899	9BU	from	mention	eagereyes	speaking	infosthetics	1350695955		t1968	17

t521	9BU	from	mention	the	paris	jcukier	1350693851		t1980	2

t275	9BU	to	mention	what	about	doing	1350694169		t1980	4

t250	9BU	from	mention	the	jcukier	talk	1350694035		t1983	17

t263	9BU	from	mention	jcukier	eagereyes	achpea	1350694136		t1983	15

t880	9BU	to	mention	you	one	http	1352592565		t2071	20

t825	9BU	to	mention	don	http	thank	1352854057		t2101	18

t426	9BU	from	mention	jason	thank	took	1352855016		t2101	8

t554	9BU	from	mention	jcukier	two	different	1355185601		t2240	12

t274	9BU	to	mention	the	and	this	1355185716		t2240	10

t265	9BU	from	mention	maybe	another	hand	1355184921		t2240	12

t278	9BU	to	mention	end	place	take	1355789523		t2346	16

