message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

7480	Bim	from		concentre	bté	impliquer	1334561814	RE : Rejoignez mon réseau sur LinkedIn	794	80

15100	Bim	from		tranquillement	mademoiselle	pensées	1343920957	Re: ça fait pile 2 semaines que  tu m'as dit que ce serait dans 2 -3 semaines	1668	57

15099	Bim	to		jour	étais	bises	1345061484	Re: ça fait pile 2 semaines que tu m'as dit que ce  serait dans 2-3 semaines	1668	30

15101	Bim	from		partis	familles	beaux	1345216396	Re: ça fait pile 2 semaines que tu m'as dit que ce ser ait dans 2-3 semaines	1668	76

15103	Bim	to		prénom	feront	gestes	1345217448	Re: ça fait pile 2 semaines que tu m'as dit que ce  serait dans 2-3 semaines	1668	80

21456	Bim	from		présentons	trojani	amine	1352217812	Lucille & Co	2367	51

21455	Bim	to		devient	cap	flavie	1352220006	Re: Lucille & Co	2367	62

