message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1384	CiR	from		professionals	block	health	1327053960	[Peltier Tech Blog] New Comment On: Graphing The Cost of Health Care	127	51

5834	CiR	from		grandma	profession	stylish	1332320234	[Peltier Tech Blog] New Comment On: Graphing The Cost of Health Care	617	82

6104	CiR	from		below	author	cost	1332751882	[Peltier Tech Blog] New Comment On: Graphing The Cost of Health Care	638	42

t568	CiR	to	mention	read	tweets	found	1325899447		t31	15

t507	CiR	from	mention	class	tuesday	hit	1342661404		t1445	5

t578	CiR	to	mention	can	then	free	1342661733		t1445	12

t405	CiR	from	mention	with	but	get	1342744334		t1445	12

t527	CiR	from	mention	tomorrow	night	class	1343179465		t1445	19

t575	CiR	to	mention	for	good	jon	1343177816		t1445	14

t404	CiR	from	mention	good	jcukier	too	1343179143		t1445	6

t567	CiR	from	mention	after	try	today	1343175561		t1445	13

t574	CiR	to	mention	you	like	look	1343174752		t1445	10

t1211	CiR	from	mention	had	jcukier	down	1343179619		t1513	4

t946	CiR	from	mention	class	learned	jon	1343176515		t1514	17

t468	CiR	from	mention	the	you	had	1344125924		t1555	13

t569	CiR	to	mention	based	hand	charts	1352337063		t2060	10

t497	CiR	from	mention	the	but	jcukier	1352337251		t2060	15

t573	CiR	to	mention	can	know	design	1355100096		t2235	7

t526	CiR	from	mention	one	like	jcukier	1355188864		t2240	2

t570	CiR	to	mention	you	have	when	1355185837		t2240	10

t1471	CiR	to	mention	janwillemtulp	jon	graphic	1355275525		t2272	13

