message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1317	DlW	to		restrictions	apport	implique	1326993506	Re: CNN	120	214

1523	DlW	to		message	forwarded		1329219767	Fwd: =5BCNN OD=5D fin de la rédaction du rapport	144	2

3316	DlW	to		actuel	contributions	lesquelles	1329124128	pour demain	347	42

3429	DlW	to		voilà	espère	compte	1329238802	Rapport retravaillé	360	15

3565	DlW	to		états	candidats	présidentielle	1329388314	etats généraux du numérique et CNN	376	68

2540	DlW	to		finances	fixée	assistante	1329754000	Re: Rdv=2FOpen Data du 14=2F02 à 12h	388	95

4195	DlW	to		dont	besoin	quelque	1330348094	re - open data	449	25

4192	DlW	to		serai	btw	avez	1331027623	Re: re - open data	449	22

4194	DlW	from		encore	car	semaine	1331027901	Re: re - open data	449	15

6114	DlW	to		demandent	naudet	séverin	1332755144	[CNN OD] bump!	640	93

6697	DlW	to		message	forwarded		1333371496	Fwd: précision au sujet du texte de l'open data	721	2

7170	DlW	from		jérôme	hello		1334137332	Re: [cnn + OD]	758	2

7168	DlW	to		avais	fin	mois	1334149964	Re: [cnn + OD]	758	13

t1380	DlW	to	mention	http	écrit	business	1326415721		t66	14

t1315	DlW	to	mention	voit	pars	cherche	1327021713		t111	15

t168	DlW	to	mention	monde	aura	btabaka	1328144905		t148	10

t1379	DlW	to	mention	chaque	année	euros	1329787747		t213	19

t1382	DlW	to	mention	europe	btabaka	acta	1329959523		t223	13

t1383	DlW	to	mention	ses	ocde	recommandations	1330042983		t225	13

t122	DlW	to	mention	babgi	btabaka	authorization	1330392244		t243	13

t167	DlW	to	mention	truc	google	numérique	1330392468		t245	12

t165	DlW	to	mention	est	ça	paraît	1330562175		t274	16

t1674	DlW	to	mention	whole	tweets	trouble	1331685739		t365	11

t1378	DlW	to	mention	http	soit	numérique	1332290853		t416	16

t1386	DlW	to	mention	sarkozy	nouveaux	btabaka	1332461133		t429	13

t1385	DlW	to	mention	priori	sarkozy	annonce	1332461245		t436	14

t1377	DlW	to	mention	numérique	ici	quelques	1332461703		t440	15

t1381	DlW	to	mention	peu	http	numérique	1332552678		t447	13

t310	DlW	to	mention	team	btabaka	henriverdier	1336783624		t802	14

t166	DlW	to	mention	mes	google	btabaka	1337040993		t818	9

t164	DlW	to	mention	faire	vas	plaisir	1337821964		t891	19

t1384	DlW	to	mention	selon	devrait	cnnum	1338941377		t984	15

t1047	DlW	to	mention	btabaka	félicitations	fleurpellerin	1341537025		t1310	2

