message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

329	G6s	to		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

332	G6s	from		que	soir	bonjour	1325772629	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	10

333	G6s	to		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

405	G6s	from		online	above	proposition	1325783683	Proposition Contenu CNNOD (jeromecukier@gmail.com)	48	21

1033	G6s	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	G6s	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1025	G6s	from		journée	call	serai	1326965607	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	17

1028	G6s	from		sur	tous	données	1326980094	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	11

1114	G6s	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1328	G6s	to		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1536	G6s	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	G6s	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

2341	G6s	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

5687	G6s	from		instant	pierre	avez	1332174940	Livre blanc open data	600	22

5689	G6s	to		sent	mobile	object	1332176935	Re: Livre blanc open data	600	17

5686	G6s	from		présenter	idéal	remercie	1336560340	Re: Livre blanc open data	600	26

5688	G6s	to		final	laurent	document	1336660279	Re: Livre blanc open data	600	17

6321	G6s	to		engager	pile	insister	1332858298	=5BCNN OD=5D la fin du début de la fin	689	88

10894	G6s	to		constater	diverses	sensibilités	1338976825	CNNum - sortie de l'avis Open Data	1193	138

10891	G6s	from		près	jérome	continue	1339411184	Re: CNNum - sortie de l'avis Open Data	1193	39

10888	G6s	from		politique	lire	cnnum	1347629823	Re: CNNum - sortie de l'avis Open Data	1193	22

16334	G6s	from					1345819703	The French Digital Council publishes its recommendations on open data (jeromecukier@gmail.com)	1803	0

16623	G6s	to		semaine	bonjour	lundi	1346271117	Re: The French Digital Council publishes its recommendations on open data (sakune2@gmail.com)	1826	20

16624	G6s	to		disic	redire	dgme	1346690170	Re: The French Digital Council publishes its recommendations on open data (sakune2@gmail.com)	1826	53

