message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

3322	GPR	from		programming	java	chatting	1329138408	Re: more on learning d3	349	57

11567	GPR	from		reject	western	analyst	1339695857	Just next weird question lol	1261	243

11565	GPR	to		formal	discovering	viable	1339709468	Re: Just next weird question lol	1261	175

11566	GPR	from		appeared	agnieszka	employee	1339927356	Re: Just next weird question lol	1261	216

17080	GPR	from		luck	url	spam	1346870598	[Jerome Cukier] Comment: "Which way to the right?"	1876	36

t813	GPR	to	mention	paris	place	where	1332895162		t472	7

t326	GPR	to	mention	before	bit	wanted	1338253481		t916	16

t811	GPR	to	mention	day	anything	arnicas	1338255547		t917	19

t810	GPR	to	mention	thanks	right	getting	1341015276		t1232	2

t1710	GPR	from	mention	jcukier	same	tableau	1344646222		t1588	17

t812	GPR	to	mention	thanks	russiansphinx		1344646604		t1588	10

t1067	GPR	from	mention	good	when	jcukier	1345253992		t1600	16

t949	GPR	from	mention	this	jcukier	http	1346893691		t1662	19

t1466	GPR	from	mention	jcukier	interactive	http	1352765759		t2088	11

t1305	GPR	from	dm	you	time	how	1329004924		dm1	17

t1687	GPR	to	dm	when	well	thing	1329006622		dm1	22

t1007	GPR	from	dm	know	good	any	1329007893		dm1	15

t1204	GPR	from	dm	people	who	most	1329008962		dm1	15

t1738	GPR	to	dm	think	get	good	1329009067		dm1	17

t1612	GPR	to	dm	not	thanks	though	1341534381		dm1	7

t1147	GPR	to	dm	they	think	last	1341620073		dm1	16

t1134	GPR	from	dm	understand	viz	ever	1341624633		dm1	12

t1054	GPR	from	dm	the	that	from	1341624637		dm1	8

t1270	GPR	from	dm	new	photo		1344649192		dm1	4

