message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

55	GaC	from		message	envoyé	début	1324957024	Fwd: Rencontre intercollectivités	4	14

54	GaC	to		posent	recommande	expliciter	1324975814	Re: Fwd: Rencontre intercollectivités	4	92

222	GaC	from		soirée	réunion	sébastien	1325620323		21	21

223	GaC	to		là	sent	mobile	1325664951	Re:	21	13

224	GaC	from		bonjour	vers	appelle	1325668479	Re:	21	8

329	GaC	from		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

326	GaC	to		réservé	sécurité	accueil	1325700026	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	54

336	GaC	to		andré	siège	càd	1325772391	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	45

333	GaC	from		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

341	GaC	to		hier	skype	ligne	1325781409	Re: Chat with Sébastien Le Bail	46	21

340	GaC	from		pas	plus	tout	1325782604	Re: Chat with Sébastien Le Bail	46	10

409	GaC	to		lolf	qualifie	répertoires	1325786967	CNNOD - idées d'Emmanuel Marcovitch	49	363

410	GaC	from		merci	laurent	sébastien	1325787018	Re: CNNOD - idées d'Emmanuel Marcovitch	49	4

467	GaC	to		légaux	protégeant	rassemblons	1325858947	suite des opérations	52	514

468	GaC	from		pour	top	vite	1325863158	Re: suite des opérations	52	6

470	GaC	to		groupe	doc	éventuellement	1325886280	Re: suite des opérations	52	22

469	GaC	from		les	cet	midi	1325926926	Re: suite des opérations	52	9

465	GaC	to		idéalement	cap	repris	1326121425	Re: suite des opérations	52	74

466	GaC	from		suis	dessus	sébastien	1326121804	Re: suite des opérations	52	4

659	GaC	from		apporter	concernant	fiche	1326141632	Re:	68	35

649	GaC	from		éléments	infos	doodle	1326210492	Re:	68	47

653	GaC	from		merci	demain	bonne	1326220967	Re:	68	21

628	GaC	to		bdans	dataconnections	enrobe	1326296349	Re: Chat with Sébastien Le Bail	83	205

632	GaC	from		avancer	asap	esp	1326301029	Re: Chat with Sébastien Le Bail	83	41

631	GaC	to		tarification	mettes	traitées	1326302019	Re: Chat with Sébastien Le Bail	83	155

630	GaC	from		avant	demain	dois	1326302381	Re: Chat with Sébastien Le Bail	83	14

629	GaC	from		merci	demain	tard	1326302429	Re: Chat with Sébastien Le Bail	83	13

906	GaC	to		écriture	profité	contrib	1326392602	fiches	92	186

1033	GaC	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	GaC	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1035	GaC	from		tente	bouger	derni	1326903476	Re: CNN OD : Prochaine réunion jeudi 19 janvier 2 012 de 18:30 =C3=A0 20:00 chez Notre Famille	101	45

1114	GaC	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1312	GaC	to		message	forwarded		1326990819	Fwd: CNN 2.doc	119	2

1315	GaC	to		message	forwarded		1326990844	Fwd: CNN	120	2

1316	GaC	from		merci	version	arrive	1326992266	Re: CNN	120	12

1317	GaC	to		restrictions	apport	implique	1326993506	Re: CNN	120	214

1325	GaC	to		pour	sur	être	1326993626	Re: CNN	120	6

1328	GaC	from		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1536	GaC	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	GaC	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

1761	GaC	to		résumé	aides	corrections	1327565599	fin du rapport	170	106

1763	GaC	to		recommandations	jointe	présenter	1327565838	les projets	171	38

1762	GaC	from		bme	jér	sébastien	1327566980	Re: les projets	171	21

1531	GaC	from		merci	sébastien	bail	1327831744	Re: [CNN OD] fin de la rédaction du rapport	190	4

2024	GaC	from		sébastien	jérome	étant	1328008398	Re: CNN - open data - last mile	196	24

2341	GaC	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

3429	GaC	to		voilà	espère	compte	1329238802	Rapport retravaillé	360	15

5687	GaC	to		instant	pierre	avez	1332174940	Livre blanc open data	600	22

6321	GaC	to		engager	pile	insister	1332858298	=5BCNN OD=5D la fin du début de la fin	689	88

10875	GaC	from		tous	bonjour	travail	1338974826	Re: bravo	1191	14

10874	GaC	to		les	sur	nous	1338977308	Re: bravo	1191	10

10890	GaC	from		suis	tous	paris	1341506730	Re: CNNum - sortie de l'avis Open Data	1415	11

10898	GaC	to		très	oui	idée	1341506877	Re: CNNum - sortie de l'avis Open Data	1415	5

10895	GaC	to		jurisprudence	chagement	etape	1341507936	Re: CNNum - sortie de l'avis Open Data	1415	65

