message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

3223	Gcl	to		courts	moscovici	délais	1328889287	Et de Un - Pacte du Numérique	335	58

3224	Gcl	to		date	jeudi	mehdi	1329131025	Re: Et de Un - Pacte du Numérique	335	21

3228	Gcl	to		voici	ordre	bonsoir	1329331832	Re: Et de Un - Pacte du Numérique	335	29

3641	Gcl	to		engagements	finaliser	engagés	1329479615	CR - Pacte du Numérique	384	49

3898	Gcl	to		relais	nécessaires	odéon	1329921324	Doc - Version finale	410	43

4045	Gcl	to		voici	adresse	doc	1330079109	Tribune Collectif Pacte du Num	428	22

4041	Gcl	to		aménagement	cohésion	générations	1330083479	Re: Tribune Collectif Pacte du Num	428	80

4114	Gcl	to		quelle	mac	remarques	1330180625	finalisation tribune	440	29

4166	Gcl	to		faudrait	puisse	intro	1330332107	RE :	444	24

4165	Gcl	from		jér	pierre	accord	1330333714	Re: RE :	444	28

4168	Gcl	to		accès	christian	parfait	1330333986	Re: RE :	444	3

4250	Gcl	to		vos	sommes	voici	1330381781	http://pacte-numerique-2012.org/	460	28

4270	Gcl	to		commentaires	commun	wordpress	1330421401	http://pacte-numerique-2012.org/	461	36

4277	Gcl	to		dans	notre	sera	1330423378	RE :	463	9

4282	Gcl	from		texte	bme	donne	1330455439	Re: Re : Tribune commune	469	27

4289	Gcl	to		pour	tout	mehdi	1330456785	Re: Re : Tribune commune	469	4

4387	Gcl	to		jerome	peut	enfin	1330526525	tu lances le truc pour demain?	482	13

4541	Gcl	to		dès	pierre	mets	1330681677	RE : Pacte	499	27

4730	Gcl	to		mehdi	retour	français	1330949831	Signataire Tribune	512	19

5303	Gcl	to		principe	sachant	echos	1331715803	RE :	558	40

5516	Gcl	to		ajouté	ajouter	fondateur	1331912144	RE :	582	23

5514	Gcl	to		faut	partie	site	1331913545	Re: RE :	582	15

5741	Gcl	from		arguments	développer	princen	1332513722	Re: Actualité du Pacte	630	65

5735	Gcl	to					1332575402	Re: Actualité du Pacte	630	0

6458	Gcl	to		déploiement	invit	jussieu	1333010908	Fwd: =5BPrésidentielle 2012=5D Invitation: BarCamp avec  Nicolas Dupont-Aignan	705	178

6498	Gcl	to		pas	des	avoir	1333030888	Re: RE :	709	7

6560	Gcl	to		aignan	réu	inclusion	1333104778	RE :	713	40

6578	Gcl	to		parole	déclaration	facteur	1333121616	Il y a de la marge	715	29

6856	Gcl	to		notamment	événement	comporte	1333553146	Fwd: Conrad Wolfram interviendra à la conférence M icrosoft: Quelle école pour demain ? Paris=2C 5 avril 2012=2FCo nrad Wolfram to speak at the Paris Microsoft conference: Wha t is the future of education? 5 April 2012	735	27

7576	Gcl	to		est	répondre	obligé	1334657022	RE :	804	7

