message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

8464	Hdd	from		êtes	linkedin	réseau	1335807127	Rejoindre mon réseau sur LinkedIn	916	30

t890	Hdd	to	mention	kilianba	ratzillas	davidmedioni	1334366163		t595	13

t803	Hdd	to	mention	être	peut	demain	1334448562		t597	12

t804	Hdd	to	mention	http	mal	passé	1338514165		t963	16

t806	Hdd	to	mention	niveau	haut	carte	1338514203		t964	13

t805	Hdd	to	mention	est	mais	correct	1338514188		t965	14

t1333	Hdd	to	mention	est	pour	vous	1346031419		t1610	13

t975	Hdd	from	mention	quoi	ratzillas	regardscitoyens	1346031517		t1611	16

t1395	Hdd	to	mention	2012	aka	ratzillas	1356744183		t2379	16

