message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

342	HxV	from		notrefamille	joyeux	messagerie	1325700053	Accès limité à ma messagerie Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012 de 18:00 à 20:00 à l'OCDE 2, rue André Pascal 75016 Paris	38	58

657	HxV	to		meilleurs	patrimoine	culturel	1326140345	Re:	68	76

655	HxV	from		achevé	débordé	désagréments	1326209279	RE: 	68	218

649	HxV	to		éléments	infos	doodle	1326210492	Re:	68	47

651	HxV	from		sebastienlb	doodle	définir	1326211198	RE: 	68	79

654	HxV	to		vue	loi	appeler	1326212814	Re:	68	34

663	HxV	from		emmanuel	laurent	sébastien	1326270941	RE: 	68	66

656	HxV	from		condamine	laurent	sébastien	1326302059	RE: 	68	66

650	HxV	to		pour	très	cette	1326303843	Re:	68	10

662	HxV	from		premièrement	provenir	préalable	1326358822	RE: 	68	345

661	HxV	to					1326359097	Re:	68	0

1022	HxV	from		parvenir	fiche	népote	1326968131	RE: CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	126

1031	HxV	to		venait	verras	activité	1326972380	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	122

1029	HxV	from		venait	verras	activité	1326988345	RE: CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	146

1032	HxV	to		tout	faire	heure	1326989352	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	11

1294	HxV	from		click	emmanuel	above	1326972528	Request to share livre-blanc	117	28

1024	HxV	from		présents	déplace	couvrir	1326982419	RE: CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	118	86

10876	HxV	from		gros	bientôt	viens	1338967270	bravo	1191	22

10875	HxV	to		tous	bonjour	travail	1338974826	Re: bravo	1191	14

10889	HxV	from		epi	libération	réutilisateurs	1341489597	RE: CNNum - sortie de l'avis Open Data	1193	283

10899	HxV	from		administrative	banga	barigault	1341503779	RE: CNNum - sortie de l'avis Open Data	1193	165

10892	HxV	from		publica	ccomptes	emarcovitch	1341506917	RE: CNNum - sortie de l'avis Open Data	1415	77

