message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

20918	Ih7	from		contresens	créditée	employée	1351588810	Edition française de "Visalize this" de N. Yau : recherc he d'un collaborateur technique pour relecture de la tradu ction	2317	245

20922	Ih7	to		dispose	utilise	adapter	1351616571	Re: Edition française de "Visalize this" de N. Yau  : recherche d'un collaborateur technique pour relecture de l a traduction	2317	91

20968	Ih7	from		return	novembre	november	1351616699	Réponse automatique=A0: Edition française de "Visalize  this" de N. Yau : recherche d'un collaborateur technique  pour relecture de la traduction	2317	38

20919	Ih7	from					1352997124	=?utf-8?B?UkU6IEVkaXRpb24gZnJhbsOnYWlzZSBkZSAiVmlzYWxpemUgdGhpcyIgZGUg =?utf-8?B?Ti4gWWF1IDogcmVjaGVyY2hlIGQndW4gY29sbGFib3JhdGV1ciB0ZWNobmlx ue pour relecture de la traduction	2317	0

20921	Ih7	to		mentions	fichiers	nathan	1353684896	Re: Edition française de "Visalize this" de N. Yau  : recherche d'un collaborateur technique pour relecture de l a traduction	2317	67

20920	Ih7	from		dqoncgk	bgugzmljagllcia	bmugzmfjdhvyzsa	1354202944	=?utf-8?B?UkU6IEVkaXRpb24gZnJhbsOnYWlzZSBkZSAiVmlzYWxpemUgdGhpcyIgZGUg =?utf-8?B?Ti4gWWF1IDogcmVjaGVyY2hlIGQndW4gY29sbGFib3JhdGV1ciB0ZWNobmlx ue pour relecture de la traduction	2317	4

23043	Ih7	from					1354288707	Visualize this - chapitre 5	2505	0

23624	Ih7	from		dqonclbvdxig			1355150318	TR: Visualize this - chapitre 6	2545	1

24175	Ih7	from		sa]	julie	[eyrolles	1355763701	Visualize this: chapitre 7	2589	46

