message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

9074	Ink	from		teenagers	charity	friendship	1336554406	British 10k for Friendship Works	971	129

18551	Ink	to		the	back	two	1348665584	This was the sleeve in which I got my good bye card	2039	8

18552	Ink	to		ladies	shout	sophie	1348671321	Re: This was the sleeve in which I got my good bye card	2039	55

18548	Ink	from		the	would	good	1348671675	Re: This was the sleeve in which I got my good bye card	2039	8

18561	Ink	to		can	was	people	1348668162	then there's this	2043	15

18559	Ink	from		oecd	sorry	awesome	1348668370	Re: then there's this	2043	25

18562	Ink	to		each	said	wasn	1348669268	Re: then there's this	2043	45

18560	Ink	from		will	better	won	1348670922	Re: then there's this	2043	5

