message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

273	JDw	to		saw	tulp	visualizer	1325673926	SEE #7	28	32

277	JDw	to		domination	owner	clashes	1325674514	Re: SEE #7	29	140

281	JDw	to		andy	happy	willem	1325674679	Re: SEE #7	29	25

290	JDw	to		zürich	freiestrasse	excel	1325675191	Re: SEE #7	29	91

280	JDw	to		address	wish	speaking	1325682392	Re: SEE #7	29	49

274	JDw	to		yes	year	jan	1325682834	Re: SEE #7	29	19

279	JDw	to		monitor	icons	imminent	1325675475	Re: SEE #7	30	60

278	JDw	to		www	andy	web	1325683148	Re: SEE #7	32	20

287	JDw	to		board	scene	wiesbaden	1325687780	Re: SEE #7	32	56

285	JDw	to		kirk	visualisingdata	visualising	1325691876	Re: SEE #7	35	30

284	JDw	to		hire	confirmed	refer	1325694035	Re: SEE #7	35	127

282	JDw	to		really	don	too	1325709183	Re: SEE #7	35	8

286	JDw	to		excitement	grab	officially	1325719225	Re: SEE #7	35	121

289	JDw	to		barcelona	expectancy	funded	1325725703	Re: SEE #7	35	139

275	JDw	to		funding	announced	speakers	1325750522	Re: SEE #7	35	97

283	JDw	to		themed	exchanges	echoing	1325751119	Re: SEE #7	41	322

288	JDw	to		address	knowledge	london	1325760712	Re: SEE #7	41	45

276	JDw	to		conferences	invited	practice	1325765749	Re: SEE #7	41	42

422	JDw	to		nathan	thorp	reaction	1325790298	Flowingdata	41	66

420	JDw	to		nathan	weird	fee	1325792098	Re: Flowingdata	41	65

426	JDw	to		familiar	reputation	weak	1325804827	Re: Flowingdata	41	127

427	JDw	to		old	model	paid	1326141866	Re: Flowingdata	41	39

416	JDw	to					1326143286	Re: Flowingdata	41	0

421	JDw	to		allow	commercial	invested	1326185438	Re: Flowingdata	41	76

419	JDw	to		again	money	fun	1326191551	Re: Flowingdata	41	29

425	JDw	to		for	one	get	1326193789	Re: Flowingdata	41	6

424	JDw	to		personally	nathan	sign	1326198883	Re: Flowingdata	41	68

404	JDw	to		was	something	interesting	1325782315		47	10

423	JDw	to		occasional	act	sustainability	1326200817	Re: Flowingdata	74	78

417	JDw	to		met	ask	weeks	1326210983	Re: Flowingdata	74	34

418	JDw	to		you	know	moritz	1326220976	Re: Flowingdata	74	13

839	JDw	to		jan	willem	does	1326309908	Resonate	85	15

838	JDw	to		team	unfortunately	care	1326310825	Re: Resonate	85	26

841	JDw	to		love	damm	eickedorfer	1326311966	Re: Resonate	85	25

836	JDw	to		advantage	license	windows	1326313100	Re: Resonate	85	71

843	JDw	to		going	sure	since	1326379323	Re: Resonate	85	22

837	JDw	to		glad	plans	family	1326456598	Re: Resonate	85	32

842	JDw	to		moment	yet	haven	1326644075	Re: Resonate	85	13

840	JDw	to		update	eyeo	attend	1328045390	Re: Resonate	85	26

996	JDw	to		episodes	infinite	novice	1326491746	How does a beginner find data?	100	262

998	JDw	to		statistical	movement	extensive	1326492283	Re: How does a beginner find data?	100	162

999	JDw	to		gapminder	ages	journalist	1326494460	Re: How does a beginner find data?	100	158

997	JDw	to		feeds	websites	acquisition	1326532953	Re: How does a beginner find data?	100	96

1000	JDw	to		personally	graphs	knowing	1326585773	Re: How does a beginner find data?	100	69

1551	JDw	to		arisen	deemed	delivering	1327350886	Quick bit of advice	145	250

1555	JDw	to		arisen	deemed	delivering	1327352124	Quick bit of advice	146	234

1554	JDw	to		higher	output	selling	1327357198	Re: Quick bit of advice	146	133

1553	JDw	to		similar	kirk	says	1327357490	Re: Quick bit of advice	146	50

1552	JDw	to		trainers	barriers	enricos	1327359766	Re: Quick bit of advice	146	132

1611	JDw	to		normally	mistake	reckon	1327419339	Not getting cartel emails	150	134

