message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1782	JEZ	from		listes	stacked	cliquant	1328084719	Re: Données des graphiques + exposé des mot ifs	175	80

1780	JEZ	from					1328084744	Re: Données des graphiques + exposé des mot ifs	175	0

1777	JEZ	to		écrit	chart	bar	1328107713	Re: Données des graphiques =2B exposé des motifs	175	44

1789	JEZ	from		merci	heure	kilian	1328129833	Re: Données des graphiques + exposé des mot ifs	175	17

1785	JEZ	from		est	bien	jérôme	1328175574	Re: Données des graphiques + exposé des mot ifs	175	8

1988	JEZ	from		graphiques	perdu	dropbox	1327833663	Dropbox et travail simultané	191	45

1989	JEZ	to		from	some	sent	1327838765	Re: Dropbox et travail simultané	191	5

1991	JEZ	from		bouger	oublions	briefs	1327841242	Re: Dropbox et travail simultané	191	29

1985	JEZ	to		impropre	incertaines	lourdes	1327861148	Re: Dropbox et travail simultané	191	336

1992	JEZ	from		version	dernière	ppt	1327862636	Re: Dropbox et travail simultané	191	3

1986	JEZ	from		dropbox	hésite	référence	1327864509	Re: Dropbox et travail simultané	191	55

1995	JEZ	from		mail	passer	partir	1327837064	messages à faire passer à partir du graphe 24	192	18

1994	JEZ	to		bonne	object	bcp	1327838745	Re: messages à faire passer à partir du graphe 24	192	18

2054	JEZ	from		peut	cela	dont	1327936745	Re: medef	199	15

2047	JEZ	from		ans	code	petit	1327942365	Re: medef	199	18

2061	JEZ	from		analyse	appelé	contenu	1327922171	Re: commentaire sur l'ex maquette	201	31

2060	JEZ	to		tes	projet	permet	1327923189	Re: commentaire sur l'ex maquette	201	19

2062	JEZ	from		with	pleasure		1327923918	Re: commentaire sur l'ex maquette	201	2

2084	JEZ	from		texte			1327936909	Re: streamgraph	205	1

2083	JEZ	to		pas	faire	vais	1327936997	Re: streamgraph	205	9

2115	JEZ	from		bazin	kilianba	interaction	1327942129	Re: 5 - IDH animated	208	39

2137	JEZ	to		ipod	overlap	slow	1327991331	Re: 5 - IDH animated	208	84

2100	JEZ	to		regions	automatically	expand	1328022705	Re: 5 - IDH animated	208	68

2132	JEZ	from		bold	creation	dress	1328027966	Re: 5 - IDH animated	208	94

2143	JEZ	to		contextualise	diversité	insert	1328031106	Re: 5 - IDH animated	208	131

2107	JEZ	to		respirer	tirées	déséquilibrer	1328033416	RE: 5 - IDH animated	208	192

2120	JEZ	from		faire	peut	mail	1328034424	Re: 5 - IDH animated	208	12

2163	JEZ	from		demande	coup	hésite	1327947320	19 - création d'emplois	209	21

2160	JEZ	to		julien	etre	actuel	1327947553	Re: 19 - création d'emplois	209	31

2164	JEZ	from		and	est	fait	1327948453	Re: 19 - création d'emplois	209	8

2161	JEZ	to		point	notre	object	1327951249	Re: 19 - création d'emplois	209	24

2162	JEZ	from		vais	oui	mettre	1327952451	Re: 19 - création d'emplois	209	13

2294	JEZ	from		nos	salut	captaindash	1328053954	tablette Andro=EFd	210	17

2295	JEZ	from		pièces	suggéré	apparaitre	1328054331	la dataviz globale	210	64

2208	JEZ	from		would	best	work	1328019121	Re: in unrelated news	212	17

2210	JEZ	to		moi	assez	ensemble	1328019591	Re: in unrelated news	212	13

2226	JEZ	from		kilian	salut	captaindash	1328015478	rdv medef demain	214	18

2224	JEZ	to		contre	qqch	serai	1328016193	Re: rdv medef demain	214	21

2225	JEZ	from		captaindash	bazin	tard	1328016584	Re: rdv medef demain	214	22

2222	JEZ	to		pour	suis	par	1328017073	Re: rdv medef demain	214	11

2223	JEZ	from		powerful			1328019160	Re: rdv medef demain	214	1

2145	JEZ	from		challenge	obviously	graphic	1328034311	Re: 5 - IDH animated	223	33

2146	JEZ	to		until	likely	switch	1328040026	Re: 5 - IDH animated	223	61

2127	JEZ	from		friend	ipad	worry	1328052233	Re: 5 - IDH animated	223	28

2144	JEZ	to		regions	clue	expanded	1328073162	Re: 5 - IDH animated	223	161

2109	JEZ	from		now	best	thing	1328085700	Re: 5 - IDH animated	223	15

2104	JEZ	from		jeff	kilian	captaindash	1328344840	Re: 5 - IDH animated	223	32

2129	JEZ	to		devices	dynamically	occur	1328357607	Re: 5 - IDH animated	223	231

2142	JEZ	from		vérifier	arabes	australia	1328367174	Re: 5 - IDH animated	223	51

2124	JEZ	from		sound	knowing	codes	1328368340	Re: 5 - IDH animated	223	76

2138	JEZ	to		unlikely	feb	noticed	1328371916	Re: 5 - IDH animated	223	76

2118	JEZ	from		dataviz	kilianba	finally	1328374509	Re: 5 - IDH animated	223	32

2112	JEZ	from		kilian	dette	stay	1328441284	Re: 5 - IDH animated	223	38

2122	JEZ	to		valeurs	habitant	prennes	1328448775	Re: 5 - IDH animated	223	51

2111	JEZ	from		bazin	compris	kilianba	1328450582	Re: 5 - IDH animated	223	21

2113	JEZ	to		animations	metrics	debt	1328456380	Re: 5 - IDH animated	223	79

2101	JEZ	from		arabes	zélande	blocked	1328464357	Re: 5 - IDH animated	223	89

2117	JEZ	to		unies	orient	chili	1328467470	Re: 5 - IDH animated	223	178

2135	JEZ	from		bouton	bulles	contraindre	1328468566	Re: 5 - IDH animated	223	48

2119	JEZ	to		israel	amerique	historique	1328469153	Re: 5 - IDH animated	223	36

2140	JEZ	to		animations	todo	arabes	1328597753	Re: 5 - IDH animated	223	103

2103	JEZ	from		norvège	océanie	regroupent	1328648328	Re: 5 - IDH animated	223	299

2105	JEZ	from		thing	code	give	1328648470	Re: 5 - IDH animated	223	26

2114	JEZ	to		expanded	opens	additive	1328685207	Re: 5 - IDH animated	223	227

2131	JEZ	from		here	after	regards	1328688909	Re: 5 - IDH animated	223	15

2136	JEZ	to		the	book	file	1328696108	Re: 5 - IDH animated	223	8

2133	JEZ	to		collapse	describe	arguments	1328707531	Re: 5 - IDH animated	223	74

2099	JEZ	from		describe	logic	africa	1328725268	Re: 5 - IDH animated	223	77

2125	JEZ	to		additive	introducing	hover	1328727904	Re: 5 - IDH animated	223	129

2141	JEZ	from		see	below		1328731575	Re: 5 - IDH animated	223	2

2134	JEZ	to		minus	removed	metric	1328767706	Re: 5 - IDH animated	223	114

2108	JEZ	from		send	kilian	captaindash	1328779730	Re: 5 - IDH animated	223	24

2126	JEZ	from		very	use	important	1328780148	Re: 5 - IDH animated	223	21

2106	JEZ	to		standard	unlikely	harder	1328794984	Re: 5 - IDH animated	223	108

2110	JEZ	from		the	for	with	1328799842	Re: 5 - IDH animated	223	9

2264	JEZ	from		take	regards	let	1328035918	1 - bubbles and interaction	224	16

2281	JEZ	from		aider	donné	brief	1328052692	Re: investissement etranger en france	225	30

2280	JEZ	to		wikiviz	accent	edge	1328054951	Re: investissement etranger en france	225	88

2282	JEZ	from		être	nous	peux	1328102031	Re: investissement etranger en france	225	12

2278	JEZ	to		donné	brief	vraie	1328102724	Re: investissement etranger en france	225	36

2279	JEZ	to		était	sont	france	1328103198	Re: investissement etranger en france	225	17

2537	JEZ	from		complet	étrangers	ppt	1328270698	42 investissement etranger en france	225	53

2205	JEZ	from		pictures	ebook	infographics	1328052833	Re: in unrelated news	226	39

2214	JEZ	from		interactif	incroyable	choisis	1328053256	Re: in unrelated news	227	39

2209	JEZ	to		projet	aura	derrière	1328271668	Re: in unrelated news	227	27

2203	JEZ	from		doivent	nouveaux	sujets	1328273882	Re: in unrelated news	227	40

2206	JEZ	to		remplacement	ménagères	immigration	1328275021	Re: in unrelated news	227	105

2284	JEZ	from		contenus	hélène	béatrice	1328053296	Fwd: chapitre 1	228	41

2283	JEZ	to		ça	bien	serait	1328053502	Re: chapitre 1	228	4

2293	JEZ	from		premières	inégalités	manquent	1328053738	t=E2ches ménagères inégalités H/F	229	42

2286	JEZ	to		les	ça	sur	1328054711	=?ISO-8859-1?B?UmU6IHTiY2hlcyBt6W5hZ+hyZXMgaW7pZ2FsaXTpcyBIL0Y=	229	5

2291	JEZ	from		captaindash	bazin	kilianba	1328092176	Re: t=E2ches ménagères inégalités H/F	229	19

2290	JEZ	to		kilianbazin	guez	tâches	1328092485	RE: t=E2ches ménagères inégalités H/F	229	51

2313	JEZ	from		chapitre	captaindash	réexpédié	1328081353	Fwd: Chapitre  I Europe	231	40

2325	JEZ	from		bazin	kilianba	discussions	1328095360	11 - cout horaire main d'oeuvre et comparaison	235	22

2326	JEZ	to		avec	tous	vais	1328095853	Re: 11 - cout horaire main d'oeuvre et comparaison	235	11

2263	JEZ	to		strictly	percent	sheets	1328108895	Re: 1 - bubbles and interaction	238	188

2266	JEZ	from		normal	excel	groups	1328109909	Re: 1 - bubbles and interaction	238	46

2268	JEZ	from		get	jérôme	right	1328183528	Re: 1 - bubbles and interaction	238	17

2269	JEZ	to		clean	worries	download	1328187083	Re: 1 - bubbles and interaction	238	71

2270	JEZ	to		metric	ability	popup	1328267217	Re: 1 - bubbles and interaction	238	120

2267	JEZ	from		see	work	kilian	1328269853	Re: 1 - bubbles and interaction	238	14

2373	JEZ	from		charges	précis	conseils	1328126009	Graphiques en barres et en colonnes	241	36

2372	JEZ	to		soir	demain	heure	1328142723	Re: Graphiques en barres et en colonnes	241	17

2390	JEZ	to					1328168471	=?utf-8?B?UmFwcG9ydCBjb21ww6l0aXRpdml0w6kgKyByw6lmb3JtZSBkZXMgcmV0cmFp tes	242	0

2407	JEZ	from		comparaison	contenu	yeux	1328183421	Intouchable	243	30

2408	JEZ	to		chaises	intouchables	détaché	1328186094	Re: Intouchable	243	89

2410	JEZ	from		toi	jérôme	après	1328192069	Re: Intouchable	243	13

2409	JEZ	to		est	non	naze	1328192472	Re: Intouchable	243	3

2423	JEZ	to					1328184741	Bulletins de salaire - Comparaison France/Allemagne	244	0

