message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

62	KR7	to		coin	tient	passes	1325002393	le 10 janvier, je passe chez Microsoft	5	41

61	KR7	from		tient	passes	événement	1325007295	RE: le 10 janvier, je passe chez Microsoft	5	60

57	KR7	to		bien	quand	bon	1325019360	Re: le 10 janvier, je passe chez Microsoft	5	12

58	KR7	from		toi	bonne	fin	1325023393	RE: le 10 janvier, je passe chez Microsoft	5	4

59	KR7	to		pensais	commence	arriver	1326111631	Re: le 10 janvier, je passe chez Microsoft	5	27

60	KR7	from		microsoft	mariec	sol	1326113323	RE: le 10 janvier, je passe chez Microsoft	5	89

715	KR7	to		from	some	sent	1326219355	La personne de msft du groupe open data	78	8

1768	KR7	from		professional	invitation	estelle	1327571914	Join my network on LinkedIn	174	78

1801	KR7	to		alors	job	estelle	1327585855	news	176	16

1802	KR7	from		lead	currently	carrasco	1327585886	Réponse automatique=A0: news	176	22

2818	KR7	to		salut	demande	vas	1328551769	techdays	290	26

2815	KR7	from		occasion	à+	effort	1328552277	RE: techdays	290	53

2821	KR7	to		bises	situation	puisse	1328554960	Re: techdays	290	22

2819	KR7	from		fou	remplacer	mariec	1328555740	RE: techdays	290	160

2816	KR7	to		une	sur	alors	1328557573	Re: techdays	290	6

2814	KR7	to		invité	possibilités	papier	1328787980	Re: techdays	290	58

2810	KR7	from		monde	sinon	voulais	1328794870	RE: techdays	290	17

2822	KR7	to		souci	boîte	condition	1328796091	Re: techdays	290	47

2823	KR7	to		bon	alors	vers	1328867443	Re: techdays	290	5

2808	KR7	from		disons			1328867896	RE: techdays	290	1

2817	KR7	from		tranquille	accueil	dirait	1328870832	RE: techdays	290	108

2809	KR7	to		bises	mois	évidemment	1328871446	Re: techdays	290	23

2807	KR7	from		quelles	tomber	dispos	1328883174	RE: techdays	290	66

2813	KR7	to		vais	côté	jamais	1328883909	Re: techdays	290	17

2812	KR7	from		annuler	entretiens	mien	1328884040	RE: techdays	290	116

2811	KR7	to		mais	combien	derniers	1328884291	Re: techdays	290	3

2820	KR7	from		calls	microsoft	londres	1328884383	RE: techdays	290	41

2824	KR7	to		les	ça	comme	1328884667	Re: techdays	290	9

3307	KR7	to					1329117361	Bonne chance pour aujourd'hui!	346	0

3309	KR7	from		lead	currently	carrasco	1329117370	Réponse automatique=A0: Bonne chance pour aujourd'hui!	346	22

3308	KR7	from		personne	tes	train	1329119856	RE: Bonne chance pour aujourd'hui!	346	20

3828	KR7	to					1329841875	c'est toujours bon pour	402	0

3841	KR7	from		lead	currently	carrasco	1329841918	Réponse automatique=A0: c'est toujours bon pour	402	22

3840	KR7	from					1329842036	RE: c'est toujours bon pour	402	0

3831	KR7	to		seine	futur	tjs	1329842636	Re: c'est toujours bon pour	402	39

3833	KR7	from		zwhaw			1329846219	RE: c'est toujours bon pour	402	1

3832	KR7	to		pris	propose	venir	1329855834	RE: c'est toujours bon pour	402	34

3837	KR7	from		lcbjoczzxnimonysa			1329855914	RE: c'est toujours bon pour	402	1

3834	KR7	to		veux	chez	object	1329856068	RE: c'est toujours bon pour	402	18

3830	KR7	from		dqonckrlidog			1329856274	RE: c'est toujours bon pour	402	1

3836	KR7	to		object	bises	contre	1329856769	RE: c'est toujours bon pour	402	16

3838	KR7	to		pas	toujours	réunion	1329906468	Re: c'est toujours bon pour	402	3

3839	KR7	from		imonysa	oqkagkdqoncg		1329906569	RE: c'est toujours bon pour	402	2

3835	KR7	to		tout	heure	mets	1329907899	Re: c'est toujours bon pour	402	4

3829	KR7	from		dqoncg			1329908776	RE: c'est toujours bon pour	402	1

3888	KR7	from		plus	voir	veux	1329914033	FW: CSA décrypte. le vote d'extrême-gauche	408	6

3916	KR7	to		lobbying	militante	parier	1329930057	sondages 2ème tour (entre autres)	414	323

3917	KR7	from		éternelle	bookmaker	pari	1329933563	RE: sondages 2ème tour (entre autres)	414	481

3921	KR7	from		certified	embargo	esomar	1329932105	TR: Enquête sur François Bayrou	415	161

3990	KR7	from					1330007457	TR: Atelier CSA	421	0

3985	KR7	to		travaille	représente	évident	1330008240	Re: Atelier CSA	421	45

3987	KR7	from		couche	emmène	accueil	1330008757	RE: Atelier CSA	421	88

3986	KR7	to		balance	nettoyer	suppose	1330015859	Re: Atelier CSA	421	68

3988	KR7	from		ça	data	open	1330021788	RE: Atelier CSA	421	12

3984	KR7	to		connais	arrivé	verre	1330035894	RE: Atelier CSA	423	35

4013	KR7	from		lead	currently	carrasco	1330035901	Réponse automatique=A0: Atelier CSA	423	22

3989	KR7	from		une	jeudi	prochain	1330038018	RE: Atelier CSA	423	5

3991	KR7	to		from	some	sent	1330038095	RE: Atelier CSA	423	6

4219	KR7	to		agit	contente	ville	1330363114	si jamais tu pars y vivre	455	23

4375	KR7	to		ça	jérôme	toujours	1330514334	demain	480	12

4374	KR7	from		urgence	rouge	siège	1330514511	RE: demain	480	59

4369	KR7	to		étaient	quelle	mets	1330515354	Re: demain	480	23

4370	KR7	from		disons			1330517827	RE: demain	480	1

4372	KR7	to		des	ça	fois	1330524867	Re: demain	480	10

4373	KR7	from		marie	ait	février	1330548415	RE: demain	480	27

4371	KR7	to		peut	message	demain	1330560245	RE: demain	480	27

4454	KR7	from		invitation	normal	pièce	1330602706	FYI	488	27

4452	KR7	to		assassin	bday	beliebers	1330609581	Re: FYI	488	52

4453	KR7	from		bday	beliebers	creed	1330619355	RE: FYI	488	76

4514	KR7	to		perds	terribles	panier	1330648636	Merci toi-même	497	147

4602	KR7	to		principe	monter	différent	1330701049		503	39

4603	KR7	from		différent	arrivée	enjeux	1330702864	RE: 	503	58

4604	KR7	to					1330703394	Re:	503	0

4649	KR7	to		pont	orsay	refait	1330779148	suite d'un autre épisode	504	131

4647	KR7	from		moindres	sportive	cancéreux	1331114685	RE: suite d'un autre épisode	504	275

4646	KR7	from		sportive	cancéreux	chômeur	1331115027	RE: suite d'un autre épisode	527	299

4648	KR7	to		croirait	fiers	mercredis	1331118005	Re: suite d'un autre épisode	527	316

4645	KR7	to		appelle	parfois	bonnes	1331301342	Re: suite d'un autre épisode	527	38

5008	KR7	to		like			1331235468	Re: Marie-Estelle Carrasco added you on Google+	536	1

5268	KR7	to		bienvenue	numerique	lisant	1331670228	3 trucs!	555	137

5266	KR7	from		milieu	dépend	bosser	1331670618	RE: 3 trucs!	555	38

5267	KR7	to		renvoient	caudines	expéditeurs	1331671447	Re: 3 trucs!	555	96

5269	KR7	from		expéditeurs	fourches	oeufs	1331720277	RE: 3 trucs!	555	165

5265	KR7	to		régner	infiniment	kung	1331744167	Re: 3 trucs!	555	193

5270	KR7	from		loisirs	lâchent	pince	1331744329	RE: 3 trucs!	555	226

5271	KR7	to		montparnasse	tenue	situations	1331748439	Re: 3 trucs!	555	39

5407	KR7	to		checking	chips	bise	1331814271	est-ce que tu es en bonne forme?	570	56

5408	KR7	from		pas	avec	faire	1331816897	RE: est-ce que tu es en bonne forme?	570	9

5409	KR7	to		regrets	roses	téléphones	1331823702	Re: est-ce que tu es en bonne forme?	570	61

5406	KR7	from		faire	bon	pouvoir	1331826143	RE: est-ce que tu es en bonne forme?	570	13

5410	KR7	to		cantines	issy	respectives	1331827179	Re: est-ce que tu es en bonne forme?	570	74

5405	KR7	from		cantines	issy	respectives	1331827602	RE: est-ce que tu es en bonne forme?	570	96

5411	KR7	to		sur	comme	sans	1331828657	Re: est-ce que tu es en bonne forme?	570	9

5455	KR7	from					1331858820	Rose :)	575	0

5456	KR7	to		sur	voir	vais	1331862309	Re: Rose :)	575	11

5460	KR7	from					1331860998	Buenas	576	0

5459	KR7	to		cautionner	confits	cristoliennes	1331864156	Re: Buenas	576	189

5508	KR7	to		basis	mariec	prépa	1331908154	je m'étais pas rendu compte que c'était un si long  texte=21=21=21	578	49

5652	KR7	to		semaines	disais	conditions	1332161826	je fais ma semaine (action item inside!)	592	36

5654	KR7	from		semaine	plein	petits	1332164880	RE: je fais ma semaine (action item inside!)	592	16

5653	KR7	to		poids	déj	suffisamment	1332165251	Re: je fais ma semaine (action item inside!)	592	44

5685	KR7	to		printemps	remarqué	insiste	1332174684	voilà ce qu'on va faire	599	110

5754	KR7	to		trace	assise	arbre	1332244943	au fait=2C je suis à MSFT demain	611	109

5756	KR7	from		dauphine	paf	bal	1332254106	RE: au fait, je suis à MSFT demain	611	191

5755	KR7	to		invits	rubrique	photographes	1332257250	Re: au fait=2C je suis à MSFT demain	611	186

5860	KR7	to		ministre	occasions	vus	1332338119	(j'aime autant taper sur un clavier)	620	160

5858	KR7	from		mâchoire	recontré	incruste	1332342628	RE: (j'aime autant taper sur un clavier)	620	240

5859	KR7	to		barbare	conan	cupcakologie	1332344265	Re: (j'aime autant taper sur un clavier)	620	269

5862	KR7	from		molécules	pâtissier	pâtissière	1332351218	RE: (j'aime autant taper sur un clavier)	620	342

5861	KR7	to		ferai	dommage	fargues	1332353209	RE: (j'aime autant taper sur un clavier)	620	47

5864	KR7	to		que	message	pendant	1332344328	Fwd: Inscrivez-vous au Data Tuesday n=B05 - Les modè les économiques de la donnée	621	6

5998	KR7	to		minute	control	préfères	1332512297	3 questions para ti	632	53

5997	KR7	from		fatiguée	remise	rendus	1332512782	RE: 3 questions para ti	632	88

5995	KR7	to		allons	région	semi	1332514033	Re: 3 questions para ti	632	53

5996	KR7	from		semi	créteil	vendu	1332514197	RE: 3 questions para ti	632	75

6452	KR7	to		moral	honnête	cap	1333004640	so...	704	106

6453	KR7	from		patron	actu	deviens	1333010324	RE: so...	704	52

6451	KR7	to		déchets	fumées	garantis	1333016336	Re: so...	704	157

6684	KR7	to		moi	après	dis	1333350073	To lunch or not to lunch?	718	5

6685	KR7	from		faire	matin	dois	1333350268	RE: To lunch or not to lunch?	718	8

6682	KR7	to		que	ça	alors	1333350710	Re: RE: To lunch or not to lunch?	718	7

6683	KR7	from		ouiiiii			1333351282	RE: RE: To lunch or not to lunch?	718	1

6681	KR7	to		raconter	film	aider	1333351736	Re: RE: RE: To lunch or not to lunch?	718	38

6796	KR7	from		là	sans	hello	1333502044	Dechiffreurs	731	11

