message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2438	L1O	from		bulles	couleur	interlignage	1328872467	Re: Bulletins de salaire - Comparaison France/Allemagne	244	79

2901	L1O	from		cercle	légende	suffisante	1328809191	Re: skin la france 4 ème destination des investisse ments dans le monde	301	78

2888	L1O	from		trouve	pourquoi	propos	1328818766	Re: skin la france 4 ème destination des investisse ments dans le monde	328	22

2893	L1O	to		phone	soit	compris	1328819942	Re: skin la france 4 ème destination des investisse ments dans le monde	328	30

2922	L1O	from		trop	état	états	1328820659	Re: skin la france 4 =C3=A8me destination des investis sements dans le monde	328	21

2891	L1O	to		ça	dans	était	1328861248	Re: skin la france 4 ème destination des investisse ments dans le monde	328	6

2908	L1O	to		les	fichiers		1328861266	Re: skin la france 4 ème destination des investisse ments dans le monde	328	2

2416	L1O	from		boutons	arial	sélectionné	1328902067	Re: Bulletins de salaire - Comparaison France/Allemagne	338	45

2433	L1O	to		éléments	boutons	repris	1328913914	Re: Bulletins de salaire - Comparaison France/Allemagne	338	57

3286	L1O	to		application	contraire	pouvez	1329042170	Crédits	344	28

3442	L1O	to		ppt	appli	nan	1329258702	Re: presque fin	362	75

3446	L1O	to		polytechnique	ruby	yannick	1329260240	RE: presque fin	362	122

3448	L1O	to		réservé	bastille	meufs	1329325615	Re: presque fin	362	19

3530	L1O	to		illustré	mesurons	molina	1329326007	Fwd: bravo !  et next steps	375	401

5141	L1O	from		invitation	connection	inviter	1331551632	Join my network on LinkedIn	544	77

