message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

259	LRH	to		non	cela	bonjour	1325670438	Doc Deloite OpenData UK	25	14

329	LRH	to		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

337	LRH	from		pourrez	remerciant	tbc	1325709000	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	513

338	LRH	from		pour	dans	plus	1325774150	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	10

333	LRH	to		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

383	LRH	from		approbation	défenseur	environnemental	1325766650	Re:	43	135

384	LRH	to		écrite	applis	craignait	1325768044	Re:	43	218

409	LRH	from		lolf	qualifie	répertoires	1325786967	CNNOD - idées d'Emmanuel Marcovitch	49	363

460	LRH	from		laurent	serons	éventail	1325854308	dernière version	51	191

459	LRH	to		été	puis	points	1325855396	Re: dernière version	51	17

657	LRH	from		meilleurs	patrimoine	culturel	1326140345	Re:	68	76

652	LRH	to		façons	pourra	sortie	1326140709	Re:	68	40

658	LRH	from		proposer	emploi	éventuellement	1326217012	Re:	68	50

648	LRH	to		pour	mais	from	1326218471	Re:	68	12

660	LRH	from		accord	emmanuel	jérome	1326270422	Re:	68	42

650	LRH	from		pour	très	cette	1326303843	Re:	68	10

906	LRH	to		écriture	profité	contrib	1326392602	fiches	92	186

1033	LRH	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	LRH	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1114	LRH	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1116	LRH	from		tous	bonjour		1326730334	Voeux CNNum - 1er février 2012 18h00 - Gaieté  Lyrique RSVP	107	2

1167	LRH	from		obstacles	réussie	corrigées	1326810350	CNN - rapport	111	330

1166	LRH	to		ici	vers	puisse	1326810597	Re: CNN - rapport	111	21

1164	LRH	to		est	les	pour	1326813500	Re: CNN - rapport	111	9

1161	LRH	from		reco	retenu	accessibilité	1326820779	Re: CNN - rapport	111	63

1162	LRH	to		fiscales	gyrophares	générant	1326833799	Re: CNN - rapport	111	468

1165	LRH	from		fiscales	gyrophares	générant	1327332336	Re: CNN - rapport	111	498

1163	LRH	to		formations	viser	détailler	1327332921	Re: CNN - rapport	111	127

1328	LRH	to		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1536	LRH	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	LRH	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

1523	LRH	to		message	forwarded		1329219767	Fwd: =5BCNN OD=5D fin de la rédaction du rapport	144	2

2027	LRH	from		avons	compris	état	1327908849	CNN - open data - last mile	196	36

2029	LRH	to		jusqu	site	document	1327910001	Re: CNN - open data - last mile	196	27

2023	LRH	to		texte	ait	avons	1327939961	Re: CNN - open data - last mile	196	23

2025	LRH	from		avons	à+	intéressant	1327964477	Re: CNN - open data - last mile	196	38

2028	LRH	to		paragraphe	préface	laure	1328005014	Re: CNN - open data - last mile	196	53

2341	LRH	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

2334	LRH	from		laurent	certains	continuer	1328132124	Re: CNN Les acteurs pub de l'opendata sont réunis  =C3=A0 Paris	236	26

2340	LRH	to		rassembler	naïvement	énerve	1328191434	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	103

2337	LRH	to		parlé	accord	politique	1328195983	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	15

2851	LRH	from		done	bienvenue		1328615697	Re: Request to share livre-blanc	296	2

3316	LRH	to		actuel	contributions	lesquelles	1329124128	pour demain	347	42

3315	LRH	from		serai	rdv	vers	1329175603	Re: pour demain	347	25

3429	LRH	to		voilà	espère	compte	1329238802	Rapport retravaillé	360	15

3565	LRH	to		états	candidats	présidentielle	1329388314	etats généraux du numérique et CNN	376	68

2540	LRH	to		finances	fixée	assistante	1329754000	Re: Rdv=2FOpen Data du 14=2F02 à 12h	388	95

4195	LRH	to		dont	besoin	quelque	1330348094	re - open data	449	25

4193	LRH	from		désolé	trois	bureau	1330349477	Re: re - open data	449	28

4191	LRH	to		soit	toutes	quoi	1330350276	Re: re - open data	449	15

4192	LRH	to		serai	btw	avez	1331027623	Re: re - open data	449	22

4817	LRH	to		parler	puisse	à+	1331027723	besoin d'info sans rapport avec l'open data	523	16

4816	LRH	from		hotel	cher	dépend	1331033311	Re: besoin d'info sans rapport avec l'open data	523	26

5686	LRH	to		présenter	idéal	remercie	1336560340	Re: Livre blanc open data	600	26

5688	LRH	from		final	laurent	document	1336660279	Re: Livre blanc open data	600	17

6114	LRH	to		demandent	naudet	séverin	1332755144	[CNN OD] bump!	640	93

6113	LRH	from		jérôme	salut		1332775936	Re: [CNN OD] bump!	640	2

6112	LRH	from		bien	moi	temps	1332802793	Re: [CNN OD] bump!	640	14

6228	LRH	from		général	national	cedex	1332838453	PS et Open Data	651	17

6229	LRH	to		train	justement	lire	1332838551	Re: PS et Open Data	651	16

6227	LRH	from		les	avec	oui	1332838830	Re: PS et Open Data	651	8

6486	LRH	from		générale	repenser	chacune	1333027326	CNNum Open Data - Précisions et commentaires su r les recos	708	51

6491	LRH	to		plaintes	postulat	réunisse	1333029379	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	611

6487	LRH	to		côté	jour	partie	1333128399	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	19

6485	LRH	from		partie	pendant	laurent	1333134562	Re: CNNum Open Data - Précisions et commentai res sur les recos	708	19

6492	LRH	from		réutilisées	réutlisateurs	soumise	1333311078	Re: CNNum Open Data - Précisions et commentai res sur les recos	708	725

6488	LRH	to		isolées	légiférer	moteurs	1333364916	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	766

6489	LRH	to		milliards	étude	vente	1333374154	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	43

6484	LRH	to		appeler	environ	dispo	1333461643	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	32

6490	LRH	to		repris	reco	largement	1333467296	Re: CNNum Open Data - Précisions et commentaires su r les recos	708	47

6697	LRH	to		message	forwarded		1333371496	Fwd: précision au sujet du texte de l'open data	721	2

6835	LRH	from		suivies	théoriquement	traine	1333541386	Etat des réflexions	734	669

