message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

348	N9r	from		sewer	soaked	stealth	1325714766	Forget Lean Forward and Lean Back -- It's Curl Up	39	565

431	N9r	from		rudy	sand	shaken	1325800433	Founders Define Reality (& Give Hope)	50	874

674	N9r	from		wiping	workforce	barnes	1326155711	The Cult of Amazon Prime	72	1238

916	N9r	from		rigged	royally	rubber	1326405784	The Only Two Questions Founders Need to Answer	93	1450

981	N9r	from		lum	mixergy	nazar	1326472911	Invite: LAUNCH Festival=2C March 7 & 8=2C 2012	99	235

1840	N9r	from		boardwalk	coopetition	countless	1327603553	We Need to Empower Hollywood--Not Kill Hollywood	181	1448

2666	N9r	from		intuit	launchrock	lindzon	1328389200	Whoa=2C LAUNCH Prize Money Hits $151k=21	271	393

3037	N9r	from		aces	graciousness	producteev	1328710012	Boom=21 LAUNCH Hits $269k in Prizes Thanks to Charles River Ventures	312	378

4148	N9r	from		sue	suffer	sundance	1330289380	The Two Most Important Startups in the World	442	1407

4494	N9r	from		beacon	coaching	gerstner	1330629733	LAUNCH Festival Hits $639k in Prize Money	495	413

4868	N9r	from		gerstner	verge	whopping	1331073147	Boom=21 Boom=21 Boom=21	526	267

6998	N9r	from		exhilaration	flashbacks	innovating	1333736184	Disrupting Education	750	554

7038	N9r	from		hip	monica	colorado	1333822052	=5BJason=5D My Apps	752	179

7413	N9r	from		onekingslane	pissed	programmed	1334342487	The One Product That Makes Apple a Trillion-Dollar Company Overnight	791	795

7556	N9r	from		tsunami	venturehacks	ycâ	1334606713	Is There a Ycombinator Valuation Bubble or Not?	802	1351

8178	N9r	from		marketplaces	mvp	olive	1335390190	The Age of Excellence	874	1630

9971	N9r	from		worldâ	yahooâ	youtubeâ	1337808504	What Now... Yahoo?	1086	746

13804	N9r	from		habit	hackers	kevinrose	1342233531	Introducing LAUNCH Ticker=2C our latest project	1494	1173

14526	N9r	from		desperate	explosive	fluctuations	1343155905	Building a Better Techmeme	1608	490

14614	N9r	from		mona	puck	reserving	1343253219	Good to Great to Excellent: A Roadmap	1616	655

15045	N9r	from		larry	sergey	verizon	1343844201	Google's Fiber "Proof of Concept" Is Anything But	1662	1038

18837	N9r	from		short	youtube	interview	1349038764	Sacca link	2063	29

21510	N9r	from		stunningly	tgood	treonauts	1352250189	T2E: Time to Excellence	2373	1015

21812	N9r	from		iif	insult	mashup	1352552405	I Wonder If Live Crowdfunding Works? Let's Find Out=21	2404	717

22310	N9r	from		retreats	sedan	sexiest	1353324596	Mind-blowing Idea: Free Transportation for Life	2452	206

23000	N9r	from		gnomedex	idg	krute	1354216604	Free Ticket to the LAUNCH Festival	2502	399

23660	N9r	from		founders	developers	professionals	1355192051	Just added: 1000 more scholarships for the LAUNCH Festival	2548	123

24021	N9r	from		waters	webconnex	wilson	1355515902	Moderate success is the enemy of breakout success	2577	1138

