message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

4767	Oyn	from		él	bient	masséna	1330962876	Join my network on LinkedIn	517	90

4769	Oyn	from		you	sent	has	1330963720	coucou	518	7

4772	Oyn	from		you	sent	has	1330964104	RE: re: invitation	519	7

4771	Oyn	from		you	sent	has	1330965758	RE: re: invitation	520	7

4785	Oyn	from		vers	isabelle	connais	1330974433	déjeuner	522	18

4786	Oyn	to		gens	prochaine	connais	1331028444	=?ISO-8859-1?B?UmU6IGTpamV1bmVy	522	24

4784	Oyn	from		toutes	bises	isabelle	1331035975	=?ISO-8859-1?B?UmU6IGTpamV1bmVy	522	15

4787	Oyn	to		cour	fonction	choisir	1331052042	=?ISO-8859-1?B?UmU6IGTpamV1bmVy	522	60

4788	Oyn	from		dit	alors	bises	1331065862	=?ISO-8859-1?B?UmU6IGTpamV1bmVy	522	10

5059	Oyn	from		développé	vêtements	fabrique	1331310006	question	540	54

5060	Oyn	to		pense	hello	personne	1331311263	Re: question	540	15

5061	Oyn	from		même	quand	bon	1331311542	Re: question	540	6

5793	Oyn	to		pacte	fargues	remarque	1332260831	hello	614	88

5794	Oyn	from		gentil	apporter	organise	1332356397	Re: hello	614	43

5791	Oyn	to		importe	deal	contacts	1332358321	Re: hello	614	50

5792	Oyn	from		très	beaucoup	merci	1332403042	Re: hello	614	8

6315	Oyn	to		ça	quand	toi	1332853681		688	10

6324	Oyn	from		coucou	rentre	partenaire	1332863804	Re:	688	27

6325	Oyn	to		partagent	groupes	connecter	1332864320	Re:	688	67

6382	Oyn	from		avril	gentil	fargues	1332921816	Re:	688	49

6383	Oyn	to		juste	retrouver	laisser	1332926308	Re:	688	48

6431	Oyn	from		pour	alors	fois	1332960612	Re:	688	7

6821	Oyn	to		électeurs	élu	assimiler	1333530753		732	144

6816	Oyn	from		aout	prépa	débordée	1333564028	Re:	732	53

6818	Oyn	to		grassal	itrossat	ittex	1333567100	Re:	732	69

6819	Oyn	from		arrivera	espérant	mener	1333611810	Re:	732	90

6815	Oyn	to		qui	marion		1333614708	Re:	732	2

6817	Oyn	from		son	dernière	bas	1333618460	Re:	732	15

6820	Oyn	to		souviens	arnaud	filles	1333618587	Re:	732	35

7624	Oyn	to		employeur	mur	purement	1334692037		810	123

7700	Oyn	to		contrats	démission	laissent	1334769120	merci pour ton message	821	213

7701	Oyn	from		angoisses	fonctions	cuit	1334773516	Re: merci pour ton message	821	115

7828	Oyn	from		tous	bonjour		1334936883	Diner à Paris	835	2

7833	Oyn	to		sncf	thomas	excellente	1334945339	RE: Diner à Paris	835	40

7971	Oyn	from		jeudi	bises	grand	1335166437	Diner anciens de Masséna jeudi 28 juin à Paris=21	844	25

7970	Oyn	from		trossat	rejoindre	organiser	1339408623	Diner anciens de Masséna jeudi 28 juin à Paris=21	844	66

7962	Oyn	to		beaumarchais	pizzeria	aauriez	1339427475	Re : Diner anciens de Masséna jeudi 28 juin à Paris!	844	145

7967	Oyn	from		choix	arnaud	thomas	1339685258	Re: Re : Diner anciens de Masséna jeudi 28 juin à  Paris=21	844	34

7960	Oyn	to		jerome	oui	dernière	1339685359	Re: Re : Diner anciens de Masséna jeudi 28 juin à  Paris=21	844	6

