message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

10728	PeC	from		perspective	hour	frank	1338744718	D3 Tutorial at VisWeek	1171	41

10731	PeC	to		valuable	danyel	separate	1338753479	Re: D3 Tutorial at VisWeek	1171	67

10724	PeC	to		aka	articulate	selections	1340059717	Re: D3 Tutorial at VisWeek	1171	177

10730	PeC	from		fits	helper	selections	1340383617	Re: D3 Tutorial at VisWeek	1171	234

10723	PeC	to		wondering	schedule	focused	1340492382	Re: D3 Tutorial at VisWeek	1171	53

10732	PeC	from		frank	jun	submission	1340556829	Re: D3 Tutorial at VisWeek	1171	114

10729	PeC	to		proposal	frank	wishes	1340641130	Re: D3 Tutorial at VisWeek	1171	53

12375	PeC	from		frank	shared	submit	1340648498	InfoVis D3 Tutorial	1329	44

13106	PeC	to		scope	submitted	correspondance	1341476441	visweek workshop	1413	77

15877	PeC	to		collaborating	purposes	meantime	1345053588	VisWeek tutorial is a go	1769	82

15879	PeC	to		prefer	ensure	split	1345053825	Fwd: Tutorial Details	1770	82

15893	PeC	from		non	regards	jeff	1345064689	Away from email [Re: Re: Tutorial Details]	1773	18

16909	PeC	to		constructs	durations	excessive	1346677458	d3 tutorial	1850	554

16907	PeC	from		happily	reel	varied	1346787023	Re: d3 tutorial	1850	243

16910	PeC	to		features	scary	walking	1346850929	Re: d3 tutorial	1850	76

16899	PeC	to		load	covering	sheets	1347447497	Re: d3 tutorial	1850	151

16903	PeC	from		intuition	dropped	mechanism	1347468650	Re: d3 tutorial	1850	107

17075	PeC	from		named	jheer	berkeley	1346868956	Re: VisWeek registration	1874	100

17074	PeC	to		you	will	again	1346869884	Re: VisWeek registration	1874	8

17622	PeC	from		anonymous	explicit	[adding	1347917710	Re: VisWeek tutorial outline	1916	86

17618	PeC	to		and	you	will	1347917911	Re: VisWeek tutorial outline	1916	9

17619	PeC	to		whole	times	total	1347927646	Re: VisWeek tutorial outline	1916	38

16904	PeC	from		switch	presenting	usb	1349625171	Re: d3 tutorial	2102	56

16906	PeC	to		sheet	stick	cheat	1349643119	Re: d3 tutorial	2102	98

16898	PeC	from		you	message	jeff	1349828961	Re: d3 tutorial	2102	10

16901	PeC	to		jeff	talk	skype	1349883381	Re: d3 tutorial	2102	27

16908	PeC	from		helps	url	examples	1349910754	Re: d3 tutorial	2102	42

19506	PeC	to		degree	underlying	tricks	1350072047	Re: Updated tutorial outline	2126	100

19664	PeC	from		tomorrow	files	file	1350281755	Re: Re: D3 code samples	2168	41

19662	PeC	to		download	stanford	usb	1350281962	Re: D3 code samples	2168	83

21368	PeC	to		who	message	cheers	1352156042	Fwd: Strata CA 2013 tutorial	2356	11

t919	PeC	from	mention	about	jcukier	way	1350348119		t1838	18

t885	PeC	from	mention	about	jcukier	http	1350348424		t1839	5

t1586	PeC	from	mention	tutorial	alignedleft	heer	1350348712		t1840	1

t1682	PeC	from	mention	visweek	alignedleft	heer	1350348836		t1841	12

t564	PeC	from	mention	the	will	thanks	1350349754		t1843	13

t798	PeC	from	mention	think	jcukier	yes	1350350433		t1843	17

t1572	PeC	from	mention	too	visweek	jcukier	1350349695		t1844	16

t948	PeC	from	mention	put	used	tutorial	1350347901		t1845	19

t1323	PeC	to	mention	http	our	visweek	1350348033		t1846	14

t367	PeC	from	mention	experience	pretty	forward	1350348202		t1846	12

t323	PeC	from	mention	jcukier	experience	janwillemtulp	1350348555		t1846	7

t905	PeC	from	mention	tutorial	via	alignedleft	1350348315		t1847	18

t208	PeC	from	mention	datatelling	alignedleft	heer	1350348453		t1848	10

t1011	PeC	from	mention	their	visweek	tutorial	1350349116		t1850	19

t1222	PeC	from	mention	from	don	then	1350349155		t1851	17

t50	PeC	from	mention	those	jcukier	made	1350347696		t1859	8

t886	PeC	from	mention	visweek	tutorial	material	1351042053		t1999	8

