message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

14178	Qgm	from		bientôt	parlé	bons	1342731434	Re: open data etc.	1541	21

t1654	Qgm	to	mention	help	start	either	1326849663		t100	11

t1220	Qgm	to	mention	où	http	part	1326935283		t103	13

t1488	Qgm	to	mention	via	laguirlande	gilles	1327711173		t131	5

t970	Qgm	to	mention	open	entre	serait	1328835697		t170	12

t1190	Qgm	to	mention	numérique	serai	bayrou	1329179718		t179	15

t1026	Qgm	to	mention	sur	maintenant	opendata	1329265106		t189	4

t1594	Qgm	to	mention	tomber	signature	acta	1329960089		t221	13

t122	Qgm	to	mention	babgi	btabaka	authorization	1330392244		t243	13

t1025	Qgm	to	mention	qui	eux	suivre	1331598614		t355	11

t1427	Qgm	to	mention	avec	data	big	1331686473		t367	15

t1496	Qgm	to	mention	réunion	campagne	babgi	1332810697		t453	15

t123	Qgm	to	mention	ça	numérique	babgi	1332979957		t476	17

t1361	Qgm	to	mention	http	internet	growth	1333067497		t484	17

t1609	Qgm	to	mention	thanks	back	bruno	1333758097		t546	10

t1027	Qgm	to	mention	pour	son	ensemble	1333757602		t554	15

t1563	Qgm	to	mention	the	sur	don	1333845153		t561	10

t127	Qgm	to	mention	demande	gauche	babgi	1333843687		t562	14

t305	Qgm	to	mention	tête	avez	babgi	1334192598		t567	6

t1365	Qgm	to	mention	numérique	quelle	minute	1334537107		t603	8

t1363	Qgm	to	mention	babgi	challenges	dossier	1336267124		t751	13

t1351	Qgm	to	mention	par	http	monde	1336440689		t770	13

t1367	Qgm	to	mention	qui	bon	quelqu	1337215458		t840	15

t311	Qgm	to	mention	bruno	walther	tard	1338336495		t940	5

t1396	Qgm	to	mention	opendata	dispo	babgi	1338944961		t991	16

t1364	Qgm	to	mention	savoir	vont	grande	1339979557		t1099	14

t125	Qgm	to	mention	the	what	good	1340498745		t1182	1

t1045	Qgm	to	mention	babgi	félicitations	officielles	1340670805		t1191	6

t1362	Qgm	to	mention	format	babgi	fort	1341537423		t1308	16

t131	Qgm	to	mention	data	entre	babgi	1341537592		t1309	8

t1366	Qgm	to	mention	http	attendre	babgi	1342746063		t1461	15

t978	Qgm	to	mention	http	captaindash	congrats	1346722038		t1638	8

t129	Qgm	to	mention	avec	quand	étais	1346807644		t1648	6

t463	Qgm	from	mention	louis	discute	philippe	1346803699		t1648	2

t130	Qgm	to	mention	que	les	dans	1346803923		t1648	18

t124	Qgm	from	mention	babgi	libertic	pétition	1347413601		t1693	1

t132	Qgm	to	mention	que	pour	data	1351905389		t2024	18

t1679	Qgm	from	mention	data	faire	nous	1351905419		t2026	15

t285	Qgm	to	mention	est	qui	sur	1351902164		t2026	11

t128	Qgm	to	mention	fin	disons	babgi	1352592423		t2069	6

t436	Qgm	from	mention	nouveau	global	grâce	1352593132		t2069	11

t382	Qgm	from	mention	jcukier	histoire	situation	1352593173		t2075	11

t126	Qgm	to	mention	côté	mois	aurait	1352856168		t2094	16

t13	Qgm	to	mention	for	looking	based	1356135236		t2359	4

t383	Qgm	from	mention	bien	très	jcukier	1356135656		t2359	15

t908	Qgm	to	mention	débat	cnil	collecte	1328835592		t2396	22

t1675	Qgm	from	dm	jusqu	lundi	viens	1340498962		dm44	7

t983	Qgm	to	dm	que	france	bonne	1340499221		dm44	15

t1241	Qgm	from	dm	merci			1340499524		dm44	13

t1250	Qgm	from	dm	que	une	peux	1341534858		dm44	8

t1198	Qgm	from	dm	cela	notre	maintenant	1352592633		dm44	11

