message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

10349	QtN	from		liliana	ejc	ddjournalism	1338290180	Permission to republish your tutorial on D3.js on DataDrivenJournalism.net	1125	90

10347	QtN	to		jerome	right	sure	1338296347	Re: Permission to republish your tutorial on D3.js on DataDrivenJournalism.net	1125	14

10348	QtN	from		ejc	liliana	proprietary	1338296700	Re: Permission to republish your tutorial on D3.js on DataDrivenJournalism.net	1125	83

14661	QtN	from		liliana	updates	editions	1343312104	The Data Journalism Handbook now available in printed and ebook form	1619	125

20087	QtN	from		ejc	continuing	advocates	1350498385	Collaboration between EJC data journalism operation and OECD?	2226	254

20086	QtN	to		best	all	here	1350499088	Re: Collaboration between EJC data journalism operation and OECD?	2226	18

20085	QtN	from		are	what	jerome	1350499288	Re: Collaboration between EJC data journalism operation and OECD?	2226	11

t1085	QtN	to	mention	help	needs	journalism	1335141427		t654	4

