message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

68	RHU	from		défauts	insérer	nâ	1325067267	Ma contribution OPenData	6	110

66	RHU	to		some	sent	mobile	1325146653	Re: Ma contribution OPenData	6	12

67	RHU	from		signe	ouverte	passait	1325526952	Re: Ma contribution OPenData	6	44

259	RHU	from		non	cela	bonjour	1325670438	Doc Deloite OpenData UK	25	14

258	RHU	to		prochaines	lois	destiné	1325671287	Re: Doc Deloite OpenData UK	25	64

337	RHU	to		pourrez	remerciant	tbc	1325709000	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	513

335	RHU	from		remerciant	tbc	venez	1325774143	RE: CNN OD : Prochaine réunion jeudi 5 janvier 2012 de 1 8:00 à 20:00 à l'OCDE 2, rue André Pascal 75016 Pari s	37	555

409	RHU	to		lolf	qualifie	répertoires	1325786967	CNNOD - idées d'Emmanuel Marcovitch	49	363

1033	RHU	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	RHU	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1114	RHU	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1536	RHU	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	RHU	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

1524	RHU	from		injecter	reformulées	ressortent	1327946610	RE: [CNN OD] fin de la rédaction du rapport	144	262

2341	RHU	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

2762	RHU	to		thème	autorisation	explicite	1328554846	Fwd: TechdaysTV =2F=2F Invitation à participer à une  émission sur l'OPen data	291	64

4570	RHU	to		aimerais	boîte	créer	1330686021	est-ce qu'on pourrait se voir?	501	32

4573	RHU	from		debock	[cid	demandeur	1331053129	RE: est-ce qu'on pourrait se voir?	501	98

4571	RHU	to		merci	mardi	poste	1331053484	Re: est-ce qu'on pourrait se voir?	501	3

4572	RHU	from		laposte	noté	jpg	1331053724	RE: est-ce qu'on pourrait se voir?	501	49

5255	RHU	to		tout	avoir	heure	1331657051	on my way	553	6

5353	RHU	to		pris	bonnes	nicolas	1331748799	merci	566	25

5352	RHU	from		mars	poser	regarde	1331817641	RE: merci	566	48

5763	RHU	from		grosse	indeed	proposer	1332252054	Indeed	612	19

5762	RHU	to		chercheur	entraîner	simuler	1332258894	Re: Indeed	612	138

6321	RHU	to		engager	pile	insister	1332858298	=5BCNN OD=5D la fin du début de la fin	689	88

t1416	RHU	to	mention	selon	croissance	libertic	1325722406		t16	17

t774	RHU	to	mention	est	moi	possible	1329441873		t206	3

t776	RHU	to	mention	http	ndebock	u6lapn1k	1329442541		t207	14

t1030	RHU	to	mention	mon	chez	voilà	1331083578		t308	20

t772	RHU	to	mention	http	fine	analyse	1332204138		t409	6

t888	RHU	to	mention	data	moebio	driven	1335572598		t696	16

t775	RHU	to	mention	bonne	chance	congrats	1336005805		t727	13

t773	RHU	to	mention	you	like	janwillemtulp	1337131173		t831	4

t777	RHU	to	mention	est	soir	ici	1338855993		t980	10

t999	RHU	to	mention	pour	là	bonne	1338942255		t990	0

t27	RHU	to	mention	plutôt	vers	eux	1341276461		t1257	20

t782	RHU	to	mention	data	bonne	chance	1347411449		t1695	16

