message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

602	RZO	from		genre	année	propose	1326107649	RE: Message via your Google Profile: tu connaitrais pas qqn chez sony?	62	21

601	RZO	to		mettons	sony	plateformes	1326108817	Re: Message via your Google Profile: tu connaitrais pas qqn chez sony?	62	65

4364	RZO	from		dis	avant	peux	1330524845	RE: ps3	481	15

4363	RZO	to		est	où	merci	1330535720	Re: ps3	481	5

4368	RZO	to		est	où	merci	1330558422	Re: ps3	481	5

4365	RZO	from		compte	père	rue	1330599185	RE: ps3	481	18

4366	RZO	to		demain	juste	oui	1330599699	Re: ps3	481	17

4367	RZO	from		pas	suis	demain	1330607122	RE: ps3	481	5

5773	RZO	to		snjv	établi	bière	1332257861	je m'adresse ici au membre éminent du SNJV	613	136

5769	RZO	from		reviens	intention	agenda	1332258503	RE: je m'adresse ici au membre éminent du SNJV	613	37

5770	RZO	to		fai	cuit	dorment	1332260400	Re: je m'adresse ici au membre éminent du SNJV	613	93

5783	RZO	from		voir	sent	mobile	1332848555	Re: je m'adresse ici au membre éminent du SNJV	613	14

5779	RZO	to		qui	quand	où	1332848717	Re: je m'adresse ici au membre éminent du SNJV	613	11

5782	RZO	to		vais	aller	déjà	1332848761	Re: je m'adresse ici au membre éminent du SNJV	613	16

5785	RZO	from		alors	déjà	verra	1332856646	RE: je m'adresse ici au membre éminent du SNJV	613	4

5784	RZO	from		jérôme	semaine	jeudi	1332860841	RE: je m'adresse ici au membre éminent du SNJV	613	13

5768	RZO	to		une	moi	donc	1332861009	Re: je m'adresse ici au membre éminent du SNJV	613	10

5772	RZO	to		est	très	vous	1332863109	Re: je m'adresse ici au membre éminent du SNJV	613	12

5775	RZO	from		des	vous	semaine	1333091931	RE: je m'adresse ici au membre éminent du SNJV	613	12

5778	RZO	to		work	peux	after	1333096171	Re: je m'adresse ici au membre éminent du SNJV	613	6

5781	RZO	from		dans	vous	jeudi	1333122914	Re: je m'adresse ici au membre éminent du SNJV	613	11

5777	RZO	to		dans	mehdi	pourrait	1333123128	Re: je m'adresse ici au membre éminent du SNJV	613	11

5776	RZO	from		pour	tout	toujours	1333616477	RE: je m'adresse ici au membre éminent du SNJV	613	6

5767	RZO	to		est	mon	côté	1333616538	Re: je m'adresse ici au membre éminent du SNJV	613	5

6920	RZO	from		snjv	futures	préoccupations	1333629497		743	65

6967	RZO	to		pour	jamais	dernière	1333704123	joue le jeu	746	7

8589	RZO	to					1335959011	il est pas mort!	924	0

8590	RZO	from		est	denis	dingue	1335961158	RE: il est pas mort!	924	4

8588	RZO	to		les	ça	bien	1335961392	Re: il est pas mort!	924	10

15392	RZO	to		dossiers	préviens	allusion	1344383156		1708	79

15387	RZO	from		suis	moi	donc	1344420433	RE:	1708	11

15391	RZO	to		mobile	comment	crois	1344451396	RE:	1708	20

15393	RZO	from		rue	ème	denis	1344451523	RE:	1708	7

15384	RZO	from		est	les	pour	1344610495	RE:	1708	9

15388	RZO	to		les	une	par	1344613448	Re:	1708	11

15390	RZO	from		est	dire	heure	1344613574	RE:	1708	6

15386	RZO	to		ça	dans	là	1344615340	Re:	1708	5

15385	RZO	from		donc	dis	avant	1344615441	RE:	1708	22

15389	RZO	to		ça	tout	heure	1344615551	Re:	1708	4

16023	RZO	to		avion	verre	vocation	1345228950	Mot d'excuse	1793	49

16024	RZO	from		son	bientôt	donne	1345279769	Re: Mot d'excuse	1793	6

16028	RZO	to		son	depuis	ailleurs	1345758389	Re: Mot d'excuse	1793	12

16026	RZO	from		donc	bises	denis	1345759149	Re: Mot d'excuse	1793	6

16025	RZO	to		voilà	photo	minute	1346068645	Re: Mot d'excuse	1793	25

16027	RZO	from		est	elle	donc	1346072798	RE: Mot d'excuse	1793	8

t972	RZO	to	mention	check	play	mad	1332983651		t475	14

t944	RZO	to	mention	aujourd	politique	campagne	1334624017		t609	18

t40	RZO	to	mention	pas	plus	peux	1334625618		t613	15

t133	RZO	to	mention	pas	encore	fille	1335141566		t655	10

t41	RZO	to	mention	akadenisdenis	elaborate	plz	1337991367		t910	10

t39	RZO	to	mention	qui	avec	rien	1343262401		t1517	11

t966	RZO	to	dm	bien	était	ces	1331944436		dm33	21

