message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

778	SXK	from		recruit	checkbox	chi	1327018857	RE: visweek + business	81	307

773	SXK	to		movers	practitionners	reporters	1327059710	Re: visweek + business	81	255

767	SXK	from		commercial	suggested	consultants	1327097143	RE: visweek + business	81	94

770	SXK	to		javascripty	practitionersâ	pricetag	1327098446	Re: visweek + business	81	808

782	SXK	from		igmihroaxm			1330097501	RE: visweek + business	81	1

776	SXK	to		takeaways	wannabe	afrom	1330100658	Re: visweek + business	81	1118

786	SXK	from		sponsor	wine	rafael	1332294348	RE: visweek + business	81	177

781	SXK	to		request	organize	doubt	1332335883	Re: visweek + business	81	64

783	SXK	to		industrial	grubbs	invitees	1332336766	Re: visweek + business	81	102

772	SXK	from		iglzighligdhnpzgu			1334354696	RE: visweek + business	81	1

769	SXK	to		freelancers	governmental	citizenship	1334424683	Re: visweek + business	81	176

775	SXK	to		reputation	tends	mainly	1334501097	Re: visweek + business	81	126

10429	SXK	from		crunchers	ctos	gpgpu	1338341387	VisWeek industry involvement	1130	499

10434	SXK	from		you	have	terms	1338341410	RE: VisWeek industry involvement	1131	6

10424	SXK	to		mortals	dating	mere	1338343399	Re: VisWeek industry involvement	1131	155

10433	SXK	from		bxm	igkdqpeywzwwncgklst	imkgssbk	1338343705	RE: VisWeek industry involvement	1131	4

10435	SXK	to		fide	certainty	efficiently	1338359764	Re: VisWeek industry involvement	1131	303

10422	SXK	from		gaming	xbox	chairs	1338363966	RE: VisWeek industry involvement	1131	77

10425	SXK	to		theirs	aback	ahugs	1338381881	Re: VisWeek industry involvement	1131	167

10423	SXK	to		use	vis	talk	1338383705	Re: VisWeek industry involvement	1131	25

10431	SXK	from		immersed	packs	perceptual	1338369990	RE: VisWeek industry involvement	1134	335

10421	SXK	to		algorithms	boutique	consultants	1338382189	Re: VisWeek industry involvement	1134	64

10426	SXK	to		peers	puts	zynga	1338382321	Re: VisWeek industry involvement	1134	97

10420	SXK	from		bxvzkgchjvdmlkzxi			1338429405	[Tools] RE: VisWeek industry involvement	1150	1

10428	SXK	from		[sp	etl	fiat	1338430006	[Strata] RE: VisWeek industry involvement	1151	270

10430	SXK	from		pursue	spoke	precisely	1338430381	[speakers] RE: VisWeek industry involvement	1152	84

10752	SXK	to		together	jeff	tutorials	1338798558	saw the tweet	1172	25

10754	SXK	from		tutorial	happen	whether	1338855126	RE: saw the tweet	1172	19

10751	SXK	to		bunch	frank	beginning	1338890590	Re: saw the tweet	1172	53

15809	SXK	from		dqoncskicagicag			1344980530	VisWeek: Industry Material	1760	1

15808	SXK	to		program	pre	announce	1345020141	Re: VisWeek: Industry Material	1760	51

15806	SXK	to		weber	weiskopf	westermann	1345037586	Re: VisWeek: Industry Material	1760	816

15805	SXK	from		idst	ienigjl		1345056586	RE: VisWeek: Industry Material	1760	2

15807	SXK	to		deciding	expectations	observations	1345064404	Re: VisWeek: Industry Material	1760	165

15811	SXK	from		ifdoyxqgdghlighlbgw			1345065408	RE: VisWeek: Industry Material	1760	1

15810	SXK	from		ccbmzxc	dcbpbnnwaxjlcybbu	icjc	1345313781	RE: VisWeek: Industry Material	1760	4

15804	SXK	from		bmbmnlbwvudhm	bnnwaxjlcybbu	dqo	1344984947	RE: VisWeek: Industry Material	1761	4

19781	SXK	from		please	join		1350237596	FW: VisWeek 2012 Microsoft Research Party - Monday 10/15 7pm-11pm	2157	2

t1685	SXK	to	mention	too	many	twitter	1334367198		t586	17

t887	SXK	to	mention	vlandham	fisherdanyel	moreauchevrolet	1334972276		t640	8

t372	SXK	from	mention	and	jcukier	visweek	1350263174		t1835	8

t400	SXK	from	mention	jcukier	week	long	1350263125		t1835	7

t66	SXK	to	mention	you	visweek	long	1350263253		t1835	12

t596	SXK	from	mention	med	proc	refs	1350523938		t1882	11

t302	SXK	to	mention	that	like	sounds	1350524129		t1882	2

t399	SXK	from	mention	was	jcukier	thought	1350521824		t1882	8

t1630	SXK	to	mention	panel	krees	congrats	1350610559		t1926	16

t473	SXK	from	mention	see	thanks	jcukier	1350606727		t1926	14

t1613	SXK	from	mention	panel	krees	congrats	1350604893		t1932	18

t303	SXK	to	mention	doesn	keep	datatelling	1350693071		t1960	14

t398	SXK	from	mention	jcukier	important	definitely	1350693854		t1960	3

t397	SXK	from	mention	this	jcukier	way	1350693836		t1960	6

t1050	SXK	to	mention	visweek	follow	wants	1350694331		t1970	17

t479	SXK	from	mention	that	have	jcukier	1350694575		t1970	10

