message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

30	U9t	from		rue	donnée	germain	1323871965	Dej Projet - Présidentielle	2	41

27	U9t	to		bien	mehdi	mercredi	1323872143	Re: Dej Projet - Présidentielle	2	5

29	U9t	from		tiens	semble	parti	1325518932	Re: Dej Projet - Présidentielle	2	29

47	U9t	from		vendredi	mardi	amis	1324553768	Re: RDV à monter=2Fpermanents CNN =2F Etalab	3	17

46	U9t	to		cukier	possible	bonjour	1325614013	Re: RDV à monter=2Fpermanents CNN =2F Etalab	3	17

153	U9t	from		tiens	dataviz	lien	1325515341	RE :	13	27

152	U9t	to		kindle	mettrons	serveur	1325516424	Re: RE :	13	171

154	U9t	from		pour	tout	point	1325519176	Re: RE :	13	4

53	U9t	from		vendredi	année	mardi	1325621750	Re: RDV à monter=2Fpermanents CNN =2F Etalab	20	22

41	U9t	from		est	bien	fait	1325625084	Re: RDV à monter=2Fpermanents CNN =2F Etalab	20	10

216	U9t	from		australie	figurent	coquille	1325621139	Re: livre blanc: màj de la partie I	22	69

52	U9t	from		mon	tous	bonjour	1325666311	Re: RE: RDV à monter=2Fpermanents CNN =2F Etalab	24	8

266	U9t	from		benoît	thieulin	monte	1325672253	e-Tats Gen du Num - suite	26	39

267	U9t	to		idée	sinon	à+	1326401320	Re: e-Tats Gen du Num - suite	26	17

269	U9t	from		traitement	benoît	jade	1325672519	Etats Gen Num : Deux points	27	57

268	U9t	to		franck	plume	préférée	1325676373	Re: Etats Gen Num : Deux points	27	80

270	U9t	from		approchée	auteurs	basique	1325676845	Re: Etats Gen Num : Deux points	27	46

308	U9t	from		benoît	connaissance	intentions	1325687404	Suite	33	54

307	U9t	to		également	aet	associés	1325689402	Re: Suite	33	23

306	U9t	from		vous	tous	fois	1325691838	Re: Suite	33	12

309	U9t	to		merci	vendredi	lundi	1325697236	Re: Suite	33	4

305	U9t	to		prix	revoir	serais	1325714849	Re: Suite	33	25

40	U9t	from		bien	vous	mehdi	1325689468	Re: RDV à monter=2Fpermanents CNN =2F Etalab	34	4

314	U9t	from		les	sur	jérôme	1325692272	RE :	36	11

313	U9t	to		sur	autre	peu	1325697205	Re: RE :	36	14

