message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

7521	Un7	from		mckenzie	alex	morning	1334692729	Re: Tableau data analyst	811	53

7522	Un7	from		telephone	improving	ifc	1334695554	Re: Tableau data analyst	812	41

7520	Un7	to		between	office	number	1334696002	Re: Tableau data analyst	812	37

7509	Un7	from		telephone	improving	ifc	1334698162	Re: Tableau data analyst	812	45

7510	Un7	to		should	let	use	1334699433	Re: Tableau data analyst	812	14

7513	Un7	to		you	can	jerome	1334750478	Re: Tableau data analyst	812	11

7523	Un7	from		alex	morning	kids	1334750691	Re: Tableau data analyst	818	30

7519	Un7	from		soon	ieg	original	1334752583	Re: Tableau data analyst	819	23

7517	Un7	to		this	jerome	best	1334753908	Re: Tableau data analyst	819	11

7507	Un7	to		thank	cooke	green	1334768494	Re: Tableau data analyst	819	63

7518	Un7	from		ifc	miga	mckenzie	1335968920	Re: Tableau data analyst	819	54

7508	Un7	to		find	regards	kind	1335979483	Re: Tableau data analyst	819	17

7516	Un7	from		jér	mckenzie	alex	1334782990	Re: Tableau data analyst	824	27

8325	Un7	from		linkedin	réseau	accepter	1335549617	Rejoindre mon réseau sur LinkedIn	890	41

7512	Un7	from		independent	tomorrow	ieg	1335980367	Re: Tableau data analyst	932	25

7515	Un7	to		have	can	one	1336041133	Re: Tableau data analyst	932	10

7524	Un7	from		miga	mckenzie	alex	1336044361	Re: Tableau data analyst	932	44

7506	Un7	to		the	you	can	1336045375	Re: Tableau data analyst	932	10

7514	Un7	to		not	jerome	just	1336055605	Re: Tableau data analyst	932	14

8871	Un7	from		iati	interchange	mart	1336321623	Job offer with IEG, at the World Bank Group	951	493

8865	Un7	to		reason	contract	problems	1336682625	Re: Job offer with IEG, at the World Bank Group	951	48

8867	Un7	from		telephone	setting	june	1336691502	Re: Job offer with IEG, at the World Bank Group	951	71

8868	Un7	to		hello	regards	talk	1336753701	Re: Job offer with IEG, at the World Bank Group	951	18

8869	Un7	to		during	matter	june	1337607273	Re: Job offer with IEG, at the World Bank Group	951	49

8866	Un7	to		today	asked	weeks	1337981370	Re: Job offer with IEG, at the World Bank Group	951	26

8870	Un7	from		june	july	request	1338300116	Re: Job offer with IEG, at the World Bank Group	951	86

11002	Un7	from		requested	transaction	compensation	1339087822	Initiating contract process - information requested	1201	115

11000	Un7	to		remain	status	collaborating	1339109174	Re: Initiating contract process - information requested	1201	88

11003	Un7	from		amckenzie	location	officer	1339113844	Re: Initiating contract process - information requested	1201	55

11001	Un7	from		earliest	setup	payment	1339499824	Re: Initiating contract process - information requested	1201	65

10998	Un7	to		alex	understand	blank	1339504746	Re: Initiating contract process - information requested	1201	31

10999	Un7	from		ieg	fine	original	1339506980	Re: Initiating contract process - information requested	1226	25

11495	Un7	from		reference	town	role	1339633152	Draft TOR, for your feedback/comments	1251	88

11496	Un7	to		finding	willing	asap	1339970092	Re: Draft TOR, for your feedback/comments	1251	83

11494	Un7	to		from	jerome	now	1341331061	Re: Draft TOR, for your feedback/comments	1251	9

11498	Un7	from		realistic	paperwork	processed	1341345037	Re: Draft TOR, for your feedback/comments	1251	111

11497	Un7	to		team	fine	bad	1341411151	Re: Draft TOR, for your feedback/comments	1251	37

13164	Un7	from		strategy	copy	documents	1341513301	Urgent - need copy of your passport or personal ID	1417	84

13163	Un7	to		your	time	when	1341513878	Re: Urgent - need copy of your passport or personal ID	1417	12

13162	Un7	to		juicy	requiring	driver	1341515103	Re: Fw: Urgent - need copy of your passport or personal ID	1418	401

13180	Un7	to		will	some	jerome	1341529872	Passport image	1420	13

13182	Un7	from		amckenzie	address	officer	1341530179	Re: Passport image	1420	50

13178	Un7	to		best	need	hello	1341931684	Re: Passport image	1420	16

13179	Un7	from		transaction	organizing	strict	1341933852	Re: Passport image	1420	105

13181	Un7	to		jerome	thanks	ready	1341934432	Re: Passport image	1420	3

13526	Un7	from		sign	provided	arrangements	1341958785	Important - contract processed on our end, please be alert to  correspondence	1420	72

