message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

11821	VGP	to		cotisé	rejoigne	arracher	1340040019	salut	1286	266

11820	VGP	from		couramment	escalade	mairie	1340094189	Re:salut	1286	609

11818	VGP	from		www	net	services	1341418546	Re:salut	1286	17

11822	VGP	to		fin	object	bises	1341421292	Re:salut	1286	24

11823	VGP	from		courage	télé	appart	1341421733	Re:salut	1286	61

11824	VGP	to		bébé	engagé	caser	1341422465	Re:salut	1286	130

11819	VGP	from		maternité	probl	prospecter	1341423130	Re:salut	1286	165

13721	VGP	from		albi	reposer	descendre	1342166648	Perrine	1286	49

13722	VGP	to		fille	vas	rester	1342169184	Re: Perrine	1286	21

13720	VGP	from		vert	albi	basque	1342169689	Re: Perrine	1286	126

13723	VGP	to		cet	chance	école	1342170709	Re: Perrine	1286	39

