message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

11517	VoT	from		hello	soir	bises	1339667417	Re: Hello	1252	18

11514	VoT	to		marie	dernière	demandé	1339668357	Re: Hello	1252	41

11508	VoT	from		numéro	lundi	manger	1339697055	Re: Hello	1252	48

11510	VoT	to		absolu	adoré	incongru	1339713122	Re: Hello	1252	245

11513	VoT	from		sacré	toulouse	surement	1339762941	Re: Hello	1252	98

11512	VoT	to		prendrais	contradiction	matisse	1339800887	Re: Hello	1252	208

11516	VoT	from		suis	moi	temps	1339845644	Re: Hello	1252	11

11515	VoT	from		cil	inde	rentrerai	1339858830	Re: Hello	1252	194

11509	VoT	to		sacrément	goutte	pencher	1339859832	Re: Hello	1252	181

11511	VoT	to		peu	vais	sent	1339770402	Re: Hello	1264	18

11986	VoT	to		amené	ministère	palais	1340202212	post it 2	1305	89

11988	VoT	from		etre	génial	tombe	1340231125	Re: post it 2	1305	58

11987	VoT	to		sites	fan	appelait	1340274108	Re: post it 2	1305	60

12154	VoT	to		jerome	bisous		1340369050	ça te dit d'aller voir caroline mardi soir?	1313	2

12151	VoT	from		faire	oui	bonne	1340370075	Re: ça te dit d'aller voir caroline mardi soir?	1313	9

12157	VoT	to		plus	mon	peut	1340370222	Re: ça te dit d'aller voir caroline mardi soir?	1313	13

12156	VoT	from		coup	peux	mardi	1340390847	Re: ça te dit d'aller voir caroline mardi soir?	1313	22

12146	VoT	to		regretter	curiosité	remarqué	1340405994	Re: ça te dit d'aller voir caroline mardi soir?	1313	193

12163	VoT	to		plans	jeu	beau	1340813158	Re: ça te dit d'aller voir caroline mardi soir?	1313	65

12150	VoT	from		blague	suisse	tante	1340874117	Re: ça te dit d'aller voir caroline mardi soir?	1313	105

12155	VoT	to		arrêtaient	entérologue	prononce	1340883281	Re: ça te dit d'aller voir caroline mardi soir?	1313	172

12159	VoT	to		vendredi	écris	déjeuner	1341043354	Re: ça te dit d'aller voir caroline mardi soir?	1313	45

12161	VoT	from		oeil	quai	autrement	1341235070	Re: ça te dit d'aller voir caroline mardi soir?	1313	70

12169	VoT	to		aux	aller	autres	1341235222	Re: ça te dit d'aller voir caroline mardi soir?	1313	8

12170	VoT	from		ça	bien	toi	1341235635	Re: ça te dit d'aller voir caroline mardi soir?	1313	9

12152	VoT	to		jeudi	gros	mardi	1341235798	Re: ça te dit d'aller voir caroline mardi soir?	1313	25

12165	VoT	to		inconnue	partais	rarement	1341260164	Re: ça te dit d'aller voir caroline mardi soir?	1313	167

12148	VoT	from		tout	heure	bises	1341320438	Re: ça te dit d'aller voir caroline mardi soir?	1313	8

12167	VoT	to		moi	bon	toi	1341320600	Re: ça te dit d'aller voir caroline mardi soir?	1313	12

12149	VoT	from					1341320674	Re: ça te dit d'aller voir caroline mardi soir?	1313	0

12160	VoT	to		jusqu	aille	priori	1341321429	Re: ça te dit d'aller voir caroline mardi soir?	1313	37

12162	VoT	from		sinon	prends	attend	1341322353	Re: ça te dit d'aller voir caroline mardi soir?	1313	14

12153	VoT	to		autre	peux	aller	1341323962	Re: ça te dit d'aller voir caroline mardi soir?	1313	11

12158	VoT	to		plus	mon	ton	1341323993	Re: ça te dit d'aller voir caroline mardi soir?	1313	11

12166	VoT	from		est	sous	ligne	1341324065	Re: ça te dit d'aller voir caroline mardi soir?	1313	5

12164	VoT	to		quand	bon	dit	1341324108	Re: ça te dit d'aller voir caroline mardi soir?	1313	6

12147	VoT	from		temps	donc	ton	1341324279	Re: ça te dit d'aller voir caroline mardi soir?	1313	12

12168	VoT	to		dans	par	bon	1341327690	Re: ça te dit d'aller voir caroline mardi soir?	1313	9

13138	VoT	to		bluffantes	démonstration	existé	1341497633	tout à l'heure	1414	186

13139	VoT	from		les	pour	sur	1341500235	=?ISO-8859-1?B?UmU6IHRvdXQg4CBsJ2hldXJl	1414	10

13297	VoT	from		meilleure	soucis	passes	1341603914	re	1443	31

13295	VoT	to		repas	commandé	enlève	1341604338	Re: re	1443	126

13294	VoT	from		soir	avant	dimanche	1341605602	Re: re	1443	28

13296	VoT	to		pour	from	some	1341605736	Re: re	1443	12

13499	VoT	to		jerome	bises	viens	1341931444	#N/A	1465	3

13497	VoT	from		pour	mon	voir	1341940521	Re: c'est quoi ce "peut-être" pour jeudi?	1465	9

13501	VoT	to		from	par	some	1341940738	Re: c'est quoi ce "peut-être" pour jeudi?	1465	10

13498	VoT	from		soir	demain	juste	1341941405	Re: c'est quoi ce "peut-être" pour jeudi?	1465	9

13500	VoT	to		from	some	sent	1341941486	Re: c'est quoi ce "peut-être" pour jeudi?	1465	7

13605	VoT	to		expliquerais	hiv	kaddish	1342033183	demain!	1474	172

13604	VoT	from		retrouve	dispo	frère	1342086984	Re: demain!	1474	44

13606	VoT	to		wikipedia	vingt	artistique	1342087345	Re: demain!	1474	56

13718	VoT	to		touche	raconterai	belles	1342162672	hier, demain etc.	1486	97

13847	VoT	to		fini	poser	allais	1342378762	degas :(	1497	48

14018	VoT	to		truc	matin	envie	1342572245	pas de smv pour moi vendredi	1515	20

14017	VoT	from		contact	lundi	souhaite	1342609619	Re: pas de smv pour moi vendredi	1515	38

14015	VoT	to		habillé	hasards	humide	1342649119	Re: pas de smv pour moi vendredi	1515	165

14014	VoT	from		aux	oui	parler	1342735105	Re: pas de smv pour moi vendredi	1515	17

14013	VoT	from		femme	revoir	habite	1342735244	Re: pas de smv pour moi vendredi	1515	42

14022	VoT	from		france	chez	crois	1342735374	Re: pas de smv pour moi vendredi	1515	16

14011	VoT	from		que	ça	vais	1342735446	Re: pas de smv pour moi vendredi	1515	9

14010	VoT	from		bonne	nuit		1342735526	Re: pas de smv pour moi vendredi	1515	2

14016	VoT	to		moches	multiplexe	popcorn	1342738611	Re: pas de smv pour moi vendredi	1515	482

14021	VoT	from		dire	merci	voulais	1342811894	Re: pas de smv pour moi vendredi	1515	14

14023	VoT	to		ramenés	remontait	ridicules	1342815013	Re: pas de smv pour moi vendredi	1515	583

14019	VoT	from		belles	failli	retomber	1342824121	Re: pas de smv pour moi vendredi	1515	92

14024	VoT	to		york	écrire	destination	1342826059	Re: pas de smv pour moi vendredi	1515	83

14020	VoT	from		bien	tout	passe	1343403464	Re: pas de smv pour moi vendredi	1515	3

14012	VoT	to		alimenter	massif	profiterai	1343405132	Re: pas de smv pour moi vendredi	1515	128

15280	VoT	to		finalement	voit	aurélie	1344262679	tu viens jeudi?	1691	43

15279	VoT	from		bretagne	nez	tente	1344501275	Re: tu viens jeudi?	1691	65

15281	VoT	to		ôte	aléatoire	lue	1344502782	Re: tu viens jeudi?	1691	201

15283	VoT	to		hasard	déçu	lazare	1344552922	Re: tu viens jeudi?	1691	57

15282	VoT	from		mardi	avant	première	1344593218	Re: tu viens jeudi?	1691	27

15578	VoT	to		aille	film	manger	1344593932	Fwd: Invitations UGC ILLIMITE confirmees	1734	50

16007	VoT	to		bienvenue	apprécie	établi	1345218052	je sais plus o=F9 on en était niveau mail	1788	156

16372	VoT	to		enlacée	envahir	fugacement	1345923261	après aujourd'hui	1805	460

16371	VoT	from		que	tout	bon	1346099445	Re: après aujourd'hui	1805	8

16373	VoT	to		sentir	doucement	hâte	1346101636	Re: après aujourd'hui	1805	63

16410	VoT	to		relou	lentement	étapes	1346007676		1809	206

16409	VoT	from		inquiète	énormément	diras	1346099344	Re:	1809	70

16411	VoT	to		fatigué	lazarre	quais	1346101222	Re:	1809	244

16442	VoT	to		valeur	dormir	celle	1346068843	ta photo	1812	56

16444	VoT	from		pour	suis	merci	1346098942	Re: ta photo	1812	11

16443	VoT	to		une	dans	suis	1346101276	Re: ta photo	1812	10

16446	VoT	to		ça	avais	bisous	1346069442	firmin	1813	11

16448	VoT	from		que	cool	penses	1346099008	Re: firmin	1813	4

16447	VoT	to		fois	bisous	déjà	1346101709	Re: firmin	1813	20

16676	VoT	to					1346326891	but does it float?	1827	0

16713	VoT	to		magiques	minutie	murmuré	1346364059	je voudrais	1830	742

16885	VoT	from		bande	bouquin	oncle	1346664247	yop	1849	99

16887	VoT	to		découvres	excitée	filmé	1346665577	Re: yop	1849	389

16886	VoT	from		reparle	routine	tante	1346669025	Re: yop	1849	70

16962	VoT	to					1346757640	http://www.lense.fr/2012/08/28/pixel-trade-shooter-pour-voyager/	1853	0

17193	VoT	from		ici	cool	plusieurs	1347005573	texto	1882	19

17192	VoT	to		permanente	pigeon	évidente	1347006050	Re: texto	1882	133

17274	VoT	to		depardieu	deutsch	décédées	1347147043	...	1887	438

17275	VoT	from		bisous	soir	réponds	1347177545	Re: ...	1887	3

17271	VoT	to		from	some	sent	1347344622	Re: ...	1887	8

17277	VoT	from		prendre	chaque	cet	1347360480	Re: ...	1887	22

17273	VoT	from		con	terre	parole	1347445418	Re: ...	1887	70

17272	VoT	from		une	suis	vais	1347457370	Re: ...	1887	8

17276	VoT	from		suis	moment	demain	1347551936	Re: ...	1887	11

17556	VoT	to		douche	mètres	négatif	1347493285		1911	286

17557	VoT	from		ensemble	aime	quelle	1347550435	Re:	1911	28

17600	VoT	to		croire	seulement	acheté	1347540295		1914	92

17599	VoT	from		courage	zut		1347550104	Re:	1914	2

17711	VoT	from		est	pour	ça	1347613128	ce midi	1926	7

17707	VoT	to		que	est	pas	1347614595	Re: ce midi	1926	11

17710	VoT	from		après	aller	heure	1347615993	Re: ce midi	1926	17

17698	VoT	to		moi	peut	dire	1347616237	Re: ce midi	1926	13

17705	VoT	from		devant	attends	metro	1347616452	Re: ce midi	1926	5

17701	VoT	to		alors			1347616648	Re: ce midi	1926	1

17704	VoT	from		yep			1347616880	Re: ce midi	1926	1

17703	VoT	to		dans	plus	faire	1347616943	Re: ce midi	1926	8

17700	VoT	from		cette	alors	carte	1347641102	Re: ce midi	1926	4

17697	VoT	to		quelle	carte		1347641169	Re: ce midi	1926	2

17709	VoT	from		réussi	bah	débloquer	1347641213	Re: ce midi	1926	3

17706	VoT	to		midi	qqch	ait	1347641230	Re: ce midi	1926	27

17702	VoT	to		plus	là	autre	1347641272	Re: ce midi	1926	11

17712	VoT	from		suis	voir	fois	1347641326	Re: ce midi	1926	15

17708	VoT	from		quand	coralie	étais	1347641487	Re: ce midi	1926	11

17769	VoT	to		from	sent	oui	1347641511	Carte	1934	7

17699	VoT	to		pense	sent	avant	1347642859	Re: ce midi	1935	12

17812	VoT	to		réécrit	compté	souhaitait	1347736751	par rapport à hier	1942	200

17810	VoT	from		visites	observatoire	nan	1347818458	Re: par rapport à hier	1942	73

17811	VoT	to		espace	montpar	redis	1347914187	Re: par rapport à hier	1942	78

19201	VoT	from		appelle	serai	occasion	1349515280	programme nuit blanche	2098	25

19202	VoT	to		bisous	hier	vite	1349515560	Re: programme nuit blanche	2098	18

19203	VoT	from		demandé	chercher	diner	1349517335	Re: programme nuit blanche	2098	27

19204	VoT	from		des	mais	bon	1349517529	Re: programme nuit blanche	2098	9

19205	VoT	to		qui	sont	fais	1349519935	Re: programme nuit blanche	2098	10

19819	VoT	from		marrant	reprise	insupportable	1350301041	Re: ...	2170	114

20160	VoT	from		ça	bien	mon	1350569662	... bis	2236	9

20161	VoT	to		vite	commence	avance	1350570513	Re: ... bis	2236	24

22155	VoT	from		petit	espère	bises	1353084789	hello	2442	23

22156	VoT	to		différent	courir	conséquent	1353091681	Re: hello	2442	98

