message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

9912	WCw	from		sections	adapt	posts	1337786744	Re: speaking of books, where are you at with your d3 book project?	1076	116

9910	WCw	to		occasions	productive	baby	1337813748	Re: speaking of books, where are you at with your d3 book project?	1076	51

9911	WCw	to		mike	weeks	complete	1346106291	Re: speaking of books, where are you at with your d3 book project?	1076	29

9913	WCw	from		able	she	mike	1346167752	Re: speaking of books, where are you at with your d3 book project?	1076	24

t1500	WCw	to	mention	and	http	tutorial	1327110003		t115	17

t1506	WCw	to	mention	with	how	http	1328577805		t161	13

t691	WCw	to	mention	source	details	word	1329873986		t218	7

t1501	WCw	to	mention	workshop	lots	learning	1331079982		t305	13

t1632	WCw	to	mention	again	pretty	trying	1331080274		t306	10

t1178	WCw	to	mention	needed	fast	impressive	1332205698		t411	5

t1502	WCw	to	mention	mbostock	willing	appreciated	1334192392		t573	11

t689	WCw	to	mention	where	done	linkedin	1334192827		t574	13

t257	WCw	to	mention	code	little	getting	1335400353		t678	7

t682	WCw	to	mention	with	best	live	1336695835		t796	17

t681	WCw	to	mention	that	mbostock	amen	1336782265		t811	13

t679	WCw	to	mention	book	arnicas	alignedleft	1337731436		t882	22

t692	WCw	to	mention	yes	them	might	1337909594		t905	12

t686	WCw	to	mention	they	going	tweets	1338943904		t995	9

t683	WCw	to	mention	want	back	might	1339461678		t1042	14

t687	WCw	to	mention	the	very	similar	1339461884		t1043	13

t693	WCw	to	mention	there	though	yes	1339462095		t1044	14

t688	WCw	to	mention	out	http	nice	1339632802		t1055	20

t1212	WCw	to	mention	come	news	rather	1340673059		t1199	15

t1356	WCw	to	mention	source	alignedleft	continue	1340673082		t1200	10

t690	WCw	to	mention	this	what	time	1340672137		t1202	14

t1696	WCw	to	mention	http	added	mbostock	1341360588		t1269	11

t328	WCw	to	mention	much	few	nice	1341360925		t1270	6

t678	WCw	to	mention	that	not	alignedleft	1341449407		t1295	5

t36	WCw	to	mention	possibly	mbostock	d3js	1344643409		t1584	14

t1568	WCw	to	mention	bubble	datavis	mbostock	1347062917		t1677	9

t910	WCw	from	mention	bubble	datavis	mbostock	1347063911		t1678	2

t1504	WCw	to	mention	you	are	how	1347068231		t1679	11

t1505	WCw	to	mention	map	http	jasondavies	1348444927		t1733	16

t444	WCw	from	mention	jcukier	http	version	1350004859		t1824	12

t354	WCw	from	mention	the	you	with	1350004203		t1824	18

t680	WCw	to	mention	great	too	going	1350000153		t1824	7

t1629	WCw	to	mention	the	just	good	1350089973		t1825	12

t1324	WCw	from	mention	track	performance	jcukier	1354582428		t2181	5

t1503	WCw	to	mention	along	axes	mbostock	1355534733		t2307	15

t685	WCw	to	mention	your	what	use	1355876748		t2347	10

t401	WCw	from	mention	jasondavies	usually	geo	1355876775		t2347	12

t684	WCw	to	mention	map	points	file	1355876932		t2347	11

t559	WCw	from	mention	jcukier	http	use	1355877021		t2347	12

t1645	WCw	to	mention	cool	example	mbostock	1355878128		t2348	13

t1098	WCw	from	dm	you	that	http	1325640495		dm89	17

t1285	WCw	to	dm	for	letting	nope	1325640615		dm89	15

t1581	WCw	to	dm	the	for	what	1325727539		dm89	14

t1130	WCw	to	dm	that	data	what	1355877311		dm89	5

t1590	WCw	from	dm	http	lot	might	1355877685		dm89	4

t1075	WCw	to	dm	there	all	when	1355877753		dm89	6

t1036	WCw	from	dm	http	map	example	1355879182		dm89	21

