message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

5594	Xlg	from		intérêt	êtes	réseau	1332108449	Rejoindre mon réseau sur LinkedIn	589	31

12134	Xlg	from		system	unfortunately	indeed	1340365820	Re: Picnic over the Seine / Saturday 9pm	1312	26

12137	Xlg	to		salut	pouvoir	parle	1340366648	Re: Picnic over the Seine / Saturday 9pm	1312	17

12138	Xlg	to		there			1340367561	Re: Picnic over the Seine / Saturday 9pm	1312	1

12136	Xlg	from		avec	cool	plaisir	1340376265	Re: Picnic over the Seine / Saturday 9pm	1312	4

12131	Xlg	to		suite	ailleurs	tableau	1340472583	Re: Picnic over the Seine / Saturday 9pm	1312	31

12133	Xlg	from		voici	juin	garder	1346221362	Re: Picnic over the Seine / Saturday 9pm	1312	36

21615	Xlg	from		experts	football	prochains	1352368856	Visu de foot	2392	49

