message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

3286	YGm	to		application	contraire	pouvez	1329042170	Crédits	344	28

3442	YGm	to		ppt	appli	nan	1329258702	Re: presque fin	362	75

3446	YGm	to		polytechnique	ruby	yannick	1329260240	RE: presque fin	362	122

3448	YGm	to		réservé	bastille	meufs	1329325615	Re: presque fin	362	19

3444	YGm	from		très	était	merci	1329399560	Re: presque fin	362	7

3530	YGm	to		illustré	mesurons	molina	1329326007	Fwd: bravo !  et next steps	375	401

