message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

3118	ZD4	from		jérôme	hey		1328787148	Re: Word Cloud	324	2

13123	ZD4	from		geometric	roaming	abundant	1341569889	Re: maths	1429	297

13121	ZD4	to		generative	algorithms	geometry	1341606896	Re: maths	1429	57

t1040	ZD4	to	mention	and	data	http	1325636351		t7	14

t361	ZD4	to	mention	what	are	about	1326415263		t63	3

t351	ZD4	to	mention	top	arnicas	makes	1326415282		t64	17

t350	ZD4	to	mention	arnicas	potential	jasondavies	1326415361		t65	11

t69	ZD4	to	mention	thinking	keep	arnicas	1326414194		t70	17

t67	ZD4	to	mention	kind	arnicas	network	1326414239		t71	12

t70	ZD4	to	mention	towards	jasondavies	nodes	1326414674		t72	5

t1044	ZD4	to	mention	http	fantastic	jasondavies	1335226076		t672	12

t1452	ZD4	to	mention	http	original	jasondavies	1335313642		t674	16

t257	ZD4	to	mention	code	little	getting	1335400353		t678	7

t356	ZD4	to	mention	charts	obviously	jasondavies	1335488561		t688	18

t703	ZD4	to	mention	for	font	great	1335488579		t691	20

t894	ZD4	to	mention	week	code	times	1335572471		t695	4

t195	ZD4	to	mention	and	you	one	1336008243		t734	12

t352	ZD4	to	mention	the	for	latest	1336004531		t735	10

t61	ZD4	to	mention	who	guys	interested	1337821624		t889	9

t197	ZD4	to	mention	part	each	arnicas	1337822208		t892	15

t196	ZD4	to	mention	arnicas	material	currently	1337822171		t893	17

t359	ZD4	to	mention	jasondavies	gusta		1341538717		t1306	4

t1505	ZD4	to	mention	map	http	jasondavies	1348444927		t1733	16

t362	ZD4	to	mention	http	our	use	1350004536		t1823	1

t511	ZD4	from	mention	note	transition	hasn	1350004743		t1823	18

t358	ZD4	to	mention	such	example	form	1350004807		t1823	15

t444	ZD4	from	mention	jcukier	http	version	1350004859		t1824	12

t354	ZD4	from	mention	the	you	with	1350004203		t1824	18

t680	ZD4	to	mention	great	too	going	1350000153		t1824	7

t922	ZD4	to	mention	data	http	visweek	1350523724		t1885	16

t392	ZD4	from	mention	data	jcukier	driven	1350523732		t1885	16

t561	ZD4	from	mention	and	are	your	1350609213		t1898	6

t71	ZD4	to	mention	arnicas	seems	jasondavies	1350609299		t1900	7

t378	ZD4	from	mention	the	for	all	1350609599		t1900	8

t1606	ZD4	to	mention	shapes	deals	islands	1351556898		t2009	15

t455	ZD4	from	mention	for	this	one	1352337543		t2057	8

t355	ZD4	from	mention	the	one	jcukier	1352337607		t2057	10

t72	ZD4	from	mention	all	now	thanks	1352337734		t2057	10

t68	ZD4	to	mention	now	work	does	1352337734		t2057	3

t360	ZD4	to	mention	those	files	jasondavies	1352337787		t2057	14

t1210	ZD4	from	mention	jcukier	http	jasondavies	1352768164		t2092	18

t704	ZD4	from	mention	this	jcukier	http	1352855185		t2092	14

t1210	ZD4	from	mention	jcukier	http	jasondavies	1352768164		t2093	18

t357	ZD4	to	mention	just	very	moritz	1353459003		t2141	2

t415	ZD4	from	mention	moritz	stefaner	jcukier	1353459135		t2141	16

t353	ZD4	from	mention	thing	two	different	1353459445		t2141	8

t702	ZD4	from	mention	about	just	jcukier	1353459696		t2141	8

t746	ZD4	from	mention	for	see	moritz	1353459967		t2141	11

t1453	ZD4	to	mention	http	jasondavies	polygon	1354234046		t2172	12

t685	ZD4	to	mention	your	what	use	1355876748		t2347	10

t401	ZD4	from	mention	jasondavies	usually	geo	1355876775		t2347	12

