message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

15808	ZIC	from		program	pre	announce	1345020141	Re: VisWeek: Industry Material	1760	51

15806	ZIC	to		weber	weiskopf	westermann	1345037586	Re: VisWeek: Industry Material	1760	816

15805	ZIC	to		idst	ienigjl		1345056586	RE: VisWeek: Industry Material	1760	2

16555	ZIC	from		band	existed	bands	1346184808	D3 layout help	1820	220

16553	ZIC	to		one	well	possible	1346187223	Re: D3 layout help	1820	6

16554	ZIC	from		band	existed	bands	1347301404	Re: D3 layout help	1820	232

t1269	ZIC	to	mention	data	new	http	1335142151		t659	2

t799	ZIC	to	mention	absolutely	noahi	jsteeleeditor	1335139443		t661	13

t801	ZIC	to	mention	was	been	had	1335139455		t662	6

t888	ZIC	to	mention	data	moebio	driven	1335572598		t696	16

t1528	ZIC	to	mention	time	now	good	1335920343		t723	13

t794	ZIC	to	mention	driven	among	buy	1341880642		t1363	4

t795	ZIC	to	mention	others	opinion	driven	1341880957		t1364	20

t1646	ZIC	from	mention	visweek	jeff	alignedleft	1346463036		t1631	21

t553	ZIC	from	mention	your	jcukier	need	1348704847		t1735	12

t533	ZIC	from	mention	that	like	should	1348791341		t1760	18

t47	ZIC	from	mention	workshop	alignedleft	strata	1349655359		t1815	6

t55	ZIC	to	mention	you	would	interested	1349655974		t1815	3

t366	ZIC	from	mention	that	would	great	1349657175		t1815	4

t376	ZIC	from	mention	our	already	arnicas	1349660245		t1815	10

t86	ZIC	from	mention	the	and	for	1349660208		t1815	4

t1682	ZIC	from	mention	visweek	alignedleft	heer	1350348836		t1841	12

t564	ZIC	from	mention	the	will	thanks	1350349754		t1843	13

t798	ZIC	from	mention	think	jcukier	yes	1350350433		t1843	17

t213	ZIC	from	mention	thanks	jcukier	http	1350349597		t1847	8

t793	ZIC	to	mention	keep	blog	tell	1350349844		t1847	19

t208	ZIC	from	mention	datatelling	alignedleft	heer	1350348453		t1848	10

t1042	ZIC	from	mention	http	our	visweek	1350523657		t1892	9

t1703	ZIC	from	mention	work	mail	where	1350606899		t1927	17

t797	ZIC	from	mention	across	street	noahi	1350607683		t1927	3

t313	ZIC	from	mention	thanks	jcukier	perfect	1350607863		t1927	21

t1608	ZIC	from	mention	jcukier	place	datatelling	1350608444		t1929	9

t296	ZIC	from	mention	next	filwd	outside	1350609172		t1930	16

t1580	ZIC	to	mention	taking	lunch	noahi	1350605741		t1933	8

t423	ZIC	from	mention	that	jcukier	where	1350605785		t1933	5

t267	ZIC	to	mention	krees	above	bottom	1350605835		t1933	6

t394	ZIC	from	mention	under	eagereyes	head	1350606029		t1933	5

t796	ZIC	from	mention	thanks	jcukier	krees	1350605012		t1933	13

t425	ZIC	from	mention	who	jcukier	look	1350606149		t1933	6

t598	ZIC	to	mention	you	have	know	1350606382		t1933	17

t899	ZIC	from	mention	eagereyes	speaking	infosthetics	1350695955		t1968	17

t1072	ZIC	from	mention	great	jcukier	news	1352252298		t2040	11

t577	ZIC	from	mention	guys	looking	another	1352334719		t2044	7

t800	ZIC	to	mention	don	vis	mean	1352592678		t2072	10

t424	ZIC	from	mention	that	are	there	1352596196		t2073	19

t307	ZIC	from	mention	there	work	jcukier	1352597343		t2073	14

t424	ZIC	from	mention	that	are	there	1352596196		t2074	19

t1082	ZIC	to	mention	happy	visualisingdata	moebio	1352767327		t2082	11

t1066	ZIC	from	mention	moebio	datatelling	luck	1352770656		t2082	13

t1240	ZIC	from	mention	too	happy	moebio	1352769427		t2085	9

t1670	ZIC	from	dm	easy	apple	bay	1341878527		dm96	15

t1261	ZIC	to	dm	our	going	may	1341881714		dm96	11

t1122	ZIC	to	dm	too	get	long	1341881715		dm96	21

t1617	ZIC	from	dm	pretty	friend	perhaps	1341882795		dm96	6

t1123	ZIC	to	dm	such	price	missing	1341882907		dm96	12

t1006	ZIC	to	dm	can	mail	skype	1346204204		dm96	7

t1656	ZIC	from	dm	and	between	red	1350696124		dm96	18

t1607	ZIC	to	dm	you	not	had	1350696277		dm96	10

t1614	ZIC	from	dm	that	was	what	1350697079		dm96	9

