message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

273	ZKY	to		saw	tulp	visualizer	1325673926	SEE #7	28	32

277	ZKY	to		domination	owner	clashes	1325674514	Re: SEE #7	29	140

281	ZKY	to		andy	happy	willem	1325674679	Re: SEE #7	29	25

290	ZKY	to		zürich	freiestrasse	excel	1325675191	Re: SEE #7	29	91

280	ZKY	to		address	wish	speaking	1325682392	Re: SEE #7	29	49

274	ZKY	to		yes	year	jan	1325682834	Re: SEE #7	29	19

279	ZKY	to		monitor	icons	imminent	1325675475	Re: SEE #7	30	60

278	ZKY	to		www	andy	web	1325683148	Re: SEE #7	32	20

287	ZKY	to		board	scene	wiesbaden	1325687780	Re: SEE #7	32	56

285	ZKY	to		kirk	visualisingdata	visualising	1325691876	Re: SEE #7	35	30

284	ZKY	to		hire	confirmed	refer	1325694035	Re: SEE #7	35	127

282	ZKY	to		really	don	too	1325709183	Re: SEE #7	35	8

286	ZKY	to		excitement	grab	officially	1325719225	Re: SEE #7	35	121

289	ZKY	to		barcelona	expectancy	funded	1325725703	Re: SEE #7	35	139

275	ZKY	to		funding	announced	speakers	1325750522	Re: SEE #7	35	97

283	ZKY	to		themed	exchanges	echoing	1325751119	Re: SEE #7	41	322

288	ZKY	to		address	knowledge	london	1325760712	Re: SEE #7	41	45

276	ZKY	to		conferences	invited	practice	1325765749	Re: SEE #7	41	42

422	ZKY	to		nathan	thorp	reaction	1325790298	Flowingdata	41	66

420	ZKY	to		nathan	weird	fee	1325792098	Re: Flowingdata	41	65

426	ZKY	to		familiar	reputation	weak	1325804827	Re: Flowingdata	41	127

427	ZKY	to		old	model	paid	1326141866	Re: Flowingdata	41	39

416	ZKY	to					1326143286	Re: Flowingdata	41	0

421	ZKY	to		allow	commercial	invested	1326185438	Re: Flowingdata	41	76

419	ZKY	to		again	money	fun	1326191551	Re: Flowingdata	41	29

425	ZKY	to		for	one	get	1326193789	Re: Flowingdata	41	6

424	ZKY	to		personally	nathan	sign	1326198883	Re: Flowingdata	41	68

404	ZKY	to		was	something	interesting	1325782315		47	10

423	ZKY	to		occasional	act	sustainability	1326200817	Re: Flowingdata	74	78

417	ZKY	to		met	ask	weeks	1326210983	Re: Flowingdata	74	34

418	ZKY	to		you	know	moritz	1326220976	Re: Flowingdata	74	13

839	ZKY	to		jan	willem	does	1326309908	Resonate	85	15

838	ZKY	to		team	unfortunately	care	1326310825	Re: Resonate	85	26

841	ZKY	to		love	damm	eickedorfer	1326311966	Re: Resonate	85	25

836	ZKY	to		advantage	license	windows	1326313100	Re: Resonate	85	71

843	ZKY	to		going	sure	since	1326379323	Re: Resonate	85	22

837	ZKY	to		glad	plans	family	1326456598	Re: Resonate	85	32

842	ZKY	to		moment	yet	haven	1326644075	Re: Resonate	85	13

840	ZKY	to		update	eyeo	attend	1328045390	Re: Resonate	85	26

996	ZKY	to		episodes	infinite	novice	1326491746	How does a beginner find data?	100	262

998	ZKY	to		statistical	movement	extensive	1326492283	Re: How does a beginner find data?	100	162

999	ZKY	to		gapminder	ages	journalist	1326494460	Re: How does a beginner find data?	100	158

997	ZKY	to		feeds	websites	acquisition	1326532953	Re: How does a beginner find data?	100	96

1000	ZKY	to		personally	graphs	knowing	1326585773	Re: How does a beginner find data?	100	69

1551	ZKY	to		arisen	deemed	delivering	1327350886	Quick bit of advice	145	250

1555	ZKY	to		arisen	deemed	delivering	1327352124	Quick bit of advice	146	234

1554	ZKY	to		higher	output	selling	1327357198	Re: Quick bit of advice	146	133

1553	ZKY	to		similar	kirk	says	1327357490	Re: Quick bit of advice	146	50

1552	ZKY	to		trainers	barriers	enricos	1327359766	Re: Quick bit of advice	146	132

1611	ZKY	to		normally	mistake	reckon	1327419339	Not getting cartel emails	150	134

1612	ZKY	to		mailto	mac	url	1327428429	Re: Not getting cartel emails	150	61

1669	ZKY	to		comedy	happier	competing	1327491456	imdb + vis	158	185

1666	ZKY	to		your	got	looking	1327492101	Re: imdb + vis	158	16

1668	ZKY	to		keywords	confidence	genres	1327495269	Re: imdb + vis	158	52

1667	ZKY	to		water	skilled	woohoo	1327502201	Re: imdb + vis	158	93

1728	ZKY	to		datasets	contribute	nutshell	1327518586	bat signal	168	90

1732	ZKY	to		jérôme	jan	probably	1327520394	Re: bat signal	168	7

