message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

10037	Zyb	from		pour	dans	projet	1337889310	Re: pour l'instant	1097	7

12269	Zyb	from		taille	belle	beau	1340649424	Re: Projets de livres sur la data viz, le data journal isme et l=E2=80=99Open Data	1331	30

12271	Zyb	from		cours	belle	rédaction	1340649866	Re: Projets de livres sur la data viz, le data journal isme et l=E2=80=99Open Data	1332	22

12473	Zyb	from		pour	que	plus	1340720872	A quel numéro on peut te joindre ? 	1344	10

12472	Zyb	to					1340720974	Re: A quel numéro on peut te joindre ?	1344	0

t1368	Zyb	to	mention	graphiques	exemples	édition	1346807658		t1649	18
