message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2697	aDn	from		set	excellent	user	1328519141	Re: d3 User Group Meetup in SF?	281	27

2698	aDn	to		interest	users	groups	1328520106	Re: d3 User Group Meetup in SF?	281	39

3097	aDn	from		invitation	connections	connect	1328785435	Join my network on LinkedIn	321	72

3095	aDn	from		you	sent	has	1328785784	RE: Join my network on LinkedIn	322	7

8920	aDn	from		available	created	martin	1336560248	Re: le D3 meetup à Paris=2C c'est maintenant	972	22

8922	aDn	from		thursday	martin	option	1336636926	Re: le D3 meetup à Paris=2C c'est maintenant	972	37

8921	aDn	from		meetup	afin	valider	1336987158	Re: le D3 meetup à Paris=2C c'est maintenant	972	53

12184	aDn	from		dej	organiser	ravi	1340376006	Dej fifty-five	1315	40

12181	aDn	to		ici	vrai	tête	1340699583	Re: Dej fifty-five	1315	19

12186	aDn	from		hello	demain	ensemble	1341252162	Re: Dej fifty-five	1388	14

12188	aDn	to		vers	trouver	qqch	1341258100	Re: Dej fifty-five	1388	31

12182	aDn	from		jérôme	hello	heure	1341302264	Re: Dej fifty-five	1388	12

12183	aDn	to		tout	heure		1341306996	Re: Dej fifty-five	1388	2

12187	aDn	to		omw			1341309457	Re: Dej fifty-five	1388	1

t973	aDn	to	mention	rencontre	utilisateurs	cybunk	1328662946		t162	16

