message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

12642	aY9	from		rights	articulate	jun	1340977180	Re: complexité visuelle	1363	127

12647	aY9	to		charts	september	stats	1340979519	Re: complexité visuelle	1363	37

12646	aY9	to		french	remember	intended	1341953644	Re: complexité visuelle	1363	34

12645	aY9	from		accurate	broad	mapping	1342009855	Re: complexité visuelle	1363	149

12644	aY9	to		concise	translation	textbook	1342030194	Re: complexité visuelle	1363	122

12648	aY9	from		might	having	solution	1342187088	Re: complexité visuelle	1363	18

t1341	aY9	to	mention	conference	wiederkehr	janwillemtulp	1334970993		t637	10

t1719	aY9	to	mention	conference	wiederkehr	workshop	1335489464		t689	18

t1569	aY9	to	mention	and	with	http	1335747881		t706	3

t26	aY9	to	mention	every	needs	field	1335748563		t713	15

t1268	aY9	to	mention	see	new	http	1336441139		t777	17

t1482	aY9	to	mention	online	excited	mslima	1337215304		t846	13

t1520	aY9	to	mention	http	into	talk	1337733179		t863	14

t1201	aY9	to	mention	sur	http	livre	1342224453		t1406	10

t710	aY9	to	mention	site	moebio	mslima	1342229542		t1418	13

t595	aY9	to	mention	too	hope	moebio	1342228102		t1420	14

t1519	aY9	from	mention	http	come	soon	1342484119		t1430	13

t1029	aY9	to	mention	are	any	jcukier	1342657518		t1450	8

t771	aY9	from	mention	east	mslima	nbrgraphs	1342747519		t1465	5

t80	aY9	from	mention	since	arnicas	less	1342831281		t1465	13

t766	aY9	to	mention	reason	choose	shouldn	1342831885		t1465	14

t421	aY9	from	mention	nice	arnicas	mslima	1342829084		t1465	6

t778	aY9	from	mention	say	saturday	mslima	1342831762		t1465	3

t79	aY9	from	mention	there	will	jcukier	1342831957		t1465	14

t420	aY9	from	mention	guys	sorry	weekend	1342918574		t1465	11

t1589	aY9	from	mention	jcukier	sounds	arnicas	1342833101		t1473	13

t428	aY9	from	mention	can	jerome	see	1346114377		t1613	8

t516	aY9	from	mention	most	long	intended	1350695163		t1971	11

t1097	aY9	from	dm	out	when	hey	1342918585		dm83	10

t943	aY9	to	dm	this	but	only	1342920381		dm83	2

