message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

329	azL	to		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

339	azL	from		nom	pages	concerne	1325700808	Re: CNN OD : Prochaine réunion jeudi 5 ja nvier 2012 de 18:00 à 20:00 à l'O CDE 2=2C rue André Pascal 75016 Paris	37	26

333	azL	to		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

1033	azL	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	azL	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1027	azL	from		actuel	cloud	restant	1326924397	Re: CNN OD : Prochaine réunion jeudi 19 j anvier 2012 de 18:30 à 20:00 chez Not re Famille	101	48

1112	azL	from		galerie	intitulé	présenterai	1326727772	Invitation à la soirée de lancement  de l'ouvrage =AB Option Libre : du bon  usage des licences libres. =BB Le 30 janv ier à partir de 18h45 à la Cantine ( Paris)	104	86

1114	azL	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1311	azL	from		click	cnn	online	1326989539	CNN 2.doc	119	20

1320	azL	from		bwlu			1326989670	CNN	120	1

1319	azL	to		lire	axes	donnée	1326991553	Re: CNN	120	29

1317	azL	to		restrictions	apport	implique	1326993506	Re: CNN	120	214

1328	azL	to		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1323	azL	from					1326993387	RE : Re: CNN	122	0

1314	azL	from		cj+pgo+pjgqy	dmvjignldhrligpcnpb	drqkpmrpddog	1327000369	Re: CNN	125	3

1324	azL	to		oui			1327003608	Re: CNN	125	1

1318	azL	from					1327013456	Re: CNN	126	0

1313	azL	to		entraîner	pouvoirs	régulateur	1327049360	Re: CNN	126	121

1326	azL	from		actuel	government	textes	1327049807	Re: CNN	126	44

1322	azL	from		call	midi	appeler	1327307193	Re: CNN	126	25

1321	azL	to		tout	jerome	été	1327307783	Re: CNN	126	8

1401	azL	from					1327067959	Retard	131	0

1402	azL	to		tout	heure		1327069347	Re: Retard	131	2

1405	azL	to		benjamin	semaine	début	1327071562	Re: Retard	131	14

1403	azL	from					1327081364	RE : Re: Retard	133	0

1404	azL	to		que	pour	être	1327128004	Re: RE : Re: Retard	133	6

1522	azL	to		apporter	contributions	rédiger	1327333076	cnn od =2B données personnelles	143	46

1536	azL	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	azL	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

1541	azL	from		commentaires	cnil	déplacement	1328049012	Re: [CNN OD] fin de la rédaction du rapport	144	69

1538	azL	to		aura	qqch	essayer	1328050768	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	29

1525	azL	from		réflexions	amitiés	relancer	1328816493	Re: [CNN OD] fin de la rédaction du rapport	144	76

1532	azL	to		cnn	gilles	interview	1328817789	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	43

1534	azL	from		déroulée	finalité	finalités	1329064203	Re: [CNN OD] fin de la rédaction du rapport	144	205

1530	azL	to		eme	finale	duval	1329078455	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	93

1540	azL	from		légitimité	ménager	tombent	1329084508	Re: [CNN OD] fin de la rédaction du rapport	144	167

1527	azL	from		aider	disponible	bonsoir	1329777727	Re: [CNN OD] fin de la rédaction du rapport	144	27

1528	azL	to		parties	remarques	boucle	1329817573	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	72

1533	azL	from		compléter	modifs	pratiques	1329821715	Re: [CNN OD] fin de la rédaction du rapport	144	114

1764	azL	to		repensée	sexuelle	aggrégées	1327566275	texte sur les données personnelles =2F sensibles	172	310

2341	azL	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

6321	azL	to		engager	pile	insister	1332858298	=5BCNN OD=5D la fin du début de la fin	689	88

6696	azL	to		finaliser	minima	applicables	1333359450	précision au sujet du texte de l'open data	721	74

6698	azL	from		contractuel	cpi	framabook	1333360969	Re: précision au sujet du texte de  l'open data	721	199

10894	azL	to		constater	diverses	sensibilités	1338976825	CNNum - sortie de l'avis Open Data	1193	138

10897	azL	from		signale	venons	blocages	1339361157	Re: CNNum - sortie de l'avis Open Data	1193	240

18646	azL	to		quid	signaler	correspondances	1348750284	question sur les données personnelles	2054	140

18649	azL	from		reprocher	tardive	divulgue	1348858279	Re: question sur les données personnelles	2054	211

18650	azL	from		reprocher	tardive	divulgue	1348858673	Re: question sur les données personnelles	2054	211

18648	azL	to		contrarier	courier	explicitement	1349128787	Re: question sur les données personnelles	2054	102

18647	azL	from		explicitement	confidentialité	furieuse	1349160988	Re: question sur les données personnelles	2054	138

t1499	azL	to	mention	français	diffusion	contenus	1348359108		t1732	9

