message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

6689	b7j	from		vous	message	hello	1333355333	RE: hello	719	9

6688	b7j	from		christelle	chris	bureaux	1333355635	RE: hello	720	61

7642	b7j	from		suis	hello	réunion	1334750515	RE: est-ce que tu veux prendre un café aujourd'hui?	817	4

7645	b7j	to		avant	cas	heure	1334753987	Re: est-ce que tu veux prendre un café aujourd'hui?	817	4

7643	b7j	to		omw			1334758660	Re: est-ce que tu veux prendre un café aujourd'hui?	817	1

7641	b7j	to		parlé	voulais	à+	1334769752	Re: est-ce que tu veux prendre un café aujourd'hui?	817	34

7644	b7j	from		pour	message	merci	1334776127	RE: est-ce que tu veux prendre un café aujourd'hui?	823	10

10488	b7j	to		mot	entretien	devrais	1338378045	heads up	1142	55

10480	b7j	from		à+	microsoft	terrible	1338394505	RE: heads up	1142	30

10481	b7j	to		phone	job	bises	1338395575	Re: RE: heads up	1142	30

10485	b7j	to		mon	dit	cela	1338459494	Re: RE: heads up	1142	13

10487	b7j	to		fois	mobile	chez	1339484292	Re: RE: heads up	1142	15

10483	b7j	from		pour	voir	peux	1339491099	RE: heads up	1142	10

10482	b7j	to		coup	midi	viendrais	1339492014	Re: heads up	1142	3

10486	b7j	from		moi	peux	avoir	1339500282	RE: heads up	1222	10

10484	b7j	to		sent	alors	encore	1339514800	Re: RE: heads up	1222	15

12291	b7j	to		calme	christelle	pourras	1340616693	début juillet	1319	68

12292	b7j	from		toujours	hello	toute	1340726013	RE: début juillet	1345	6

12288	b7j	to		chances	malgré	auquel	1340729800	Re: début juillet	1345	25

12294	b7j	from		noté	accueil	pardonner	1341404170	RE: début juillet	1345	56

12290	b7j	to		aot	déj	ouh	1341405311	Re: début juillet	1345	59

12285	b7j	to		allé	plans	moitié	1344605321	Re: début juillet	1345	50

12286	b7j	from		septembre	origine	usa	1344611804	RE: début juillet	1749	73

12284	b7j	to		vacances	verra	décidé	1344612198	Re: début juillet	1749	43

12287	b7j	to		jusqu	plaisir	sera	1347869642	Re: début juillet	1749	21

12283	b7j	from		personnes	christelle	invité	1347889629	RE: début juillet	1749	25

12289	b7j	to		bises	plusieurs	difficile	1347889848	Re: début juillet	1749	32

12295	b7j	from		toi	peux	passer	1347891363	RE: début juillet	1749	18

12293	b7j	to		from	aussi	sent	1347904276	Re: RE: début juillet	1749	12

17999	b7j	from		désolée	christelle	acheter	1347953168	aie, demain ?	1749	43

17998	b7j	to		chance	doit	facile	1347954333	Re: aie, demain ?	1749	23

17997	b7j	from		que	est	hello	1348127526	RE: aie, demain ?	1749	8

17995	b7j	to		pas	bises	lien	1348228754	Re: aie, demain ?	1749	3

17996	b7j	from		boulot	kids	origine	1347955801	RE: aie, demain ?	1982	35

