message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

9917	ciy	from		hadn	setup	explanation	1337808768	Re: Maybe we SHOULD do a group d3 book?	1075	59

9935	ciy	to		until	perhaps	become	1337953531	Re: Maybe we SHOULD do a group d3 book?	1075	33

9922	ciy	to		smith	annotatable	django	1337959447	Re: Maybe we SHOULD do a group d3 book?	1075	1045

9926	ciy	from		the	great	look	1337960322	Re: Maybe we SHOULD do a group d3 book?	1075	7

9927	ciy	to		training	share	taking	1337962626	Re: Maybe we SHOULD do a group d3 book?	1075	27

9920	ciy	to		otherwise	behind	beautiful	1340742289	Re: Maybe we SHOULD do a group d3 book?	1075	51

9934	ciy	to		smith	aand	saved	1340742593	Re: Maybe we SHOULD do a group d3 book?	1075	179

t1238	ciy	to	mention	first	since	names	1335489123		t685	14

t195	ciy	to	mention	and	you	one	1336008243		t734	12

t352	ciy	to	mention	the	for	latest	1336004531		t735	10

t61	ciy	to	mention	who	guys	interested	1337821624		t889	9

t197	ciy	to	mention	part	each	arnicas	1337822208		t892	15

t196	ciy	to	mention	arnicas	material	currently	1337822171		t893	17

