message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

8711	f6h	from		produce	lost	power	1336063702	Sarkozy visualizations	941	121

8712	f6h	to		choir	preaching	resounding	1336066409	Re: Sarkozy visualizations	941	201

8707	f6h	from		article	usually	provided	1336067266	Re: Sarkozy visualizations	941	68

8706	f6h	to		blood	claimed	decreased	1336076814	Re: Sarkozy visualizations	941	208

8708	f6h	to		piketty	pretense	raspberry	1336234254	Re: Sarkozy visualizations	941	293

8713	f6h	from		eye	handle	sometime	1336234943	Re: Sarkozy visualizations	941	80

8714	f6h	to		fiscale	screenshot	approx	1336318066	Re: Sarkozy visualizations	941	101

8709	f6h	from		sentences	celebrating	presidential	1336332071	Re: Sarkozy visualizations	941	116

8710	f6h	to		one	jerome	any	1336342860	Re: Sarkozy visualizations	941	14

14445	f6h	to		publicly	bryan	poor	1343054137	on being in DC	1595	125

14439	f6h	from		station	dots	bryan	1343068488	Re: on being in DC	1595	77

14443	f6h	to		justin	park	bell	1343073837	Re: on being in DC	1595	83

14444	f6h	from		hope	hey	number	1343149704	Re: on being in DC	1595	20

14442	f6h	to		jon	jschwabish	peltier	1343150413	Re: on being in DC	1595	64

14440	f6h	from		able	meet	down	1343157600	Re: on being in DC	1595	20

14441	f6h	to		the	for	like	1343158755	Re: on being in DC	1595	8

19494	f6h	to		employers	limits	runner	1349900773		2122	213

19495	f6h	to		employers	limits	runner	1349902204		2123	213

19498	f6h	to		employers	limits	runner	1349903069		2124	213

19497	f6h	from		applies	frequency	james	1349905579	Re:	2124	179

19496	f6h	to		accolades	amplified	anathematizes	1349909219	Re:	2124	174

19501	f6h	to		employers	limits	runner	1349905154		2125	213

t1539	f6h	to	mention	twitter	quality	followers	1331253093		t338	11

t828	f6h	to	mention	about	too	bit	1331254132		t342	4

t837	f6h	to	mention	and	visualisingdata	thewhyaxis	1336177345		t741	18

t1048	f6h	to	mention	for	working	post	1336351604		t754	16

t1262	f6h	to	mention	http	post	during	1336439137		t771	13

t1651	f6h	to	mention	any	happy	help	1337129044		t834	9

t858	f6h	to	mention	can	all	what	1337127742		t837	8

t163	f6h	from	mention	you	this	know	1343092807		t1491	11

t489	f6h	from	mention	jcukier	may	through	1343092957		t1493	17

t1211	f6h	from	mention	had	jcukier	down	1343179619		t1513	4

t946	f6h	from	mention	class	learned	jon	1343176515		t1514	17

t493	f6h	from	mention	jcukier	http	doing	1349400964		t1801	11

t826	f6h	to	mention	when	use	case	1352336853		t2058	6

t439	f6h	from	mention	one	good	jcukier	1352336887		t2058	9

t827	f6h	to	mention	vis	say	cool	1352336895		t2059	20

t498	f6h	from	mention	this	time	new	1352336955		t2059	16

t825	f6h	to	mention	don	http	thank	1352854057		t2101	18

t426	f6h	from	mention	jason	thank	took	1352855016		t2101	8

t446	f6h	from	dm	any	jcukier	http	1336090901		dm22	8

t1706	f6h	to	dm	you	not	when	1336093271		dm22	21

t960	f6h	to	dm	gmail	jeromecukier	btw	1336093312		dm22	8

