message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2093	gII	from		technology	building	graphic	1327939864	medef	207	50

2094	gII	to		impact	additional	recommend	1327940294	Re: medef	207	68

2095	gII	from		spend	chat	deadline	1327940751	Re: medef	207	47

2115	gII	to		bazin	kilianba	interaction	1327942129	Re: 5 - IDH animated	208	39

2137	gII	from		ipod	overlap	slow	1327991331	Re: 5 - IDH animated	208	84

2100	gII	from		regions	automatically	expand	1328022705	Re: 5 - IDH animated	208	68

2132	gII	to		bold	creation	dress	1328027966	Re: 5 - IDH animated	208	94

2145	gII	to		challenge	obviously	graphic	1328034311	Re: 5 - IDH animated	223	33

2146	gII	from		until	likely	switch	1328040026	Re: 5 - IDH animated	223	61

2127	gII	to		friend	ipad	worry	1328052233	Re: 5 - IDH animated	223	28

2144	gII	from		regions	clue	expanded	1328073162	Re: 5 - IDH animated	223	161

2109	gII	to		now	best	thing	1328085700	Re: 5 - IDH animated	223	15

2104	gII	to		jeff	kilian	captaindash	1328344840	Re: 5 - IDH animated	223	32

2129	gII	from		devices	dynamically	occur	1328357607	Re: 5 - IDH animated	223	231

2124	gII	to		sound	knowing	codes	1328368340	Re: 5 - IDH animated	223	76

2138	gII	from		unlikely	feb	noticed	1328371916	Re: 5 - IDH animated	223	76

2118	gII	to		dataviz	kilianba	finally	1328374509	Re: 5 - IDH animated	223	32

2112	gII	to		kilian	dette	stay	1328441284	Re: 5 - IDH animated	223	38

2113	gII	from		animations	metrics	debt	1328456380	Re: 5 - IDH animated	223	79

2101	gII	to		arabes	zélande	blocked	1328464357	Re: 5 - IDH animated	223	89

2140	gII	from		animations	todo	arabes	1328597753	Re: 5 - IDH animated	223	103

2103	gII	to		norvège	océanie	regroupent	1328648328	Re: 5 - IDH animated	223	299

2105	gII	to		thing	code	give	1328648470	Re: 5 - IDH animated	223	26

2114	gII	from		expanded	opens	additive	1328685207	Re: 5 - IDH animated	223	227

2131	gII	to		here	after	regards	1328688909	Re: 5 - IDH animated	223	15

2133	gII	from		collapse	describe	arguments	1328707531	Re: 5 - IDH animated	223	74

2099	gII	to		describe	logic	africa	1328725268	Re: 5 - IDH animated	223	77

2125	gII	from		additive	introducing	hover	1328727904	Re: 5 - IDH animated	223	129

2141	gII	to		see	below		1328731575	Re: 5 - IDH animated	223	2

2134	gII	from		minus	removed	metric	1328767706	Re: 5 - IDH animated	223	114

2108	gII	to		send	kilian	captaindash	1328779730	Re: 5 - IDH animated	223	24

2126	gII	to		very	use	important	1328780148	Re: 5 - IDH animated	223	21

2106	gII	from		standard	unlikely	harder	1328794984	Re: 5 - IDH animated	223	108

2110	gII	to		the	for	with	1328799842	Re: 5 - IDH animated	223	9

2264	gII	to		take	regards	let	1328035918	1 - bubbles and interaction	224	16

2263	gII	from		strictly	percent	sheets	1328108895	Re: 1 - bubbles and interaction	238	188

2266	gII	to		normal	excel	groups	1328109909	Re: 1 - bubbles and interaction	238	46

2268	gII	to		get	jérôme	right	1328183528	Re: 1 - bubbles and interaction	238	17

2269	gII	from		clean	worries	download	1328187083	Re: 1 - bubbles and interaction	238	71

2270	gII	from		metric	ability	popup	1328267217	Re: 1 - bubbles and interaction	238	120

2267	gII	to		see	work	kilian	1328269853	Re: 1 - bubbles and interaction	238	14

2265	gII	to		bazin	having	value	1328275380	Re: 1 - bubbles and interaction	252	22

2139	gII	to		below	jérome	missing	1328652363	Re: 5 - IDH animated	305	31

2121	gII	from		this	use	list	1328655132	Re: 5 - IDH animated	305	4

3099	gII	to		the	for	you	1328780357	Re: IDH and bubbles package code	319	12

3166	gII	to		last	did	please	1328818017	Bubbles	329	18

3170	gII	from		jeff	sorry	trying	1328819511	Re: Bubbles	329	27

3161	gII	to		thing	before	send	1328828540	Re: Bubbles	329	23

3176	gII	to		bazin	kilianba	format	1328828669	IDH thing	329	36

3163	gII	from		tick	horizontal	behaviour	1328850904	Re: Bubbles	329	177

3167	gII	to		sign	finish	amérique	1328870500	Re: Bubbles	329	38

3159	gII	from		removed	showed	browser	1328880653	Re: Bubbles	329	81

3168	gII	to		now	great	working	1328882658	Re: Bubbles	329	14

3165	gII	from		then	email	last	1328883638	Re: Bubbles	329	16

