message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

12275	gnj	from		zwnzxvyio+	cya		1340705865	=?utf-8?B?UkU6IFByb2pldHMgZGUgbGl2cmVzIHN1ciBsYSBkYXRhIHZpeiwgbGUgZGF0 =?utf-8?B?YSBqb3VybmFsaXNtZSBldCBs4oCZT3BlbiBEYXRh	1338	2

12276	gnj	from		cgkdqoncg			1340794565	=?utf-8?B?VFI6IFByb2pldHMgZGUgbGl2cmVzIHN1ciBsYSBkYXRhIHZpeiwgbGUgZGF0 =?utf-8?B?YSBqb3VybmFsaXNtZSBldCBs4oCZT3BlbiBEYXRh	1352	1

12274	gnj	to		some	vous	donc	1340795037	Re: TR: Projets de livres sur la data viz=2C le data j ournalisme et l=92Open Data	1352	11

12277	gnj	from		dqoncgkdqoncg	zqkrglyzwnzxvyio+		1340795204	=?utf-8?B?UkU6IFRSOiBQcm9qZXRzIGRlIGxpdnJlcyBzdXIgbGEgZGF0YSB2aXosIGxl =?utf-8?B?IGRhdGEgam91cm5hbGlzbWUgZXQgbOKAmU9wZW4gRGF0YQ==	1352	3

12272	gnj	to		complexity	intéressé	collaboration	1341412914	Re: TR: Projets de livres sur la data viz=2C le data j ournalisme et l=92Open Data	1352	72

12656	gnj	from		accepter	invitation	professionnel	1340890158	Rejoindre mon réseau sur LinkedIn	1360	39

14457	gnj	from					1343059808	Getting started with D3 de O'Reilly	1596	0

14453	gnj	to		beaucoup	encore	merci	1343060018	Re: Getting started with D3 de O'Reilly	1596	19

14455	gnj	from		qwuudqonckvyawmncgk			1343060255	RE: Getting started with D3 de O'Reilly	1596	1

14454	gnj	to		new	soir	mike	1343060328	Re: Getting started with D3 de O'Reilly	1596	14

14456	gnj	from					1343060552	RE: Getting started with D3 de O'Reilly	1596	0

14452	gnj	from		dqoncgkdqoncgk			1347531199	RE: Getting started with D3 de O'Reilly	1596	1

