message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

12270	gzZ	from		dqoncgk	zwnzxvyio+		1341416648	=?utf-8?B?UkU6IFRSOiBQcm9qZXRzIGRlIGxpdnJlcyBzdXIgbGEgZGF0YSB2aXosIGxl =?utf-8?B?IGRhdGEgam91cm5hbGlzbWUgZXQgbOKAmU9wZW4gRGF0YQ==	1352	2

13156	gzZ	from		bawvudca	bjswhtzsa		1341507401	Traduction Lima - infos pratiques	1416	2

13151	gzZ	from		zsa			1341590749	RE: Traduction Lima - infos pratiques	1441	1

13157	gzZ	from		dqoncgkdqoncg			1341841031	RE: Traduction Lima - infos pratiques	1455	1

13153	gzZ	from		zxigdmcybjbawvudca			1341841485	RE: Traduction Lima - infos pratiques	1456	1

13488	gzZ	from		spoisson	cditions	sa]	1341922959	adresse	1463	45

13487	gzZ	from		enregistré	spoisson	foulée	1341928542	RE: adresse	1464	150

13508	gzZ	from		matinée	courrier	imprimer	1341938028	Contrat	1469	60

13510	gzZ	from		[eyrolles	courrier	matinée	1342078243	RE: Contrat	1475	108

13644	gzZ	from		questionsphoto	éditoriale	prépare	1342086260	facture OK	1479	54

13688	gzZ	from		ftp	contrôler	princeton	1342112431	pdf	1483	89

16463	gzZ	from		contremps	entrevue	fastidieux	1346166487	RE: visualizing complexity	1819	281

19159	gzZ	from		tirage	simultanément	alinéas	1349449120	reprise projet Lima / RIB pour paiement	2097	206

19827	gzZ	from		conservé	couler	enverriez	1350292231	avancement projet	2169	154

20410	gzZ	from		ddiamètre	diamètre	drouges	1350912873	une question chap 5 Lima	2283	186

20408	gzZ	from		majuscule	paiements	précurseurs	1350927831	RE: une question chap 5 Lima	2284	487

20960	gzZ	from		nôtres	originale	retournant	1351611176	épreuves et relecture	2322	105

21344	gzZ	from		biblio	cbkx	crédits	1352131614	suite Lima - urgent	2353	155

21341	gzZ	from		configuration	cuvres	interconnects	1352227274	RE: suite Lima - urgent	2371	314

21846	gzZ	from		provenant	référencées	stamps	1352737375	presque bouclage / page de copyright	2408	246

21920	gzZ	from		solliciter	[description	copyright	1352813083	Texte quatrième de couverture	2421	73

21921	gzZ	from		tear	creativity	beautify	1352817207	RE: Texte quatrième de couverture	2422	294

22104	gzZ	from		jérôme	bonjour		1353003100	Bouclage	2439	2

