message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

13726	h1b	from		hélène	pourrons	feu	1342169376	Fwd: Invitation Feux d'artifice, feux de joie et (feux de) barbecue  !	1487	39

13727	h1b	to		dont	besoin	votre	1342188600	Re: Invitation Feux d'artifice, feux de joie et (feux de) barbecue !	1487	20

t973	h1b	to	mention	rencontre	utilisateurs	cybunk	1328662946		t162	16

t1530	h1b	to	mention	par	http	présentation	1331769989		t375	17

t631	h1b	from	mention	autre	chose	absolument	1343089155		t1497	15

t1195	h1b	from	mention	jcukier	krismkrolls	cliophile	1343093744		t1502	14

t177	h1b	to	mention	beaucoup	vrai	manger	1343093955		t1502	9

t178	h1b	to	mention	cliophile	raphv	beignets	1343093988		t1502	7

t385	h1b	from	mention	oui	quelqu	sait	1343174823		t1502	14

t802	h1b	from	mention	jcukier	temps	place	1343175145		t1502	13

t176	h1b	from	mention	jcukier	dois	excellent	1343176285		t1502	15

t1290	h1b	to	mention	that	now	http	1346718187		t1639	16

