message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

18888	h5e	from		sounded	interviewing	engineer	1349109616	Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	102

18886	h5e	to		talking	dataset	indeed	1349124799	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	44

18881	h5e	from		paris	time	something	1349195550	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	21

18876	h5e	to		jerome	paris	yes	1349269714	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	4

18884	h5e	from		jerome	about	how	1349310756	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	7

18882	h5e	to		sent	france	time	1349330057	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	23

18875	h5e	from		the	was	paris	1349353516	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	11

18880	h5e	from		would	message	too	1349353660	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	6

18879	h5e	to		with	but	will	1349354003	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	6

18877	h5e	from		for	message	original	1349361062	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	4

18887	h5e	from		you	jerome	now	1349366670	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	7

18883	h5e	to		resume	fall	josh	1349474860	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	111

18878	h5e	from		role	submitted	doubt	1349805684	Re: Chat with a Facebook/Google engineer about data visualization  and d3 coolness	2066	40

18885	h5e	to		that	for	this	1349917133	Re: Chat with a Facebook/Google engineer about data visualization and  d3 coolness	2066	10

