message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

5634	iB3	to					1332154932	=5Bpacte du numérique=5DFYI: aujourd'hui à 17h30 =40evaj oly répond aux questions sur le numérique sur twitter via  Fred Neau.	591	0

5943	iB3	from		versini	recevez	excuses	1332431505	=?iso-8859-1?B?ZOlzb2zpZQ==	628	45

5944	iB3	to		nombre	cordialement	aucun	1332433333	=?ISO-8859-1?B?UmU6IGTpc29s6WU=	628	30

5942	iB3	from		bosser	versini	josiane	1332434395	=?iso-8859-1?B?UkU6IGTpc29s6WU=	628	60

8203	iB3	from		intérêt	êtes	réseau	1335432421	Rejoindre mon réseau sur LinkedIn	875	31

16881	iB3	from		versini	noter	socio	1346663316	suite 	1848	62

16883	iB3	to		pars	français	base	1347036163	Re: suite	1848	33

16880	iB3	from		versini	convenu	prestations	1349778655	TR: suite	1848	90

16882	iB3	to		contrat	attends	disponible	1349879888	Re: suite	1848	40

16884	iB3	from		octobre	versini	coté	1349958239	RE: suite	1848	71

17342	iB3	from		job	projet	viz	1347278185	Bonjour Jerome 	1891	17

17341	iB3	to		suis	jérôme	bonjour	1347448489	Re: Bonjour Jerome	1891	9

17340	iB3	from		septembre	octobre	précise	1348128078	RE: Bonjour Jerome	1891	51

