message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

5478	kDT	from		bme	jér	tuesday	1331918038	Re: can you recommend someone?	587	37

5483	kDT	to		actually	come	read	1331918083	Re: can you recommend someone?	587	29

5480	kDT	from		must	explain	basically	1331925375	Re: can you recommend someone?	587	19

5481	kDT	from		copyright	firm	kate	1332500491	Re: can you recommend someone?	631	64

5482	kDT	to		months	finally	exactly	1332501117	Re: can you recommend someone?	631	34

6157	kDT	from		town	chat	timing	1332777197	Re: 	647	84

6164	kDT	to		some	sent	here	1332778244	Re:	648	13

6165	kDT	from		from	what	sent	1332782164	Re:	648	5

6162	kDT	to		from	would	some	1332783287	Re:	648	13

6160	kDT	from		still	together	joint	1332783676	Re:	648	20

6163	kDT	to		mix	ten	breaking	1332797221	Re:	648	101

6161	kDT	from		each	sorry	least	1332804122	Re:	648	27

7335	kDT	from		knows	happened	apr	1334322638	Re: and now for something completely different	776	74

7337	kDT	to		permanent	agent	queuing	1334322896	Re: and now for something completely different	776	121

7336	kDT	from		renewed	toby	estimate	1334329920	Re: and now for something completely different	776	212

7340	kDT	to		you	this	would	1334330534	Re: and now for something completely different	776	11

7333	kDT	from		perspective	worth	apr	1334331095	Re: and now for something completely different	776	60

7339	kDT	to		equivalent	sucks	worried	1334331218	Re: and now for something completely different	776	61

7334	kDT	from		sucks	worried	$$$	1334331760	Re: and now for something completely different	776	98

7332	kDT	to		quick	offer	win	1334331805	Re: and now for something completely different	776	24

8766	kDT	from		weekend	theresa	sunday	1336129721	Re: dc	946	51

8768	kDT	to		you	then	paris	1336145553	Re: dc	946	7

8765	kDT	from		know	when	should	1336241840	Re: dc	946	14

8764	kDT	to		from	some	just	1336241610	Re: dc	950	8

8761	kDT	to		but	call	tried	1336241804	Re: dc	950	4

8763	kDT	from		from	one	sent	1336242450	Re: dc	950	6

8760	kDT	to		min			1336242485	Re: dc	950	1

8759	kDT	from		this	from	just	1336242984	Re: dc	950	7

