message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

13636	kZt	from		seguret	cluny	adjointe	1342082493	Re: Proximité	1477	62

22913	kZt	from		comcomgirl	gauthier	gonzague	1354113236	Stats Rsn et dataviz	2498	228

22915	kZt	from		hiérarchies	jdçjdr	museogeek	1354113517	Fwd: Stats Rsn et dataviz	2499	300

22910	kZt	from		affligeantavec	bienvenu	diplôme	1354178464	Re: Stats Rsn et dataviz	2500	512

22914	kZt	from		nuit	viz	effet	1354282794	Re: Stats Rsn et dataviz	2504	19

22908	kZt	from		adjointe	moyenage	musee	1354541812	Re: Stats Rsn et dataviz	2510	68

t1243	kZt	to	mention	chouettebasotte	legroupesmv	akrisprolls	1341448619		t1276	8

t1390	kZt	to	mention	bonnes	assume	comcomclaire	1341534386		t1337	13

t1389	kZt	to	mention	expo	comcomclaire	souvenirs	1341534498		t1338	16

t1017	kZt	to	mention	comcomclaire	visite	jandcross	1341536005		t1343	5

t1388	kZt	to	mention	vacances	round	comcomclaire	1341623834		t1350	10

t187	kZt	to	mention	une	dans	aussi	1341623864		t1351	13

t179	kZt	to	mention	les	nous	leur	1342139156		t1396	10

t180	kZt	to	mention	bonne	nuit	comcomclaire	1342137881		t1401	2

t182	kZt	to	mention	comcomclaire	formiga		1342227708		t1410	16

t1245	kZt	to	mention	merci	cliophile	mcdfrago	1342227784		t1413	7

t189	kZt	to	mention	pas	mais	comme	1342832253		t1471	14

t500	kZt	from	mention	mission	revanche	chemin	1342834177		t1471	9

t186	kZt	to	mention	déjà	saint	comcomclaire	1342830089		t1471	7

t443	kZt	from	mention	plus	mon	jcukier	1342830112		t1471	15

t903	kZt	from	mention	jcukier	krismkrolls	jandcross	1342833491		t1475	14

t188	kZt	to	mention	sur	bien	était	1342834379		t1475	13

t529	kZt	from	mention	rentrée	girl	patrimoine	1342830941		t1475	3

t1567	kZt	from	mention	smv	comcomclaire	krismkrolls	1342831233		t1475	7

t1195	kZt	from	mention	jcukier	krismkrolls	cliophile	1343093744		t1502	14

t177	kZt	to	mention	beaucoup	vrai	manger	1343093955		t1502	9

t178	kZt	to	mention	cliophile	raphv	beignets	1343093988		t1502	7

t451	kZt	from	mention	loin	nom	monsieur	1343088393		t1502	5

t185	kZt	to	mention	des	mais	suis	1343088505		t1502	9

t540	kZt	from	mention	quant	food	actuellement	1343088941		t1502	5

t184	kZt	to	mention	évidemment	commencé	ouverture	1343089691		t1502	15

t453	kZt	from	mention	est	bon	jcukier	1343178678		t1502	9

t385	kZt	from	mention	oui	quelqu	sait	1343174823		t1502	14

t802	kZt	from	mention	jcukier	temps	place	1343175145		t1502	13

t176	kZt	from	mention	jcukier	dois	excellent	1343176285		t1502	15

t172	kZt	from	mention	jcukier	comcomclaire	krismkrolls	1343956803		t1547	11

t902	kZt	from	mention	jandcross	carpewebem	mcdfrago	1344043236		t1547	8

t171	kZt	to	mention	comcomclaire	jandcross	carpewebem	1343956953		t1548	3

t384	kZt	from	mention	comcomclaire	jandcross	carpewebem	1344043864		t1548	11

t974	kZt	from	mention	krismkrolls	bravo	carpewebem	1344643484		t1582	11

t409	kZt	from	mention	jcukier	http	cet	1346114835		t1621	18

t175	kZt	to	mention	avec	data	cette	1346115573		t1621	14

t518	kZt	from	mention	pas	ça	elle	1346112202		t1621	2

t694	kZt	from	mention	jcukier	autres	rentre	1346977612		t1669	16

t662	kZt	from	mention	comcomclaire	carpewebem	meribs	1346978936		t1671	17

t1334	kZt	from	mention	expo	krismkrolls	carpewebem	1347065339		t1675	18

t1254	kZt	from	mention	lien	krismkrolls	carpewebem	1347065531		t1676	15

t183	kZt	to	mention	avec	ton	demain	1348966983		t1772	10

t538	kZt	from	mention	too	appelle	ligne	1348968412		t1772	13

t181	kZt	to	mention	facebook	places	comcomclaire	1348964478		t1772	8

t501	kZt	from	mention	que	est	suis	1349400337		t1794	2

t1256	kZt	to	dm	espère	aura	plaisir	1341536253		dm29	19

t1331	kZt	from	dm	pour	bonne	fin	1341619934		dm29	11

t955	kZt	to	dm	suis	bon	ben	1354584547		dm29	12

t1018	kZt	from	dm	quand	descend	fini	1354584921		dm29	5

