message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

6506	kkN	to		entendre	rejoindre	seras	1333034231	data tuesday	710	31

6507	kkN	from		arrivant	disclaimer	hereby	1333036094	Re: data tuesday	711	136

6505	kkN	to		intéressant	nom	future	1333036555	Re: data tuesday	711	34

6508	kkN	from		apparemment	essaye	inscrire	1333445403	Re: data tuesday	726	60

6511	kkN	to		entrée	présenter	compter	1333445690	Re: data tuesday	726	55

6510	kkN	from		[jeromecukier	inscrits	inscriptions	1333475693	Re: data tuesday	730	85

6504	kkN	to		fille	aura	voulais	1333490911	Re: data tuesday	730	19

6509	kkN	to		fille	aura	voulais	1333516600	Re: data tuesday	730	19

