message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

21579	nKk	from		arrangements	pst	availability	1352331991	Facebook Skype Interview- Jér=F4me Cukier	2388	92

21572	nKk	from		soon	wanted	mike	1352747155	RE: Facebook Skype Interview- Jér=F4me Cukier	2388	44

21569	nKk	from		quickly	schedule	understanding	1352749308	RE: Facebook Skype Interview- Jér=F4me Cukier	2388	48

21577	nKk	to		until	discussion	position	1352752655	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	38

21574	nKk	to		best	any	hello	1353605899	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	14

21567	nKk	from		sorry	soon	mike	1353617670	RE: Facebook Skype Interview- Jér=F4me Cukier	2388	34

21571	nKk	from		works	having	mike	1353949953	RE: Facebook Skype Interview- Jér=F4me Cukier	2388	46

21568	nKk	to		skype	won	changes	1353952701	Re: Facebook Skype Interview- Jér=F4me Cukier	2388	23

22776	nKk	from		laura	arrangements	pst	1353949851	Facebook Skype Interview- Jér=F4me Cu kier: Monday, Nov 26th, 4:00 PM PST	2486	90

23906	nKk	to		last	may	since	1355407507	status	2567	25

23907	nKk	to		arrange	crazy	interview	1355414693	Re: status	2567	30

