message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

13725	nUO	from		demain	bonne	fin	1342188830	Re: Invitation Feux d'artifice, feux de joie et (feux de) barbecue !	1487	14

13873	nUO	from		finlay	iéna	michels	1342442336	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	167

13871	nUO	to		bientôt	soirée	adresse	1342443689	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	22

13869	nUO	from		finlay	iéna	michels	1342444024	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	164

13870	nUO	from		copier	coller	bienvenus	1342444155	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	55

13874	nUO	to		geste	proportions	boule	1342445132	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	43

13872	nUO	from		donc	sent	merci	1342445308	Re: Feux d'artifice, feux de joie et (feux de) barbecue !	1498	14

14001	nUO	to		sur	suis	mon	1342563276	recette cake pops	1514	12

14002	nUO	from		super	merci		1342593465	Re: recette cake pops	1514	2

t663	nUO	to	mention	espère	vendredi	prochaine	1339201372		t1027	4

t1388	nUO	to	mention	vacances	round	comcomclaire	1341623834		t1350	10

t180	nUO	to	mention	bonne	nuit	comcomclaire	1342137881		t1401	2

t1669	nUO	to	mention	http	soir	cliophile	1342138278		t1404	14

t1245	nUO	to	mention	merci	cliophile	mcdfrago	1342227784		t1413	7

t1083	nUO	to	mention	twitter	through	list	1342228972		t1416	14

t628	nUO	from	mention	faut	jcukier	moins	1342743753		t1463	18

t174	nUO	from	mention	merci	nice	info	1342746619		t1463	13

t1069	nUO	from	mention	voici	grâce	conseils	1343088716		t1494	7

t627	nUO	to	mention	été	part	cet	1343089956		t1494	12

t631	nUO	from	mention	autre	chose	absolument	1343089155		t1497	15

t1195	nUO	from	mention	jcukier	krismkrolls	cliophile	1343093744		t1502	14

t177	nUO	to	mention	beaucoup	vrai	manger	1343093955		t1502	9

t178	nUO	to	mention	cliophile	raphv	beignets	1343093988		t1502	7

t385	nUO	from	mention	oui	quelqu	sait	1343174823		t1502	14

t802	nUO	from	mention	jcukier	temps	place	1343175145		t1502	13

t176	nUO	from	mention	jcukier	dois	excellent	1343176285		t1502	15

t1290	nUO	to	mention	that	now	http	1346718187		t1639	16

t491	nUO	from	mention	jcukier	super	sure	1346719372		t1639	8

