message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2988	oLC	from		bientôt	plaisir	loin	1328656014	Re: le lien pour le truc que je t'ai montré	308	23

3205	oLC	from		discuté	partis	montré	1328871688	suite au data-tuesday	333	93

3206	oLC	from		conférence	série	goulard	1329492985	Re: suite au data-tuesday	333	73

4077	oLC	from		fasse	sympa	déjeuner	1330119664	Re: hello	439	34

4079	oLC	to		nos	mois	grand	1331576063	Re: hello	439	35

5365	oLC	to		qqs	avril	voyage	1331759099	See conference	568	44

5363	oLC	from		bientôt	aurait	caroline	1331760027	Re: See conference	568	25

5364	oLC	from		avril	regardé	goulard	1332151597	Re: See conference	568	68

5367	oLC	to		caroline	rentre	hôtel	1332151980	Re: See conference	568	32

5366	oLC	from		avions	goulard	dataveyes	1332184061	Re: See conference	568	34

5801	oLC	to		sciences	engager	numerique	1332265224	merci!	615	63

5802	oLC	from		fondatrice	mourir	actuvisu	1332269853	Re: merci!	615	59

6572	oLC	to		signe	rencontré	linked	1333117859	data tuesday + linked in	714	64

6573	oLC	from		très	end	idée	1333191604	Re: data tuesday + linked in	714	19

12308	oLC	to		pizza	pie	aviez	1340622072	déjuner un de ces 4	1321	47

12307	oLC	from		goulard	logo	fondatrice	1340622852	Re: déjuner un de ces 4	1321	59

12304	oLC	to		minutes	métro	compliqué	1340623402	Re: déjuner un de ces 4	1321	33

12306	oLC	from		pas	pour	autre	1340623707	Re: déjuner un de ces 4	1321	10

12310	oLC	from		dataveyes	fondatrice	actuvisu	1340716027	Re: déjuner un de ces 4	1321	40

12309	oLC	to		possible	autant	presque	1340719142	Re: déjuner un de ces 4	1321	19

12305	oLC	from		caroline	devant	goulard	1340719377	Re: déjuner un de ces 4	1321	21

12303	oLC	to		alors	bises	vendredi	1340720653	Re: déjuner un de ces 4	1321	3

t973	oLC	to	mention	rencontre	utilisateurs	cybunk	1328662946		t162	16

t891	oLC	to	mention	mes	mardi	dataveyes	1339809396		t1077	11

t173	oLC	to	mention	surtout	voulais	ceux	1340067724		t1121	10

t1093	oLC	from	dm	hello	sinon	ensemble	1330132525		dm23	9

t1092	oLC	from	dm	place	côté	jeff	1332202106		dm23	14

t1303	oLC	to	dm	moi	quand	peux	1332202417		dm23	10

t1736	oLC	from	dm	yes	suite	tte	1332202627		dm23	16

t1353	oLC	from	dm	vient	restaurant	marine	1332204614		dm23	6

t1309	oLC	to	dm	mon	tel	omw	1341015603		dm23	4

